,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000,102750000,103000000,103250000,103500000,103750000,104000000,104250000,104500000,104750000,105000000,105250000,105500000,105750000,106000000,106250000,106500000,106750000,107000000,107250000,107500000,107750000,108000000,108250000,108500000,108750000,109000000,109250000,109500000,109750000,110000000,110250000,110500000,110750000,111000000,111250000,111500000,111750000,112000000,112250000,112500000,112750000,113000000,113250000,113500000,113750000,114000000,114250000,114500000,114750000,115000000,115250000,115500000,115750000,116000000,116250000,116500000,116750000,117000000,117250000,117500000,117750000,118000000,118250000,118500000,118750000,119000000,119250000,119500000,119750000,120000000,120250000,120500000,120750000,121000000,121250000,121500000,121750000,122000000,122250000,122500000,122750000,123000000,123250000,123500000,123750000,124000000,124250000,124500000,124750000,125000000,125250000,125500000,125750000,126000000,126250000,126500000,126750000,127000000,127250000,127500000,127750000,128000000,128250000,128500000,128750000,129000000,129250000,129500000,129750000,130000000,130250000,130500000,130750000,131000000,131250000,131500000,131750000,132000000,132250000,132500000,132750000,133000000,133250000,133500000,133750000,134000000,134250000,134500000,134750000,135000000,135250000,135500000
RNAseq,79,734,344,615,790,17,6,10,2,4,3,3,884,33,15,682,58,53,21,113,8,284,213,1304,277,227,52,35,11,65,25,492,292,9,15,5,8,2,4,13,5,4,8,16,28,61,145,326,777,169,26,38,779,295,800,113,126,13,631,433,178,229,89,129,11,15,328,162,104,1309,349,49,0,15,12,322,27,4,5,15,97,87,123,17,14,30,29,386,428,87,226,503,18,102,32,2,4,9,19,616,109,12,3,5,6,14,3,22,289,1100,73,198,16,41,8,606,19,6,241,1132,28,830,115,8,69,93,1014,832,387,1032,276,122,1791,436,412,3,13,33,419,147,84,261,247,272,5,4,1,58,10,21,5,8,113,385,59,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,23,22,231,213,248,785,240,15,1,81,10,258,44,87,116,21,3,50,95,13,15,6,16,9,72,5,2,3,703,351,180,41,253,52,49,15,488,55,588,122,29,512,397,534,154,127,197,5,8,7,15,6,18,5,5,1,0,4,6,16,5,3,436,5,4,37,5,4,1,27,244,210,114,5,27,10,355,55,31,20,409,6,23,7,114,1065,68,3,79,488,246,369,15,21,3,3,77,43,2,61,7,7,7,5,16,22,2,3,629,537,818,393,1615,471,458,28,223,831,298,52,265,12,92,6,903,435,621,188,254,964,900,280,2018,1935,87,100,122,259,79,12,4,2,10,3,179,168,140,227,1089,423,14,2,10,458,705,262,82,721,110,250,10,7,5,5,22,14,10,3,9,4,6,1,6,168,216,139,3,3,4,7,6,4,377,362,291,470,65,293,574,10,27,27,1137,105,209,410,319,7,2,9,265,102,136,124,533,151,212,679,79,106,1973,636,282,39,520,419,1,179,262,539,226,198,4,637,696,176,945,547,133,102,574,3,4,7,106,561,487,568,739,457,552,812,158,451,802,1198,1270,812,478,516,589,1034,149,495,543,12,18,4,5,7,2,5,9,8,7,9,3,4,10,2,4,3,5,6,8,39,315,636,247,684,337,100,11,0,5,136,282,133,225,276,2,78,256,293,98,58,285,21,7,11,7,159,39,178,124,31,423,1,9,180,270,221,138,1155,376,561,524,36,9,3,230,14,18,43,305,101,231,46,127,404,19,14,11,11,122,376,912,304,8,293,434,57,5,3,59,194,254,10,15,1929,4,3,4,3,4,89,46,166,11,2,1,9,5,10,29,275,229,72,105,41,759,32,0
CEBPB,5,8,12,4,8,0,0,4,1,1,1,4,12,10,18,30,14,20,14,10,3,5,13,11,8,9,0,10,3,2,3,8,3,2,3,4,6,2,4,4,4,7,7,14,1,3,9,5,6,15,5,11,9,5,7,13,12,5,15,7,5,6,3,8,4,2,6,10,21,15,8,0,0,13,5,10,8,6,3,8,10,8,2,0,0,1,6,9,6,5,5,17,8,1,8,2,0,5,12,9,20,4,1,0,2,0,2,5,9,3,5,6,6,13,6,9,11,9,8,14,14,16,12,9,11,16,13,5,8,9,6,4,3,27,22,7,5,11,11,15,11,11,16,9,11,6,13,7,8,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,8,10,6,10,9,5,5,16,1,2,4,0,0,4,8,0,3,0,0,2,9,0,0,1,3,7,1,11,2,2,1,2,4,1,5,15,3,18,10,9,8,6,10,7,4,2,2,1,1,0,3,1,2,4,4,2,0,1,2,1,1,1,1,5,3,10,15,14,6,2,1,3,9,3,14,4,8,7,9,10,15,25,2,14,6,11,14,16,3,3,2,1,1,3,3,3,1,4,0,2,2,0,2,3,8,20,11,14,5,14,15,4,6,7,13,4,6,3,6,3,13,9,9,13,5,12,6,7,12,19,6,8,12,13,8,1,3,3,12,5,4,11,15,17,10,9,9,4,13,22,24,1,0,8,3,3,1,1,1,1,2,1,2,1,2,1,3,1,0,6,12,3,1,0,1,0,2,1,5,11,7,5,0,15,15,17,8,7,13,14,15,11,5,3,5,2,8,9,8,12,11,13,4,13,11,6,14,3,6,17,10,3,0,5,11,4,7,4,3,9,6,3,11,19,1,2,13,1,3,1,4,11,12,9,6,5,7,5,8,2,3,10,12,14,13,18,7,17,15,10,16,1,0,0,0,2,1,3,3,3,0,1,3,1,1,2,3,1,9,4,4,0,11,12,18,14,15,5,0,1,1,4,4,6,10,14,3,4,4,8,6,18,12,3,2,1,11,5,3,5,9,5,11,1,1,2,8,4,3,25,20,10,9,2,0,1,4,0,1,5,3,12,8,2,8,3,1,2,0,2,2,5,15,14,4,2,9,12,5,4,4,9,5,0,2,8,1,1,3,1,1,3,2,2,0,1,2,0,0,0,0,5,5,9,1,0,2,2,0
CHD1,2,0,2,2,2,0,0,0,0,1,0,0,2,3,0,2,0,0,2,2,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,2,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,2,0,0,1,0,1,0,1,1,2,0,2,1,0,1,0,2,4,1,0,0,1,4,2,0,0,1,0,0,1,1,1,1,2,3,0,0,1,3,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,3,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,2,2,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,2,3,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,1,2,0,2,2,0,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,2,3,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,1,2,0,0
CTCF,5,4,3,5,3,0,0,0,0,0,1,4,9,6,3,2,0,3,4,6,4,5,5,4,10,4,5,5,3,3,4,4,1,1,1,0,0,8,2,0,1,1,1,1,2,2,4,5,3,4,2,6,6,7,7,4,5,6,6,6,7,9,2,7,1,0,3,6,2,12,4,1,0,1,4,5,1,1,2,4,5,0,0,0,3,1,3,5,2,3,1,4,2,6,5,4,0,2,6,8,4,4,1,1,2,0,1,3,5,1,7,2,6,2,7,6,0,4,9,10,3,4,6,7,4,2,2,4,6,6,5,0,3,9,5,1,0,3,2,7,3,7,9,10,4,0,0,0,5,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,7,11,5,1,3,3,3,12,3,1,3,0,0,4,7,2,7,0,0,7,2,0,0,2,7,7,3,4,4,2,0,0,3,2,6,8,4,4,3,0,2,3,3,4,6,1,1,1,2,0,1,0,1,1,1,3,1,0,2,0,1,0,1,3,1,5,7,4,4,2,2,4,6,7,6,2,6,3,2,5,9,3,5,5,3,6,1,3,7,3,1,1,0,0,0,0,0,2,0,1,3,0,1,3,5,6,4,1,6,6,9,11,15,9,11,6,6,2,11,8,10,6,10,3,2,4,3,3,14,10,3,1,2,11,6,0,2,3,3,2,2,5,7,11,5,5,9,3,5,15,9,5,4,9,5,7,1,3,0,0,0,0,0,0,3,0,0,0,1,12,6,8,3,0,0,0,0,3,7,10,6,4,2,5,6,1,4,6,11,5,8,3,2,2,1,5,9,5,6,9,5,3,4,8,8,8,7,5,8,7,4,2,1,4,9,3,5,3,7,8,5,8,11,12,4,4,8,1,3,2,6,8,6,5,7,10,7,24,9,5,6,12,10,12,5,6,8,13,10,7,11,4,1,1,0,1,2,2,1,5,0,0,1,0,1,1,1,1,2,1,2,0,8,10,8,9,5,2,1,1,0,3,6,3,2,6,3,6,1,3,5,4,6,4,3,1,4,1,5,5,8,7,4,2,0,2,4,6,3,9,11,9,5,1,2,1,3,0,0,2,5,7,7,5,3,4,1,4,1,2,7,10,8,4,4,4,4,3,4,2,1,4,2,1,4,6,4,2,1,1,1,1,2,8,0,0,0,0,1,1,1,5,9,12,4,4,9,7,0
DNase-seq,35,59,141,50,54,19,12,12,10,8,10,22,90,72,77,141,61,81,75,53,24,39,97,61,103,64,30,61,26,37,17,54,24,19,7,2,10,20,22,27,15,32,35,67,36,35,52,57,46,71,53,57,53,44,83,112,86,54,92,49,55,56,18,34,4,13,25,61,93,66,49,2,4,72,45,66,24,24,19,26,38,27,9,9,5,10,61,76,40,27,50,63,40,25,61,14,5,12,57,61,91,32,6,10,4,5,4,18,47,22,22,47,35,45,54,58,75,67,43,82,78,90,58,57,75,99,57,69,80,50,52,8,58,103,133,50,34,69,56,69,68,61,100,74,60,27,47,49,25,3,9,8,18,30,12,217,265,0,0,0,0,0,0,0,0,0,0,0,0,138,77,114,18,31,61,47,57,73,49,55,56,107,18,18,27,1,0,68,145,4,28,1,0,42,50,2,5,10,86,63,25,61,38,38,10,5,23,15,64,64,24,91,41,44,39,38,59,36,24,13,11,4,3,6,1,4,11,6,6,6,3,1,7,4,5,4,4,8,14,47,69,75,54,19,48,25,33,32,83,32,77,21,46,47,95,159,57,65,47,65,68,70,21,10,8,5,1,3,5,10,5,5,9,18,24,5,8,37,53,79,35,57,39,67,77,53,103,60,74,81,66,42,73,46,98,75,85,60,47,48,38,68,127,120,51,22,68,92,70,19,26,35,45,31,26,82,114,127,82,73,72,82,86,183,171,17,21,68,47,43,5,5,2,2,3,6,6,5,6,3,3,5,15,28,64,32,6,6,5,7,9,26,33,72,88,43,16,92,66,88,36,47,94,87,98,66,21,18,32,13,50,52,66,91,44,50,29,67,46,47,114,38,38,80,47,24,4,24,82,38,26,30,22,53,46,53,75,111,39,46,118,11,31,11,58,61,85,55,47,53,48,100,37,52,71,78,105,124,80,84,55,130,110,54,124,19,10,8,10,5,5,9,26,39,1,3,5,16,8,3,9,6,21,18,27,5,68,86,114,124,68,24,6,8,3,35,52,57,85,86,35,40,36,29,53,73,68,21,6,9,59,38,30,38,58,29,41,19,21,19,31,43,36,118,135,106,58,15,18,16,17,12,14,25,49,84,67,34,41,42,19,15,24,38,45,81,104,93,24,36,105,87,67,24,24,44,49,20,30,45,11,19,11,25,16,47,34,58,24,13,16,22,13,6,18,57,62,92,38,44,68,35,8
EP300,1,6,8,0,0,0,0,0,0,0,0,0,10,13,14,20,1,11,5,4,0,2,7,4,7,7,1,12,0,1,2,2,1,1,0,0,1,0,4,0,0,0,3,9,0,1,0,4,2,3,4,3,3,2,4,12,15,5,12,3,4,3,3,2,0,0,0,2,15,6,8,0,0,6,1,4,3,1,0,5,1,2,0,0,0,0,9,2,2,0,1,4,3,0,5,1,0,0,3,5,10,0,0,0,0,0,0,0,1,1,1,4,3,4,3,2,8,14,2,4,12,12,3,2,11,14,6,5,5,3,2,0,1,14,11,2,0,1,8,4,4,6,7,2,4,2,3,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,13,7,3,6,13,0,1,0,0,0,1,6,0,5,0,0,4,8,0,0,0,5,2,0,7,1,1,0,0,1,0,2,9,0,7,2,3,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,3,3,0,5,3,1,1,6,0,13,2,1,6,6,20,3,6,0,3,2,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,11,2,3,1,2,8,4,9,1,5,5,0,0,5,0,10,6,10,5,1,3,0,2,12,7,2,4,3,7,9,0,0,4,8,5,0,6,11,12,8,4,8,6,12,30,16,0,0,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,4,3,6,0,1,7,3,7,1,1,7,6,7,3,0,0,5,0,5,1,3,16,2,1,0,2,3,2,11,1,3,9,1,0,0,2,14,1,3,2,1,2,3,2,0,12,1,1,14,0,2,0,4,4,6,4,2,0,5,4,1,0,4,4,5,14,5,8,2,13,11,1,10,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,2,2,0,5,4,20,13,7,0,0,0,0,1,2,1,7,9,1,0,4,0,4,8,6,0,0,0,3,1,1,0,5,0,1,0,0,0,0,1,1,14,20,11,3,0,0,0,1,0,0,0,0,4,4,0,2,1,0,0,0,0,2,1,8,9,0,0,5,11,4,0,3,6,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,5,1,5,0,0,2,0,0
H2AK5ac,22,38,115,19,22,0,0,0,0,0,0,1,87,147,119,216,84,123,100,96,2,7,112,47,96,51,8,82,3,3,4,29,4,0,1,0,0,2,18,4,1,3,32,45,2,4,17,18,18,15,16,22,10,4,23,172,146,81,142,41,32,28,30,8,0,0,0,67,157,32,61,0,1,38,30,31,4,9,8,26,9,9,0,0,0,0,66,15,5,0,7,54,34,4,21,0,0,0,31,19,92,9,0,0,0,0,0,2,6,7,9,14,10,55,19,14,78,79,8,97,147,99,37,46,174,200,62,46,83,19,16,1,19,145,150,5,1,20,49,52,40,32,87,27,54,12,18,50,9,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,20,19,132,13,22,41,133,0,0,3,0,1,8,69,0,32,3,0,16,40,0,6,0,52,48,0,70,9,3,2,0,10,1,28,56,2,56,17,11,13,4,58,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,14,36,58,11,0,33,3,13,7,79,4,70,12,24,34,124,151,32,45,6,20,20,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,7,90,13,32,10,63,62,38,113,30,65,32,15,10,44,5,89,54,79,47,17,12,16,66,139,64,26,13,82,68,66,0,0,28,72,27,0,78,186,165,76,62,97,49,113,188,183,6,1,53,25,24,0,1,0,0,0,0,0,0,0,0,0,0,0,2,37,7,0,0,0,0,0,0,7,41,56,24,0,55,23,113,14,17,88,59,99,51,4,0,21,0,56,17,24,108,20,7,2,21,74,8,96,13,8,59,4,4,0,22,110,5,31,4,0,17,19,24,25,113,0,5,129,0,6,0,24,24,80,24,19,8,39,45,10,7,46,47,49,139,65,119,16,97,118,26,83,0,0,0,0,1,0,0,4,12,0,0,0,0,0,0,0,0,5,13,19,0,57,34,181,80,26,0,0,0,0,5,17,6,40,51,1,5,14,2,22,72,41,7,0,0,33,3,0,12,23,0,2,0,0,1,0,2,6,107,171,87,37,0,0,0,0,0,0,0,6,38,28,1,21,2,0,0,0,0,1,12,68,58,2,1,16,87,25,0,6,38,10,0,4,5,0,0,0,2,14,6,0,11,0,0,0,0,0,0,0,22,24,85,3,2,35,0,0
H2AK9ac,2,21,34,17,20,3,3,1,1,2,0,4,19,8,11,20,11,6,9,7,1,4,38,19,33,9,4,8,5,3,1,6,8,1,0,1,0,2,2,1,0,0,2,0,2,5,9,24,14,9,10,9,6,7,17,31,7,2,8,9,12,15,3,4,0,2,4,6,12,9,10,0,0,1,5,9,1,0,0,1,1,0,0,0,2,3,6,12,3,2,9,7,5,4,3,0,1,1,5,5,15,3,0,1,1,1,0,3,7,5,3,3,2,7,3,5,4,7,8,4,15,9,5,1,16,13,8,12,9,3,4,0,6,10,17,5,3,8,3,5,10,6,14,3,3,3,1,3,1,0,0,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,7,17,17,15,13,9,8,10,34,1,4,6,0,0,10,13,0,7,0,0,15,9,0,0,2,17,27,7,7,11,7,1,0,4,1,4,8,0,6,1,4,2,1,6,3,2,2,2,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,1,0,2,6,6,2,0,0,2,5,2,1,2,7,1,0,1,8,3,5,4,2,2,1,7,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,1,5,8,9,11,12,11,21,10,30,18,22,10,7,7,27,11,35,14,36,4,4,5,6,10,36,11,6,3,10,20,14,1,4,0,5,1,5,11,25,26,19,10,24,11,16,79,70,7,4,28,17,12,0,1,0,0,0,0,1,2,0,0,0,0,2,4,9,2,1,1,0,1,0,5,10,27,23,8,0,6,7,0,3,2,8,3,13,4,3,0,0,0,10,11,5,13,8,1,3,15,8,2,21,7,6,5,4,2,0,5,15,5,2,8,3,10,4,8,22,37,12,5,35,2,1,3,4,8,13,9,19,5,20,36,4,13,12,24,19,49,10,8,16,35,17,11,12,2,4,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,9,8,27,11,12,1,2,0,2,3,11,2,17,9,5,7,9,6,13,6,11,1,0,0,8,5,3,12,12,5,7,4,5,6,3,7,11,17,33,36,9,2,0,4,6,4,2,3,8,30,7,9,10,8,5,4,3,6,13,24,28,27,3,17,10,14,12,3,4,10,13,5,2,9,2,4,3,7,2,7,5,14,8,4,5,3,2,3,8,17,31,41,21,6,41,1,2
H2AY,0,0,3,7,0,0,2,0,0,0,5,7,35,83,72,78,53,43,17,9,12,3,34,1,15,16,9,53,15,1,5,0,3,0,0,0,0,1,12,10,1,3,14,35,7,0,6,12,0,12,0,18,21,4,2,1,67,55,69,28,14,9,8,2,0,0,0,25,45,22,18,0,1,86,23,8,11,5,6,10,14,0,0,0,0,0,43,0,0,0,4,3,34,4,22,3,0,1,23,1,17,6,0,0,0,0,0,0,0,0,3,1,9,23,18,21,96,88,47,1,91,83,34,73,40,39,2,46,14,15,16,0,0,45,20,41,25,39,2,0,27,1,6,12,27,15,19,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,7,17,81,77,51,34,48,1,1,0,0,1,11,15,0,26,0,0,31,12,0,0,0,1,0,3,26,4,6,0,1,0,1,3,1,6,0,0,0,0,0,9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,23,31,3,5,11,28,12,0,7,40,6,32,24,37,32,47,10,10,47,11,7,0,29,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,1,6,2,4,4,5,16,41,38,6,42,34,9,6,6,23,54,16,14,4,2,0,0,0,41,4,0,1,6,15,50,6,3,58,50,43,6,7,28,24,16,29,93,134,126,18,21,10,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,6,18,1,1,0,28,3,79,22,18,20,49,30,31,2,5,33,4,11,1,22,75,11,3,4,7,16,10,3,7,7,55,7,0,0,0,38,0,5,2,4,12,1,14,2,8,3,3,43,0,17,2,7,9,12,19,5,7,13,38,12,3,1,14,2,0,0,6,26,53,5,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10,13,0,10,8,62,41,18,0,0,0,0,4,9,0,9,2,6,7,13,4,67,57,11,0,0,0,20,2,0,2,19,3,0,1,2,0,2,2,13,34,6,11,0,0,0,0,0,0,0,0,0,17,12,4,1,0,0,0,0,1,3,0,5,19,3,3,27,37,43,3,1,0,0,3,0,5,0,0,1,6,3,0,0,0,0,0,0,1,0,2,0,2,5,24,5,9,10,1,0
H2AZ,8,10,16,15,20,7,7,3,2,3,4,8,31,24,33,29,25,15,28,29,3,19,53,16,30,15,7,28,3,10,4,10,25,2,0,0,0,0,1,4,3,1,2,9,3,9,12,29,20,8,9,10,17,23,11,20,12,9,9,16,22,14,4,3,0,1,4,17,22,13,17,1,0,5,10,6,2,4,2,3,3,4,0,0,0,7,20,24,3,4,19,6,14,8,10,3,0,4,14,7,20,11,0,0,0,0,4,5,9,8,13,17,15,12,12,13,15,12,6,8,21,16,15,19,28,22,7,25,26,12,10,0,2,11,21,3,7,8,3,4,13,16,17,19,24,6,7,7,4,0,0,1,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,19,21,27,19,34,10,20,21,40,6,7,10,0,0,16,27,0,10,0,0,18,13,1,0,3,10,14,16,19,16,22,0,3,8,3,3,8,1,7,1,5,1,4,11,8,7,7,0,0,0,0,1,0,1,0,1,3,1,0,3,0,1,1,0,1,1,3,16,7,4,2,6,2,7,8,9,5,13,4,3,5,15,6,8,6,13,6,3,15,2,1,0,0,1,0,1,2,0,0,0,2,4,0,0,2,12,9,8,15,14,38,27,10,28,15,19,20,18,15,26,12,28,10,38,8,5,5,10,16,33,8,1,2,13,23,36,1,5,4,9,3,2,10,12,31,8,23,23,18,27,29,39,3,9,21,12,14,0,3,0,1,0,1,0,0,1,0,0,0,3,11,13,3,0,0,1,0,3,7,15,29,18,6,3,9,6,16,6,5,7,5,29,12,6,0,0,2,20,13,7,19,11,1,9,18,18,17,9,16,14,7,8,4,0,5,13,8,4,9,11,16,9,30,24,41,14,7,45,0,2,3,10,16,11,17,15,19,29,46,10,9,18,40,33,31,12,10,21,32,28,12,18,4,1,1,0,1,0,0,3,2,1,0,2,2,1,0,1,1,1,6,15,1,8,21,41,30,18,4,1,1,0,9,12,2,22,9,13,10,11,12,14,4,19,6,0,0,16,8,5,12,25,22,8,13,2,5,4,6,14,18,13,24,10,4,2,1,10,1,0,6,7,21,16,18,19,24,5,5,5,14,29,23,11,27,6,16,10,19,14,8,7,8,4,4,8,24,10,5,5,5,7,15,8,31,5,4,10,11,4,6,10,21,46,35,23,30,54,12,1
