,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000,102750000,103000000,103250000,103500000,103750000,104000000,104250000,104500000,104750000,105000000,105250000,105500000,105750000,106000000,106250000,106500000,106750000,107000000,107250000,107500000,107750000,108000000,108250000,108500000,108750000,109000000,109250000,109500000,109750000,110000000,110250000,110500000,110750000,111000000,111250000,111500000,111750000,112000000,112250000,112500000,112750000,113000000,113250000,113500000,113750000,114000000,114250000,114500000,114750000,115000000,115250000,115500000,115750000,116000000,116250000,116500000,116750000,117000000,117250000,117500000,117750000,118000000,118250000,118500000,118750000,119000000,119250000,119500000,119750000,120000000,120250000,120500000,120750000,121000000,121250000,121500000,121750000,122000000,122250000,122500000,122750000,123000000,123250000,123500000,123750000,124000000,124250000,124500000,124750000,125000000,125250000,125500000,125750000,126000000,126250000,126500000,126750000,127000000,127250000,127500000,127750000,128000000,128250000,128500000,128750000,129000000,129250000,129500000,129750000,130000000,130250000,130500000,130750000,131000000,131250000,131500000,131750000,132000000,132250000,132500000,132750000,133000000,133250000,133500000,133750000,134000000,134250000,134500000,134750000,135000000
RNAseq,749,1180,1206,2353,121,242,123,474,135,532,298,688,838,99,330,392,532,226,37,10,14,49,705,7,195,673,1709,106,47,7,35,87,296,33,564,369,911,863,407,820,280,369,948,1678,5,145,48,1668,1016,848,796,984,11,422,185,39,9,503,256,63,94,54,18,58,165,251,91,582,486,561,9,99,193,854,792,19,89,99,165,449,263,155,40,9,2,3,5,4,16,9,30,116,46,17,2,5,4,2,64,30,32,5,3,3,6,9,6,18,89,293,1758,443,441,132,21,7,16,64,2,4,6,137,15,0,7,193,125,23,417,4,219,200,485,421,1102,259,1154,149,13,269,1386,975,496,418,67,119,139,5,0,4,3,1,9,7,7,7,19,8,4,3,6,3,5,5,3,9,5,5,1,5,7,1,4,680,196,330,206,142,361,132,47,14,3,407,177,848,541,1129,698,1564,828,604,202,1,4,5,1,11,3,5,45,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,6,8,10,16,4,1746,872,1294,10,17,609,159,479,2,606,318,3,1,4,844,133,1339,38,1778,248,93,7218,1548,5,19,607,1007,980,1500,13,1346,1630,2159,5131,3135,1146,1815,867,443,213,1604,867,35,768,384,574,664,230,98,1718,16,315,838,794,46,66,248,11,1493,959,195,703,301,104,922,510,429,474,172,337,605,85,593,1139,115,91,216,135,106,118,375,778,374,978,97,86,73,80,53,7,35,6,5,3,2,4,4,6,5,5,5,60,306,769,15,11,2,3,14,9,39,21,246,1002,704,222,219,76,430,90,64,7,14,42,833,5,7,6,101,5,3,212,255,2,3,23,3,6,4,6,53,23,26,120,43,1093,120,419,307,106,1146,208,6,2,708,530,745,3,1,4,5,2,1,2,1,9,4,3,2,4,4,3,7,3,108,72,3,98,6,193,894,478,273,264,146,30,14,52,10,6,6,476,4,47,66,641,18,5,22,3,98,341,61,322,456,360,423,123,11,6,6,135,890,80,44,13,7,333,577,605,96,9,5,7,91,6,317,8,154,480,4,4,251,120,38,17,29,8,816,206,2891,280,18,3,89,1768,1607,2781,1332,1019,51,12,327,797,25,119,119,67,31,1033,668,28,380,1991,233,358,152,24,10,117,504,262,42,1010,128,259,812,150,299,503,8,6,2,285,5,686,171,101,117,4,127,647,518,98,131,252,68,21,26,345,314,12,6,13,19,28,35,115,1148,25,13,11,0
CEBPB,2,4,6,7,2,3,4,3,6,2,3,7,14,3,3,12,5,1,1,7,9,5,8,2,3,8,4,3,3,1,5,10,7,2,10,12,9,11,11,9,9,22,13,17,3,8,5,13,44,14,19,20,10,11,5,1,1,19,4,5,6,4,4,12,7,6,7,4,7,8,1,6,4,11,7,3,4,16,13,11,12,5,1,1,1,1,1,1,0,3,4,8,4,7,4,13,4,7,6,5,2,5,2,0,6,11,3,12,5,15,18,10,16,9,8,10,15,12,3,1,2,1,5,4,2,8,4,1,11,5,6,8,12,9,21,7,8,13,13,9,25,19,23,7,10,13,6,1,2,5,5,4,1,1,0,3,3,0,1,0,3,5,2,1,2,0,3,1,0,1,1,1,1,5,3,13,10,5,8,9,5,5,3,10,9,17,9,6,9,14,12,15,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,5,19,12,2,7,5,12,4,6,2,14,8,0,3,1,5,3,6,6,16,7,9,10,11,1,2,12,8,4,10,4,14,11,25,4,11,9,7,6,12,8,8,7,2,7,4,8,7,14,8,5,2,6,9,6,3,4,12,1,3,17,8,9,18,11,13,8,10,13,9,17,6,6,8,11,7,7,9,13,6,7,6,10,6,13,9,9,4,7,5,1,6,5,0,2,4,0,2,3,0,3,2,4,5,9,1,7,1,4,3,0,8,2,1,15,15,14,10,17,8,3,6,2,4,3,14,9,3,3,5,1,0,3,1,3,3,7,3,1,3,1,1,2,6,11,3,14,5,13,3,13,12,7,9,12,18,30,9,1,0,2,1,1,2,4,1,0,1,2,4,5,6,0,1,3,7,5,1,9,8,14,21,12,14,9,7,9,13,10,10,7,7,9,13,8,6,13,8,9,6,2,1,9,8,5,8,8,9,10,2,6,5,9,13,16,10,14,6,15,12,20,19,1,1,3,3,3,3,3,15,13,1,2,18,9,4,4,1,1,6,22,4,4,3,2,6,9,6,8,15,11,3,2,9,13,4,2,3,6,10,26,17,6,17,11,20,12,5,0,4,7,5,11,8,7,3,3,10,8,9,12,4,2,4,8,10,38,12,6,9,4,9,8,7,14,18,11,1,1,8,15,3,4,6,4,2,0,1,5,10,2,1,3,0
CHD1,1,1,8,5,2,1,2,3,2,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,2,0,0,0,0,1,3,1,0,3,0,2,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,2,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,0,2,0,2,0,2,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,1,1,0,2,0,0,0,0,1,1,3,1,6,0,1,5,2,0,0,0,2,4,2,1,6,5,10,4,5,0,5,0,4,0,5,1,0,2,2,0,1,1,0,2,1,0,2,0,1,1,1,0,2,0,0,1,1,3,5,2,1,0,0,3,0,3,3,2,0,0,0,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,4,1,0,1,0,3,1,3,1,0,1,1,2,2,1,0,0,1,1,0,1,2,1,1,2,0,0,0,0,1,2,1,0,1,0,2,0,0,0,4,0,0,0,1,0,2,1,0,0,0,0,4,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CTCF,3,14,9,17,4,8,12,11,17,7,3,15,13,5,3,9,7,0,6,2,5,4,4,2,2,12,11,5,3,3,6,2,13,5,4,8,7,3,5,5,4,7,5,10,8,4,1,10,16,10,6,10,4,8,4,5,2,9,1,7,8,3,4,8,3,1,3,6,2,7,6,11,9,3,5,6,3,5,4,12,3,8,3,0,0,0,0,0,2,5,3,4,2,0,1,1,0,2,1,2,0,0,0,2,3,5,4,2,5,2,16,1,0,1,4,0,3,7,2,0,3,3,0,4,1,4,2,3,6,7,3,6,4,5,5,6,7,4,5,6,2,8,8,3,7,6,9,4,1,1,3,1,0,0,0,2,0,1,0,0,1,3,1,0,1,2,1,0,0,0,2,1,0,4,10,13,9,5,12,12,8,8,1,7,4,20,8,8,5,15,4,3,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,5,13,12,4,2,1,9,8,15,2,6,4,3,5,5,12,4,12,20,14,8,10,13,12,5,1,8,13,14,18,8,15,13,18,15,17,8,22,8,6,9,20,14,4,10,5,6,7,12,2,7,9,10,10,7,3,4,5,3,7,9,11,13,10,7,15,6,4,4,9,12,7,8,11,9,3,6,7,8,8,16,4,5,3,3,5,5,4,9,7,2,0,2,1,0,1,1,1,2,0,1,1,6,4,4,2,2,4,0,3,4,2,1,0,4,5,6,7,6,10,3,4,1,2,2,3,2,1,1,2,3,0,4,3,0,1,2,1,0,0,3,2,2,3,9,0,4,5,3,3,7,4,7,0,3,6,7,6,0,1,0,1,1,0,1,0,0,0,1,0,0,3,0,1,3,5,3,0,4,6,6,9,6,8,7,4,4,4,2,6,2,1,2,0,2,2,2,8,1,1,2,0,7,5,7,2,0,7,1,0,2,4,4,6,7,2,1,3,15,6,7,6,3,1,1,4,1,5,5,7,6,3,0,6,8,2,3,6,4,7,6,10,3,7,2,5,7,10,18,16,9,8,4,14,5,4,8,5,4,6,4,4,5,12,7,9,10,4,3,2,3,14,10,8,7,3,7,5,6,5,6,1,2,2,2,5,6,11,6,6,0,5,4,2,7,3,9,2,3,10,7,5,4,1,5,2,0,0,8,6,0,1,4,0
DNase-seq,32,78,92,112,49,57,44,68,55,52,40,104,84,20,31,89,46,9,35,21,21,60,41,7,17,59,80,24,25,11,54,31,62,32,74,108,75,54,85,89,54,127,113,77,30,54,60,62,221,128,119,121,48,76,23,25,30,89,34,29,70,16,37,76,49,41,37,46,46,63,31,73,44,45,60,34,30,62,98,104,94,28,17,6,9,4,6,4,7,25,22,28,34,30,32,51,34,22,34,15,11,12,5,10,26,28,9,42,44,59,141,59,47,37,76,71,58,53,10,6,7,16,14,30,6,18,22,37,70,23,17,28,69,70,102,55,66,66,52,42,135,112,111,57,101,99,25,13,1,8,20,17,9,3,6,8,3,3,4,5,4,22,1,3,4,7,5,3,1,0,7,5,6,33,49,80,56,42,78,99,54,37,30,66,61,144,79,56,70,81,68,69,92,17,6,221,0,1,2,2,9,12,116,59,8,6,65,0,0,0,0,0,0,0,0,0,0,0,0,54,54,12,6,3,3,3,10,26,97,65,45,29,30,46,37,56,10,57,31,8,4,8,75,44,74,92,101,40,47,124,97,15,5,71,87,71,96,40,97,69,201,140,110,77,103,67,94,78,116,53,17,82,66,48,67,97,70,112,55,77,92,53,34,30,49,17,44,76,63,84,77,72,134,53,49,69,67,93,67,43,102,97,56,66,44,119,50,84,42,52,59,67,60,76,91,91,72,12,34,18,13,11,6,5,4,5,4,6,2,9,49,67,13,24,21,10,11,5,17,13,2,70,68,80,75,100,76,32,43,5,12,21,71,29,10,9,34,15,0,13,5,2,3,19,6,2,9,20,33,25,40,58,13,59,35,71,31,69,97,51,30,50,81,137,60,1,7,4,1,5,8,15,3,2,1,5,9,15,12,2,6,33,75,35,6,36,43,42,99,77,51,48,30,64,64,73,25,38,31,48,40,22,21,47,33,44,20,15,10,37,44,33,39,34,48,72,16,15,29,63,70,56,53,66,54,92,90,88,68,25,13,15,34,33,48,17,74,45,15,13,54,62,49,31,22,33,68,68,98,37,42,21,28,90,62,126,86,78,60,31,99,84,39,36,25,55,72,158,148,41,119,58,118,80,19,20,17,33,81,75,94,72,18,45,97,77,83,69,13,16,19,30,66,174,91,58,56,12,31,74,43,123,110,64,22,24,62,132,40,32,41,34,8,7,11,59,49,18,22,21,0
EP300,0,4,2,6,6,2,3,3,3,2,2,11,6,0,1,3,0,0,0,0,0,8,3,0,0,2,6,0,1,0,1,4,2,0,8,20,4,2,8,12,3,29,16,7,3,5,0,5,30,19,18,8,7,2,0,1,2,9,2,0,4,0,6,9,4,1,4,0,1,1,0,3,0,5,3,0,0,13,11,3,11,1,0,0,0,0,0,0,0,1,0,2,2,3,0,5,2,1,1,2,0,0,0,0,2,1,0,5,2,6,7,5,3,4,7,8,8,8,0,0,0,1,0,2,0,0,2,0,5,1,0,0,3,2,6,0,4,7,7,3,18,9,18,0,3,10,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1,2,6,5,4,0,0,3,5,14,4,3,9,6,3,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,3,5,3,7,0,5,0,5,3,0,0,0,4,2,4,3,9,1,6,14,8,0,0,3,1,3,4,2,6,3,24,11,12,4,11,2,10,4,10,2,0,6,5,2,3,11,10,9,2,8,6,1,1,5,4,0,1,10,0,1,3,4,9,2,3,7,3,8,5,0,7,7,1,2,1,13,3,1,3,2,5,5,4,2,6,6,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,4,1,6,4,10,5,0,5,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,5,1,1,2,12,0,0,11,2,1,3,6,15,5,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,5,9,1,0,2,6,4,8,3,2,4,0,8,4,7,1,1,1,2,2,0,1,2,0,5,0,0,0,0,2,3,1,4,0,6,0,2,0,6,2,3,6,10,2,11,9,5,16,2,0,0,1,3,0,0,11,4,0,0,5,7,3,2,0,0,3,5,7,1,0,1,0,10,1,14,4,10,1,0,4,9,1,0,0,4,7,8,19,5,11,4,17,3,0,1,2,1,3,4,2,2,0,1,10,2,4,7,0,0,1,3,12,19,6,4,2,0,5,5,0,17,19,8,1,0,3,12,0,2,2,1,0,0,0,5,1,0,1,1,0
H2AK5ac,16,73,60,60,29,17,13,30,30,32,7,90,51,2,7,49,9,1,16,3,8,99,28,0,2,35,50,1,7,0,8,30,36,1,71,184,31,38,106,164,36,158,193,84,11,29,2,46,300,151,126,58,47,55,3,0,22,81,5,0,96,0,61,121,35,12,14,10,7,18,0,27,2,19,12,5,0,62,73,30,65,12,0,0,0,0,0,0,0,6,1,12,44,20,16,74,34,22,2,3,0,0,0,0,24,24,0,31,33,32,26,65,34,51,134,107,126,112,0,0,0,1,0,1,0,1,1,2,33,0,3,1,59,35,90,22,22,39,82,33,170,128,184,13,64,85,5,0,0,1,9,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,3,25,3,15,57,55,18,2,0,15,12,99,52,18,46,68,34,93,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,66,32,11,45,50,50,0,34,6,22,5,0,0,0,31,29,36,9,101,20,58,110,50,0,0,33,33,90,67,8,87,40,152,96,92,63,66,19,109,72,104,18,2,42,48,14,20,124,182,146,33,151,53,4,6,29,28,5,20,75,15,51,36,64,91,20,29,68,36,153,37,6,97,62,16,9,13,114,21,44,22,26,26,59,22,31,53,62,23,0,6,14,2,1,0,0,0,0,0,0,0,0,30,30,0,8,9,0,0,0,2,2,0,56,72,68,94,172,53,4,42,0,4,3,84,29,0,0,14,3,0,1,0,0,0,1,1,0,0,1,6,1,28,34,1,4,16,66,1,32,105,8,1,22,51,156,70,0,1,0,0,0,0,11,0,0,0,0,0,7,3,0,0,21,52,22,0,36,62,28,86,42,28,27,10,54,44,97,8,7,10,58,52,5,2,14,6,37,8,0,0,3,13,9,17,9,27,79,0,3,5,40,32,24,57,53,45,96,63,77,92,2,0,0,2,7,8,0,40,15,0,0,26,28,44,7,0,0,35,52,72,1,2,0,2,40,20,82,68,80,14,0,58,33,5,0,0,40,63,98,161,14,139,31,137,30,2,3,10,3,36,59,60,36,3,4,54,30,37,45,0,0,5,29,37,147,41,12,2,0,17,29,6,172,144,84,7,0,46,195,9,2,10,5,0,0,0,24,5,0,1,7,0
H2AK9ac,14,52,64,77,18,14,17,29,19,36,19,51,33,4,2,18,7,4,5,2,3,5,8,1,3,28,27,1,2,2,10,11,13,11,22,28,14,13,16,25,2,17,24,26,4,13,5,6,53,23,10,7,11,11,2,6,4,9,3,2,7,2,7,8,3,0,7,14,10,8,4,10,1,11,12,2,2,6,25,8,12,6,1,3,0,1,0,0,0,2,0,0,0,1,1,4,1,3,0,0,1,0,1,1,1,0,0,0,4,0,6,3,4,0,2,2,1,3,0,0,1,1,0,0,2,1,2,5,10,2,2,3,8,12,24,8,8,2,12,8,11,13,17,9,12,14,6,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,2,1,0,1,0,1,1,0,0,0,0,5,2,6,10,18,16,22,18,4,9,22,5,61,30,14,12,44,18,11,18,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,28,20,6,8,1,9,4,13,2,12,7,0,1,1,33,11,30,22,65,8,13,63,40,1,0,12,33,59,60,13,52,50,57,78,70,20,50,18,28,18,83,19,2,48,39,14,17,36,44,50,12,43,21,7,13,8,22,1,10,35,8,33,20,23,42,11,8,3,4,7,6,7,32,32,3,13,10,30,2,17,8,5,10,28,4,14,12,10,7,1,2,2,2,0,0,0,0,1,1,0,0,0,7,8,0,0,1,0,0,0,1,1,1,6,7,8,8,10,13,1,6,2,0,2,5,0,1,0,4,0,0,2,0,0,0,0,0,2,0,2,0,0,5,6,1,9,11,12,4,6,12,2,2,0,6,14,13,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,6,3,1,4,4,7,7,5,3,3,3,4,2,2,2,1,2,4,0,1,0,3,1,3,0,1,1,3,3,9,2,7,5,5,1,1,3,2,4,7,7,3,6,13,9,19,11,3,2,1,7,10,8,6,11,5,2,2,5,7,14,3,3,3,9,1,39,15,9,7,5,34,15,62,35,26,17,7,19,13,9,5,5,12,10,4,14,1,17,9,9,15,4,0,1,10,23,24,22,18,2,6,30,17,16,9,0,2,2,4,2,13,16,2,5,2,6,14,2,16,9,10,6,6,6,16,6,8,7,4,2,3,6,14,12,8,2,2,0
H2AY,6,13,3,0,29,18,8,31,37,8,19,38,15,2,2,0,1,0,4,2,2,6,1,1,0,6,4,3,5,0,1,1,16,10,7,2,3,1,10,0,0,42,27,24,12,21,10,19,20,11,37,4,56,10,2,9,14,12,2,1,26,0,29,47,0,0,2,9,1,4,2,9,3,2,0,10,4,45,32,0,7,1,1,0,0,0,0,0,0,1,0,1,13,15,8,16,12,7,1,0,1,0,1,2,15,3,3,25,46,32,5,56,2,8,26,14,16,5,0,0,0,0,4,0,0,0,1,6,10,3,3,1,16,8,9,25,5,51,39,27,46,59,51,10,2,67,0,0,0,3,4,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,10,8,13,21,80,26,9,5,13,12,9,1,7,7,6,3,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,3,4,9,11,2,1,6,4,6,0,0,0,0,12,4,2,67,12,14,11,0,1,1,0,5,6,3,22,14,17,6,3,2,6,4,22,5,8,32,4,8,2,2,4,26,7,41,83,56,33,61,16,1,0,9,23,0,0,19,7,18,0,27,2,1,1,3,30,27,0,37,23,21,3,32,6,90,15,34,6,2,0,4,0,9,1,3,12,2,11,5,7,1,0,0,1,0,0,0,0,1,4,9,0,2,1,0,1,0,0,1,0,0,19,34,23,63,16,0,6,1,0,1,26,7,0,0,0,2,0,0,0,0,0,3,1,0,0,0,13,1,16,17,2,3,6,9,3,22,7,6,11,29,3,0,1,0,2,0,1,0,0,1,0,0,0,0,0,7,1,0,0,27,18,2,0,9,22,11,9,20,47,22,0,10,34,14,7,15,19,12,33,3,4,6,11,20,7,4,0,5,7,4,0,2,0,23,1,2,5,29,15,22,36,58,38,39,1,5,16,6,0,0,2,13,2,2,28,0,0,1,2,24,46,29,0,0,4,3,2,1,2,2,8,1,14,5,19,58,10,6,14,9,4,15,5,15,18,29,4,25,10,6,54,3,7,1,1,0,12,6,6,9,0,41,27,3,1,6,0,0,7,25,59,68,16,25,4,2,15,19,24,69,105,17,3,1,28,23,1,9,17,8,0,0,0,4,1,0,1,2,0
H2AZ,14,64,53,56,25,25,30,42,45,37,18,61,31,6,10,19,8,3,16,7,4,15,22,4,0,32,26,4,8,4,17,25,27,20,16,13,14,18,21,4,2,17,13,24,6,11,10,7,33,10,14,2,19,17,7,9,8,14,9,9,22,2,13,16,5,0,11,25,12,22,25,15,9,19,17,17,7,16,29,6,6,12,8,0,0,0,0,0,4,3,4,4,2,10,10,11,4,6,6,4,0,0,0,1,4,7,0,1,5,8,13,7,4,2,9,5,4,3,0,1,2,6,4,0,0,6,2,16,18,12,3,6,14,11,18,19,19,13,24,6,10,9,14,9,8,18,9,4,0,2,3,2,1,0,0,0,1,1,0,0,1,4,1,1,1,0,0,1,0,0,0,0,0,7,15,7,12,22,16,14,22,19,16,23,12,48,13,14,12,34,14,19,15,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,41,32,9,8,8,7,17,22,4,30,5,0,2,0,29,19,25,35,53,15,21,45,40,3,2,22,36,46,59,41,44,51,44,58,63,23,51,27,21,21,64,37,6,38,28,10,29,51,29,54,32,49,15,15,26,20,28,5,6,39,6,37,16,41,12,19,15,4,21,14,12,13,33,34,6,27,10,41,15,44,7,13,13,27,10,16,7,14,17,1,5,4,0,0,0,0,0,0,1,0,1,7,10,12,4,2,7,0,1,2,3,1,0,10,7,13,14,16,15,0,17,3,2,4,12,3,1,1,5,3,0,4,0,0,1,1,0,0,0,7,2,1,17,25,7,12,10,7,7,10,18,18,5,1,4,7,11,1,3,0,0,0,2,8,1,0,1,2,2,2,1,1,0,11,8,3,2,7,8,9,17,12,5,10,5,11,4,5,5,2,5,9,7,7,3,7,8,15,1,4,1,11,4,7,3,17,3,7,2,5,3,26,11,6,9,8,20,23,15,26,28,8,2,5,11,8,8,9,31,6,4,0,5,8,25,6,9,5,20,3,22,18,24,13,17,22,16,46,41,42,26,12,36,22,6,11,4,16,17,11,7,11,17,6,20,23,11,5,3,13,46,42,27,25,3,9,22,22,13,9,1,1,3,5,13,18,21,11,13,5,12,19,6,21,21,20,12,5,29,21,8,5,10,15,2,3,8,36,14,7,11,12,0
