,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000,102750000,103000000,103250000,103500000,103750000,104000000,104250000,104500000,104750000,105000000,105250000,105500000,105750000,106000000,106250000,106500000,106750000,107000000,107250000,107500000,107750000,108000000,108250000,108500000,108750000,109000000,109250000,109500000,109750000,110000000,110250000,110500000,110750000,111000000,111250000,111500000,111750000,112000000,112250000,112500000,112750000,113000000,113250000,113500000,113750000,114000000,114250000,114500000,114750000,115000000,115250000,115500000,115750000,116000000,116250000,116500000,116750000,117000000,117250000,117500000,117750000,118000000,118250000,118500000,118750000,119000000,119250000,119500000,119750000,120000000,120250000,120500000,120750000,121000000,121250000,121500000,121750000,122000000,122250000,122500000,122750000,123000000,123250000,123500000,123750000,124000000,124250000,124500000,124750000,125000000,125250000,125500000,125750000,126000000,126250000,126500000,126750000,127000000,127250000,127500000,127750000,128000000,128250000,128500000,128750000,129000000,129250000,129500000,129750000,130000000,130250000,130500000,130750000,131000000,131250000,131500000,131750000,132000000,132250000,132500000,132750000,133000000,133250000,133500000,133750000
RNAseq,155,882,145,233,504,326,569,472,160,137,97,660,354,238,20,126,84,449,366,173,20,48,392,14,18,654,3815,3019,1593,422,62,111,492,120,29,253,421,155,68,118,21,409,124,559,379,374,28,257,119,544,291,661,640,547,6,9,7,53,281,353,13,10,7,516,521,10,824,35,69,1,16,2,4,4,24,12,14,416,231,11,48,7,335,20,5,29,521,521,149,10,313,165,16,9,54,159,238,493,234,479,230,238,30,42,521,78,128,277,570,215,434,845,7,140,194,7,4,158,451,416,7,2,6,311,132,211,248,149,173,345,210,631,10,3,16,2,39,43,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,8,20,3,8,6,49,22,39,86,20,10,8,18,5,7,2,262,402,525,7,7,7,22,383,94,59,24,24,63,289,131,155,804,1109,1620,67,254,54,12,1085,295,320,24,1326,1474,1854,574,1376,569,1305,379,336,520,642,262,277,773,87,5,158,1755,1199,1104,619,62,1471,884,7,4,9,56,1586,1538,4255,1161,1476,885,1656,1245,2333,42,7,3,8,126,8,15,108,5,7,1,2,5,3,4,4,27,186,359,61,229,4,19,279,389,291,475,626,20,394,361,586,1018,511,17,24,33,339,7,130,2,270,24,1016,13,298,737,39,6,359,56,21,7,5,7,736,195,783,466,137,6,4,3,2,7,33,239,2,38,17,752,34,1236,155,495,280,498,5,17,28,437,285,4,33,244,142,263,1137,417,9,18,169,90,50,9,3,5,79,151,16,16,3,3,3,4,3,7,14,31,13,9,15,17,23,3,7,4,9,1,37,171,333,210,1,3,147,527,609,6,7,6,3,20,876,5,4,22,227,10,1027,160,21,753,114,25,122,352,18,278,407,653,582,355,406,99,8,124,5,113,9,9,3,927,615,9,7,8,12,226,238,64,99,181,287,410,297,253,141,8,5,8,1,8,95,1456,1147,37,62,553,728,204,14,152,1441,194,74,499,16,25,551,14,16,476,2859,31,295,852,101,1133,314,1414,437,23,19,438,412,898,406,984,9,94,708,176,19,337,6,510,596,16,17,7,12,588,530,31,270,272,255,3,8,422,1024,336,8,17,158,15,661,95,2040,1044,812,268,455,797,456,394,367,1459,743,998,773,1121,1020,492,24,593,37,796,316,27,55,7,12,7,2,4,243,5,4,2,8,10,4,83,13,24,37,31,17,12,12,821,8,7,88,453,276,14,338,2084,423,78
CEBPB,2,4,7,10,12,7,12,11,14,20,6,10,10,8,1,2,1,5,3,1,8,9,11,4,19,18,13,6,12,6,4,3,10,3,1,4,7,2,1,5,6,11,4,13,2,2,5,25,2,5,14,17,18,15,3,1,1,7,6,9,7,3,5,14,4,1,9,1,2,0,2,0,0,3,10,8,6,12,5,11,11,4,8,0,0,3,5,7,8,8,7,6,6,1,1,2,7,6,10,11,10,16,10,11,11,14,3,12,9,14,13,11,22,5,13,4,9,7,9,13,3,2,4,8,2,3,10,8,2,8,10,4,1,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,2,0,2,4,3,1,1,4,3,4,3,0,8,10,10,7,9,4,6,8,1,3,0,3,14,5,8,5,11,23,7,19,17,5,10,9,3,2,7,8,8,14,17,14,10,16,10,11,9,7,8,19,12,4,4,16,9,17,8,3,9,6,1,4,1,0,13,11,13,15,7,5,12,14,13,9,4,21,9,13,2,9,11,6,12,2,1,1,1,0,1,3,8,5,14,5,1,0,3,17,8,10,13,3,10,18,20,18,11,2,2,1,2,5,12,5,8,11,8,11,5,19,10,5,5,7,4,5,3,7,11,4,17,7,1,0,2,0,2,0,0,6,2,6,6,15,21,25,12,8,10,11,9,2,8,14,9,8,9,4,7,10,15,11,4,10,6,6,1,4,3,1,2,3,2,0,0,0,1,2,4,3,4,4,2,2,8,0,4,1,7,4,8,3,9,10,14,17,13,9,19,15,14,10,6,5,2,12,12,0,6,11,7,10,13,13,13,15,14,15,9,3,9,7,11,8,18,8,15,17,4,4,2,1,1,0,2,10,3,2,1,4,2,4,12,3,3,9,4,2,11,12,5,10,5,2,2,3,6,5,11,7,8,10,14,8,3,16,20,4,1,7,8,6,2,2,0,4,20,3,5,8,4,16,15,14,8,2,1,11,10,8,8,7,0,1,12,3,1,5,5,8,10,10,16,10,3,8,16,21,9,5,4,1,2,4,3,6,0,2,3,1,6,3,13,11,4,9,11,4,15,14,10,19,15,14,15,8,7,15,5,9,25,15,4,0,2,2,1,4,0,2,8,6,4,0,1,2,0,1,0,0,1,0,0,4,3,7,2,0,1,6,3,2,6,4,2,3
CHD1,0,2,1,0,1,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,6,3,2,1,0,0,3,2,0,0,0,0,0,2,0,2,0,2,0,0,0,1,1,0,1,2,1,2,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,1,0,1,2,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,3,0,1,0,0,1,0,0,0,1,2,3,1,1,2,4,2,2,1,2,0,0,6,3,1,0,7,4,2,1,0,3,3,0,1,0,0,3,4,3,1,1,3,2,1,5,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,1,0,0,1,0,0,3,1,2,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,2,0,0,2,0,1,0,0,0,1,4,1,1,1,0,1,1,1,1,0,0,2,1,0,0,0,0,0,2,0,0,2,0,2,4,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,1,1,4,0,0,3,3,1,0,1,1,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,1,0
CTCF,2,4,9,6,4,1,8,5,8,10,5,16,8,9,1,7,4,4,4,5,5,3,6,4,8,12,15,16,12,8,4,7,9,5,5,5,7,1,2,8,4,5,4,4,0,2,5,3,7,2,6,10,8,9,2,2,2,4,7,11,4,7,6,1,5,2,3,1,1,0,0,1,2,6,3,0,1,5,3,5,3,2,4,3,0,3,2,4,4,4,5,4,4,1,0,0,2,2,3,7,4,4,7,2,7,9,4,9,9,3,7,8,3,2,2,0,6,2,4,1,2,2,3,5,4,8,5,5,2,5,3,5,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,2,3,2,5,2,1,3,3,1,1,2,4,6,0,1,4,2,7,6,1,0,1,4,14,3,4,5,8,5,4,7,2,3,22,11,9,2,8,25,17,10,14,13,9,4,5,5,7,10,5,20,17,5,1,19,17,12,8,4,15,13,9,5,2,0,17,13,19,10,6,14,18,9,15,7,4,3,3,2,4,6,3,0,2,2,0,0,0,0,0,2,4,6,6,3,2,1,8,2,4,2,8,2,8,2,5,9,9,1,3,2,3,4,4,4,4,2,4,5,7,7,7,3,0,2,6,1,0,3,7,3,8,1,0,0,0,0,0,1,0,4,5,2,2,8,3,6,4,4,4,7,3,1,4,5,4,4,1,1,3,6,3,1,7,4,5,1,3,1,4,0,1,4,2,1,0,0,1,0,0,3,2,5,1,6,1,7,1,0,0,1,2,0,2,4,4,3,1,4,2,6,2,4,2,0,2,6,6,5,3,2,3,3,6,6,1,11,4,6,4,4,5,3,4,3,5,9,2,7,2,3,2,1,0,2,1,12,9,4,0,2,5,2,7,2,5,3,2,2,7,4,3,5,6,3,0,4,3,5,7,4,6,4,3,4,3,0,9,2,3,7,3,6,7,8,3,6,11,3,6,7,9,13,6,10,3,6,5,8,7,4,5,3,0,5,5,6,1,9,1,4,9,0,1,2,3,11,7,5,9,4,7,1,1,9,5,3,0,2,2,3,7,5,8,13,7,8,5,6,15,12,9,6,3,7,6,4,6,7,3,14,11,7,4,2,0,0,1,0,0,0,2,7,3,0,1,0,0,3,1,0,0,1,2,2,2,5,2,0,2,9,6,5,9,5,3,1
DNase-seq,42,55,59,56,47,51,118,80,69,147,63,72,96,80,25,41,38,40,21,32,49,59,108,33,68,134,90,107,76,43,19,17,84,38,12,34,30,21,21,41,17,53,22,52,20,9,27,111,45,57,62,110,132,94,17,9,10,30,38,48,46,17,26,104,55,10,48,10,8,5,3,5,4,15,38,29,49,74,57,61,41,21,51,14,3,7,24,37,39,33,26,35,33,7,11,11,37,35,64,59,85,62,56,68,58,85,32,70,54,80,86,69,86,26,45,26,58,32,43,66,23,16,16,51,45,35,66,41,38,77,53,34,11,2,1,7,5,28,10,95,0,0,0,0,0,0,0,0,0,0,0,21,200,44,19,2,4,7,5,3,16,22,26,4,3,20,5,9,10,14,50,74,53,47,64,14,45,28,22,11,7,13,78,34,62,34,53,129,53,88,79,45,104,69,35,12,61,110,91,58,90,80,101,61,65,59,65,55,71,143,120,29,31,115,103,102,80,38,80,59,16,24,10,1,83,87,92,61,55,71,121,91,103,54,36,88,46,60,14,23,38,31,35,11,9,6,4,6,4,7,35,35,70,31,8,7,38,91,56,57,78,18,57,95,116,149,51,24,12,11,29,38,83,27,57,60,65,58,31,77,35,20,25,33,36,15,2,26,47,35,65,34,8,1,3,4,9,1,7,17,15,10,20,71,105,106,70,44,71,56,37,17,26,45,43,27,12,33,33,76,60,62,46,45,38,36,17,4,8,8,2,25,16,11,6,6,6,9,21,12,23,28,7,11,19,12,17,4,21,10,48,17,50,41,44,83,48,60,78,83,53,79,25,13,25,51,76,22,28,80,54,64,53,72,85,99,94,56,47,31,43,42,78,59,73,50,97,88,14,29,7,7,9,8,11,62,41,14,5,7,8,22,47,32,40,39,22,21,38,52,31,60,23,16,5,18,48,76,110,61,53,55,77,53,27,81,97,32,25,70,58,83,53,27,25,57,201,30,49,60,59,106,80,73,64,24,18,99,70,40,52,46,20,31,80,43,28,59,26,95,115,66,64,64,20,56,105,109,55,60,46,8,6,46,55,60,10,8,27,16,34,31,109,69,65,57,65,65,120,86,63,94,51,110,70,57,64,71,37,122,162,88,49,12,7,10,4,3,8,7,29,39,35,8,13,13,13,32,14,7,11,9,9,14,26,49,16,15,28,73,40,31,60,66,28,6
EP300,2,2,2,0,3,4,13,2,8,21,2,1,5,8,0,1,2,3,1,1,6,1,5,2,4,17,7,8,7,1,2,0,8,3,0,0,1,2,0,3,1,11,1,6,0,0,0,11,4,4,2,13,9,11,0,0,0,2,2,2,2,1,0,3,1,0,4,0,0,0,0,0,0,1,1,5,3,5,4,3,5,2,3,0,0,0,0,2,1,5,2,0,2,0,0,0,2,2,3,5,6,6,6,3,1,4,1,7,1,5,7,4,5,1,5,2,4,0,8,7,1,0,0,3,2,1,5,2,0,5,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,7,3,5,0,0,0,0,0,0,0,7,3,5,1,5,25,4,13,1,1,6,5,4,0,4,3,7,3,3,2,10,2,5,2,2,3,3,8,15,0,2,14,5,2,3,0,6,6,0,0,0,0,6,4,6,1,5,8,9,8,5,6,1,14,3,6,2,4,2,1,2,0,1,1,0,0,0,0,1,5,10,2,0,0,1,10,2,5,4,1,6,16,16,11,3,0,0,0,0,2,3,1,4,5,2,4,0,9,3,1,1,1,1,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,4,12,12,11,4,8,9,2,1,1,1,0,0,0,3,1,6,0,3,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,2,1,6,2,8,1,3,1,7,6,5,8,2,0,1,3,13,0,1,7,4,4,2,10,5,6,8,8,4,1,1,6,6,4,15,0,6,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,4,6,2,0,1,4,0,5,0,0,0,1,2,11,12,3,2,1,9,5,0,14,8,2,1,4,1,4,0,0,0,1,25,2,3,3,1,16,7,7,1,0,0,5,6,2,4,2,0,0,9,1,1,5,0,10,17,11,6,5,0,1,4,12,0,4,1,0,0,2,5,3,0,0,5,0,2,0,13,3,1,0,3,4,6,5,9,8,8,8,11,2,4,3,1,16,21,16,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,2,0,1,3,0,1
H2AK5ac,10,18,10,12,23,27,147,22,83,230,23,23,57,68,0,9,7,3,2,3,42,48,98,8,72,192,87,72,68,15,6,0,60,22,0,3,3,0,1,15,15,47,3,24,3,3,4,131,27,27,41,111,135,128,0,0,0,12,7,16,22,0,11,97,44,0,13,0,0,0,0,0,0,2,23,33,12,40,24,60,19,5,19,3,0,0,8,7,3,20,7,1,5,0,0,0,5,24,68,38,53,52,35,55,37,45,7,36,13,71,65,66,46,22,42,5,39,12,58,52,9,0,2,21,10,2,35,21,10,25,53,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,0,0,13,25,58,17,57,1,12,0,0,0,0,0,53,9,15,11,22,214,77,92,70,13,90,55,8,0,42,41,94,21,65,44,93,50,42,40,36,34,31,129,156,2,5,97,92,62,31,0,55,60,0,1,0,0,51,59,74,45,26,38,77,57,52,42,29,121,33,57,7,4,7,8,17,2,1,0,0,0,0,0,3,12,80,10,0,0,13,117,57,49,43,6,28,126,166,92,9,6,0,0,2,18,55,18,12,56,18,61,1,58,13,4,5,2,8,0,0,5,13,21,57,1,0,0,0,0,0,0,0,2,0,5,1,85,238,187,123,13,60,41,19,4,1,17,7,3,9,4,3,62,15,34,16,52,28,3,0,0,0,0,0,3,0,0,0,0,0,2,2,0,3,3,0,0,3,0,2,0,14,0,7,1,42,13,54,31,24,50,70,86,56,63,4,5,1,19,97,4,8,99,31,38,25,83,69,63,154,87,23,1,0,21,48,50,113,8,38,80,0,8,0,0,0,0,0,20,5,0,0,0,0,3,9,2,19,18,1,3,12,51,3,48,9,0,0,1,21,56,81,31,20,11,118,42,11,124,70,13,2,13,9,41,8,0,0,42,149,6,7,29,3,97,81,54,21,0,0,55,36,13,48,11,0,1,62,7,3,19,2,70,106,87,39,61,1,10,43,134,9,24,1,0,0,11,16,26,1,0,5,0,2,1,62,19,10,4,36,30,96,89,56,85,33,83,87,31,23,30,15,115,194,77,4,0,0,0,0,0,0,0,7,16,17,0,0,0,0,16,0,0,0,0,0,0,0,13,0,0,6,39,11,0,9,20,7,2
H2AK9ac,4,13,13,7,19,2,19,10,13,23,11,19,34,36,4,6,6,7,3,3,11,6,10,4,9,42,50,56,40,8,0,2,17,1,0,3,5,1,1,5,2,4,1,3,0,4,0,12,12,5,4,16,21,16,4,2,1,8,3,6,2,1,0,5,5,1,5,0,0,0,0,1,1,0,2,0,4,6,10,2,1,1,1,1,0,1,2,6,4,2,5,3,2,1,1,2,2,2,5,0,6,5,7,3,6,9,3,1,4,6,10,12,2,3,0,1,3,1,2,2,2,1,0,10,5,8,4,5,5,4,4,1,1,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,3,1,0,6,10,3,2,10,1,3,2,2,0,1,1,6,1,4,7,6,22,7,4,7,4,32,14,4,1,26,28,34,16,26,15,12,7,9,7,21,11,13,36,55,2,7,59,48,30,16,5,15,26,1,0,1,2,42,29,48,14,15,21,40,38,32,14,1,5,3,6,0,1,0,3,3,1,1,0,0,0,1,2,1,6,10,5,3,1,9,5,8,6,10,5,6,6,17,2,7,2,1,1,2,7,9,4,1,4,10,7,2,6,4,0,2,1,2,1,0,3,5,5,16,4,0,0,0,0,0,0,0,2,0,2,2,4,6,13,9,2,7,6,4,0,2,2,3,1,0,0,0,4,6,5,1,5,7,4,1,0,0,0,1,2,1,0,0,0,0,0,3,1,0,1,0,0,0,0,1,1,0,1,2,1,1,0,3,5,0,3,5,8,7,4,1,0,1,1,2,4,1,4,4,2,3,10,7,22,11,5,6,4,5,5,7,11,11,3,11,9,2,5,1,2,0,0,3,6,7,0,3,0,0,3,9,2,11,2,2,5,6,7,2,3,1,2,0,1,7,20,13,9,6,4,24,13,3,7,22,4,3,11,8,9,12,3,10,20,29,7,13,14,12,46,12,13,11,5,5,27,13,5,13,5,4,2,29,18,8,20,1,23,30,5,4,11,3,9,2,25,12,18,4,1,0,6,11,11,1,1,6,1,8,4,38,13,14,10,17,23,51,34,19,13,11,41,14,27,23,9,4,62,35,32,13,2,1,0,0,3,1,0,2,6,4,3,4,1,4,9,1,1,2,5,3,0,4,15,4,4,8,53,15,6,36,25,7,1
H2AY,11,15,31,10,0,0,6,14,24,1,0,6,5,4,0,5,4,5,1,1,17,28,8,13,43,60,5,1,3,3,0,2,26,1,2,1,0,6,1,3,1,19,5,5,0,0,14,6,12,3,4,23,5,16,0,0,0,3,1,2,9,4,6,27,10,2,0,1,0,1,0,0,1,3,17,12,26,4,8,35,20,4,8,0,0,0,0,6,11,25,1,0,11,1,0,0,0,0,2,33,19,24,22,47,11,42,1,17,8,21,10,9,49,9,8,15,26,6,0,13,5,0,1,2,13,2,0,5,4,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,1,1,2,48,13,18,1,0,0,0,0,0,1,1,6,16,5,16,14,7,42,24,17,7,25,2,1,2,21,9,1,3,18,1,4,1,1,4,3,1,21,58,4,10,15,7,4,24,5,16,7,1,0,0,1,4,6,1,5,6,13,0,8,7,16,19,66,33,18,8,5,5,9,21,4,0,1,0,0,0,0,0,1,46,6,0,0,3,0,2,27,4,7,1,36,45,60,4,2,6,0,1,16,48,7,12,51,2,39,1,2,7,3,0,0,2,0,0,9,0,8,6,0,0,0,0,0,0,0,0,1,0,2,0,20,50,34,46,2,22,20,18,3,10,3,1,5,11,0,0,0,5,14,11,10,3,0,0,0,0,0,0,0,0,0,1,0,0,1,10,6,1,1,2,1,2,1,2,0,11,1,6,6,22,8,40,15,28,38,41,8,20,41,3,2,4,21,24,10,12,40,11,27,25,66,40,7,14,25,27,3,26,1,14,33,35,16,12,23,0,7,0,0,0,0,1,18,0,0,0,0,0,2,0,5,3,1,0,1,4,0,1,31,4,0,0,6,3,1,30,14,16,7,12,9,3,49,14,0,1,8,19,23,5,0,0,15,13,17,4,2,19,10,19,3,7,2,9,11,0,0,5,1,0,3,17,9,10,2,4,31,22,63,47,25,5,6,15,81,29,9,5,0,2,1,0,0,0,0,1,0,1,11,1,22,8,7,17,0,2,7,24,15,18,13,4,1,2,2,9,7,116,17,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,5,12,11,15,0,0,0
H2AZ,7,27,19,6,13,1,22,25,21,27,8,23,25,34,15,14,16,22,12,10,22,18,29,11,31,55,46,55,43,13,13,3,25,9,6,3,11,4,5,17,9,5,8,13,2,2,4,12,9,11,6,26,18,18,7,6,1,16,3,9,7,6,6,5,9,2,8,6,0,1,0,0,0,1,4,9,7,4,8,7,6,2,6,2,0,0,7,11,9,6,6,6,4,0,1,0,4,0,7,4,12,6,10,5,5,27,4,5,11,10,7,9,15,3,1,1,6,6,9,5,3,2,2,16,18,9,11,16,15,4,6,9,2,1,2,1,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,2,2,3,5,1,1,0,2,3,0,6,7,6,13,7,7,6,10,3,3,0,0,5,3,1,8,8,2,12,15,14,13,13,35,25,19,3,21,43,46,17,31,43,10,5,7,17,26,29,15,47,59,11,10,62,61,21,28,22,22,29,3,3,0,0,48,31,34,22,21,17,37,49,47,25,7,13,9,11,3,5,2,5,6,1,0,1,0,0,0,0,6,9,21,12,2,0,9,1,13,9,13,3,7,9,21,2,15,7,2,2,5,9,16,9,10,19,13,16,10,12,12,9,4,9,12,1,0,8,15,2,13,1,1,0,1,1,0,0,2,3,0,1,8,18,12,24,11,2,17,15,11,2,1,2,3,5,4,2,2,5,6,9,9,10,13,2,1,0,7,1,0,5,4,1,0,0,0,0,1,2,1,7,3,5,1,3,4,2,5,0,6,1,6,6,5,5,9,8,10,7,9,10,6,1,3,9,9,3,3,6,8,12,3,15,21,18,17,20,12,3,8,9,9,16,9,13,11,11,8,7,1,0,1,1,1,24,6,2,1,2,0,3,18,8,9,5,6,4,13,14,3,20,5,5,2,3,11,19,9,17,10,12,23,13,2,7,17,6,8,11,11,24,16,3,8,20,22,15,22,19,32,26,20,15,20,9,11,19,14,7,14,14,5,18,35,28,13,13,9,30,40,18,11,17,2,5,7,45,17,20,14,0,4,12,8,7,0,4,11,2,15,10,30,23,19,12,14,21,54,36,18,13,13,44,10,28,23,17,11,28,49,40,18,4,2,1,1,0,0,0,10,10,9,0,1,2,7,7,1,1,3,1,9,5,4,23,7,9,11,43,20,15,31,28,16,5
