,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000,102750000,103000000,103250000,103500000,103750000,104000000,104250000,104500000,104750000,105000000,105250000,105500000,105750000,106000000,106250000,106500000,106750000,107000000,107250000,107500000,107750000,108000000,108250000,108500000,108750000,109000000,109250000,109500000,109750000,110000000,110250000,110500000,110750000,111000000,111250000,111500000,111750000,112000000,112250000,112500000,112750000,113000000,113250000,113500000,113750000,114000000,114250000,114500000,114750000,115000000
RNAseq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,9,48,547,646,273,30,198,280,700,435,327,5,27,18,2,23,4,963,446,145,109,332,604,246,197,464,11,17,18,591,143,138,184,72,698,16,82,328,147,44,4,5,502,258,10,438,301,27,646,54,2,15,136,257,314,341,551,974,12,138,14,5,11,5,51,44,27,27,7,500,5,111,448,6,189,45,18,364,4,30,115,439,492,172,5,13,79,247,569,273,340,259,209,507,7,106,192,13,11,135,233,28,497,12,247,1373,179,2,464,46,128,391,3,3,3,69,428,315,155,35,466,376,337,414,471,26,25,21,113,338,152,220,573,136,542,203,7,2,5,7,83,133,24,5,27,24,98,20,9,5,8,14,12,5,3,3,0,8,3,18,7,5,160,572,527,44,112,4,3,7,2,5,1,0,3,3,1,1,3,8,3,0,4,3,21,2,1,83,5,4,20,6,20,79,1,9,4,1,1,4,15,11,2,5,6,1,6,5,7,0,24,41,2,4,5,676,86,9,10,458,398,11,1,4,2,110,404,1302,4,10,3,62,695,330,1,156,4,2,237,143,8,594,93,3,5,156,6,5,6,1,5,128,1,5,2,2,5,6,4,16,9,8,5,8,3,3,3,4,2,44,4,4,8,1,2,4,9,8,5,0,14,5,20,5,9,13,5,17,10,5,68,8,7,11,4,5,4,161,109,99,100,113,78,127,361,661,124,540,383,12,9,3,11,218,181,6,645,331,894,94,87,234,380,24,67,105,153,84,11,34,169,90,3,15,22,547,264,4,3,4,0,2,2,5,4,2,1,0,18,17,1053,5,4,295,1343,2451,458,191,3,1,8,13,2,42,11,2408,1831,451,655,302,11,8,12,7,281,79,92,1259,752,286,1739,554,458
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,6,11,11,17,2,4,3,14,2,1,1,6,5,17,14,12,3,5,5,0,8,1,0,3,7,8,2,12,16,6,4,5,5,17,8,1,1,16,13,19,8,9,22,10,4,4,10,14,11,10,5,11,25,9,2,1,5,0,1,2,2,6,6,3,8,0,3,7,12,16,8,3,5,2,2,4,8,11,2,2,2,1,1,14,12,13,12,12,4,5,15,6,11,3,18,5,18,9,9,15,15,6,1,5,3,14,6,6,6,11,2,4,11,6,14,13,11,9,13,21,11,6,3,5,8,16,10,3,8,3,1,7,3,0,1,0,2,0,0,4,0,1,0,1,0,0,0,0,4,2,4,2,1,2,3,5,6,6,9,10,3,4,2,1,1,2,3,3,5,2,3,5,8,4,3,4,6,9,6,3,7,1,8,4,8,7,2,8,9,6,0,2,2,4,2,0,0,0,0,0,4,2,3,0,1,2,3,2,2,4,4,13,10,6,10,2,12,2,6,1,11,16,22,10,1,5,6,8,6,1,2,6,3,4,2,3,7,9,7,7,3,2,2,1,1,0,1,2,1,4,3,8,9,4,2,2,4,5,1,0,4,10,6,2,0,4,2,7,4,0,1,3,3,1,1,3,0,3,2,3,2,5,1,1,1,4,3,1,6,0,5,3,16,8,11,12,17,6,5,1,12,4,9,4,1,0,1,4,20,10,7,9,18,12,7,6,9,6,0,4,7,9,2,4,11,9,8,2,8,3,14,3,1,2,0,2,2,5,2,4,7,4,1,11,12,10,3,5,11,15,13,9,7,3,1,9,15,10,7,14,24,25,11,15,5,3,0,1,2,5,11,4,12,8,6,10,12,2
CHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,2,2,1,0,0,0,2,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,2,1,1,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,6,0
CTCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,4,4,8,6,3,7,4,0,2,0,3,3,4,7,12,6,4,8,5,7,5,2,0,5,5,6,4,6,13,8,6,6,3,6,8,0,2,7,6,8,5,8,12,11,6,3,5,5,6,9,1,4,6,3,2,2,0,0,0,2,1,1,4,3,5,1,7,6,0,5,2,3,2,3,3,3,5,4,4,2,0,1,7,6,5,8,1,5,2,3,4,5,2,0,8,3,3,5,5,6,8,6,3,4,3,6,6,5,3,2,4,4,2,2,5,3,6,8,4,6,2,3,3,4,2,5,10,7,5,5,7,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,5,1,5,2,5,7,0,0,2,0,1,1,3,2,0,2,0,1,0,1,0,3,1,0,1,2,1,3,0,1,2,2,4,0,1,0,1,0,0,0,0,2,1,0,1,2,0,1,2,1,1,0,1,2,3,2,3,1,6,3,1,0,2,0,6,5,7,2,1,2,5,2,1,4,3,3,1,0,1,1,2,4,3,2,5,0,0,4,0,0,0,0,1,0,2,2,0,0,1,0,0,2,4,0,1,0,6,2,0,0,0,2,2,0,2,2,0,0,0,1,0,0,1,0,0,1,0,3,4,5,4,1,2,3,1,2,3,1,0,1,3,4,7,1,6,6,5,5,2,0,1,6,6,5,4,5,4,6,5,3,5,6,4,3,1,5,4,1,6,4,2,3,2,4,6,4,1,0,0,1,1,1,1,0,3,1,0,2,0,4,1,1,6,1,4,2,5,1,1,5,1,2,4,2,11,6,8,10,5,4,0,1,0,4,7,9,8,8,4,4,8,2
DNase-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,4,29,51,55,44,52,60,104,32,36,51,70,12,3,6,23,58,117,97,100,51,42,25,26,43,11,16,25,48,65,22,89,85,60,28,43,65,104,35,8,20,59,82,85,71,65,131,67,31,15,38,63,49,58,41,62,160,60,24,30,21,9,8,11,8,24,70,25,35,11,48,56,50,63,38,4,10,12,15,16,33,64,36,20,28,24,29,62,59,94,51,62,35,26,61,68,74,32,63,52,98,80,74,69,102,47,20,27,27,66,51,51,47,38,31,30,53,48,67,58,58,74,52,82,68,45,31,24,42,81,65,42,40,39,22,20,7,5,5,1,4,1,6,3,6,3,5,5,4,4,5,3,2,8,5,2,4,4,4,17,27,24,43,42,16,29,7,8,4,3,5,5,18,18,15,37,30,36,12,17,24,19,26,11,14,26,28,23,23,43,22,38,36,19,5,2,4,4,4,6,2,4,3,2,1,4,7,4,6,25,9,2,6,11,31,55,45,27,69,77,61,20,21,17,53,85,80,34,26,29,60,52,32,16,35,15,13,19,7,8,28,41,47,58,48,11,4,8,8,5,3,4,5,6,13,21,27,13,20,5,10,33,10,4,13,31,23,2,4,12,6,38,19,1,10,11,1,4,3,3,5,10,8,5,6,15,8,13,13,28,16,3,20,17,19,23,63,42,51,57,65,34,36,27,76,33,55,34,10,7,8,18,124,59,24,68,122,115,41,55,58,54,28,36,35,59,25,23,42,60,23,17,30,25,54,21,13,9,3,16,21,17,13,10,26,21,19,32,48,78,17,41,67,64,60,27,25,10,18,36,50,32,56,69,213,125,64,75,84,27,4,14,19,33,86,53,90,86,37,114,119,33
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,10,2,3,6,10,0,0,0,0,2,13,16,7,2,3,1,0,2,0,0,1,1,3,1,8,5,2,0,4,4,6,4,0,0,4,9,7,6,4,16,2,0,0,5,6,4,0,3,6,13,8,1,1,4,0,1,0,0,0,4,1,1,0,0,2,3,6,1,0,0,0,0,0,1,5,0,0,1,0,2,5,8,13,2,4,1,0,5,8,5,2,3,0,12,2,10,5,7,3,0,1,0,3,3,2,1,2,0,1,0,1,8,2,3,5,7,1,7,5,1,1,2,8,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,1,1,1,1,2,1,0,0,3,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,5,5,5,0,2,1,2,1,7,1,2,3,4,3,4,0,4,0,0,0,0,0,0,2,3,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,5,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,2,0,5,5,3,7,12,2,2,0,8,2,0,0,0,0,0,2,17,3,0,8,18,7,0,5,1,2,0,1,1,5,0,2,1,7,2,0,2,0,2,0,0,0,0,1,0,0,0,0,3,0,0,4,7,4,0,2,6,7,1,1,1,0,1,8,11,3,4,7,22,20,8,5,4,0,0,0,0,2,6,0,5,4,1,9,14,1
H2AK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,18,39,17,27,106,6,13,27,95,1,0,0,7,36,143,183,112,33,6,10,0,4,0,0,1,7,28,3,73,65,8,1,19,41,109,17,0,0,21,39,81,55,32,215,51,4,0,43,77,66,9,43,44,157,73,2,7,10,0,0,0,0,1,57,2,4,0,16,33,48,54,26,0,2,0,0,0,2,48,8,0,7,0,15,26,44,159,27,22,7,2,76,65,80,6,30,33,111,40,113,73,86,18,1,0,4,31,17,22,24,40,6,8,5,26,79,18,64,52,73,22,57,22,3,0,2,65,59,3,12,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,8,21,15,2,1,0,0,0,0,0,0,0,0,0,11,2,7,5,0,3,3,7,0,0,4,11,1,1,25,1,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,33,19,5,21,52,50,0,5,1,30,61,43,11,8,24,35,12,17,0,28,3,2,0,0,0,3,8,26,64,20,0,0,0,0,0,0,0,0,2,8,11,18,0,2,0,5,8,0,0,2,27,2,0,0,5,0,8,14,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,2,27,9,38,35,60,14,7,7,101,13,5,3,0,0,0,2,152,35,1,82,180,91,9,42,23,21,0,2,33,33,5,13,22,47,4,0,12,3,18,1,0,0,0,1,5,0,0,0,21,3,0,20,85,42,0,7,98,75,28,11,6,0,6,41,103,31,19,93,177,119,41,55,54,0,0,0,0,16,52,2,71,44,22,148,122,30
H2AK9ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,10,9,8,7,13,15,9,5,3,10,2,2,0,6,9,16,14,9,7,6,9,0,5,3,1,2,6,7,5,8,10,11,3,6,4,18,5,0,1,13,10,21,11,9,16,8,7,0,2,4,11,6,2,4,6,0,4,1,2,1,2,0,0,4,11,3,3,2,8,8,6,0,1,0,0,1,1,2,5,7,4,2,4,5,8,8,8,17,3,11,6,1,4,5,6,3,2,4,12,11,16,5,9,9,10,0,2,6,9,3,4,2,1,7,7,5,1,6,8,10,10,10,5,3,3,5,3,8,8,4,6,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4,0,6,4,2,0,0,2,0,1,0,0,1,1,1,3,2,2,1,0,1,0,1,1,0,1,1,1,1,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,1,1,3,10,5,0,1,3,2,12,2,3,1,1,8,11,1,0,1,1,1,2,0,0,7,2,2,2,5,0,1,0,0,0,0,0,0,1,1,0,6,2,2,3,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,6,0,0,1,1,1,2,8,1,1,1,6,9,6,5,19,2,3,4,1,1,1,1,9,6,2,9,11,20,8,12,8,7,7,4,0,4,6,8,5,8,0,0,1,6,17,2,1,0,3,0,0,0,0,1,4,3,1,3,3,11,3,4,1,4,4,5,6,0,2,4,4,2,11,15,21,15,20,14,13,2,3,2,5,8,21,16,30,37,14,52,45,10
H2AY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,23,3,1,26,4,3,20,58,6,0,0,9,1,31,12,39,2,1,2,4,1,0,0,0,5,20,2,43,45,2,4,13,25,34,5,0,1,21,30,70,15,8,77,45,0,3,19,10,0,1,22,14,3,38,6,5,11,0,0,0,0,0,28,15,2,2,1,19,40,33,6,0,0,1,0,1,3,1,3,0,7,3,1,4,9,26,1,12,1,26,44,11,18,0,8,37,90,10,58,16,0,1,3,0,5,9,3,19,9,25,11,0,0,8,56,1,1,5,17,9,70,50,6,10,3,18,5,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,14,2,0,2,0,1,1,0,0,0,0,2,2,9,4,2,6,10,6,3,1,9,5,5,16,6,1,10,11,4,0,6,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,9,9,10,0,5,24,3,14,14,15,12,9,16,40,37,32,12,0,2,15,3,1,5,6,0,0,3,17,31,8,0,0,0,0,0,0,0,1,3,2,7,8,0,1,0,1,0,0,0,5,21,7,0,0,1,1,2,9,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,8,11,15,0,3,2,3,3,10,4,4,35,0,0,0,0,0,4,33,26,9,25,4,1,22,6,8,36,2,8,0,1,3,7,7,16,3,3,14,2,20,4,0,0,0,1,4,1,2,0,8,7,4,16,48,21,2,19,3,0,0,3,3,0,1,24,22,20,24,59,14,0,14,19,10,1,0,0,0,1,6,16,9,7,14,11,22,2
H2AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,7,17,19,17,12,29,19,18,5,12,5,0,2,8,8,24,19,17,7,14,13,11,14,3,3,13,9,14,13,19,30,11,12,19,11,28,17,3,2,16,19,42,20,17,34,16,8,4,15,8,12,9,10,14,4,8,8,6,7,4,1,6,0,7,30,9,4,7,14,11,8,7,8,0,4,0,11,5,1,5,6,9,11,10,6,8,14,16,0,19,3,4,10,9,19,5,3,14,23,12,28,14,11,11,9,6,5,7,8,9,8,10,5,11,4,15,7,4,15,21,14,15,11,7,3,3,4,18,16,8,8,16,6,4,2,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,7,1,0,0,0,0,1,6,5,3,5,5,4,0,0,0,0,0,0,5,2,2,15,4,8,4,9,3,4,8,5,4,3,10,2,3,6,3,9,9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,1,0,6,16,3,6,1,8,13,3,0,1,4,14,0,0,1,2,16,9,9,2,10,8,4,10,1,0,4,3,8,13,13,0,0,0,1,0,0,0,0,5,6,11,17,4,9,4,1,10,1,0,2,8,2,0,0,1,1,6,4,0,5,2,1,0,0,0,0,0,1,0,0,7,1,1,2,9,1,1,2,1,2,6,10,0,2,2,9,10,12,7,4,16,10,8,1,0,1,7,8,8,4,27,14,11,21,18,5,17,6,25,1,8,7,12,12,17,4,0,2,9,13,3,0,0,0,1,1,2,1,0,11,3,2,15,12,30,7,12,7,1,1,9,10,5,5,13,24,13,26,23,26,8,24,27,20,10,6,10,5,11,24,27,23,48,17,20,24,11
