,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000,102750000,103000000,103250000,103500000,103750000,104000000,104250000,104500000,104750000,105000000,105250000,105500000,105750000,106000000,106250000,106500000,106750000,107000000,107250000
RNAseq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,17,5,5,4,63,1455,167,98,1729,1731,43,2,8,3,321,3066,1896,1379,112,143,2090,1429,2,67,7,47,2,1,4,18,23,4,19,38,36,7,62,5,6,5,4,4,251,174,20,5,413,588,1059,399,58,97,357,16,25,25,3,2,6,36,6,136,1169,790,600,496,129,164,24,129,23,33,94,135,28,8,127,2,4,47,1526,209,20,4,5,7,1,21,46,3,38,14,6,9,1,5,2,60,6,8,142,2,4,266,701,6,7,2,2,2,4,4,5,3,14,11,56,11,6,11,8,12,959,1032,337,539,1238,468,194,33,826,651,337,153,626,819,264,24,7,50,5,271,699,586,775,364,1399,6,157,70,91,24,360,91,29,26,528,766,44,71,32,387,16,31,686,302,610,427,87,22,515,94,55,5,8,5,48,357,335,149,329,633,418,395,383,51,106,115,10,44,61,54,187,778,898,244,68,67,33,2491,421,434,583,217,20,468,228,360,153,159,251,11,10,5,477,366,1144,605,524,392,175,793,621,553,1178,438,252,124,345,11,220,387,129,885,784,28,11,11,7,4,21,29,33,25,92,54,175,199,314,388,19,45,6,4,46,8,2,2,6,4,4,13,10,6,8,35,146,4,6,3,10,2,3,0,4,86,5,331,623,176,431,227,147,183,144,833,226,58,91,460,35,707,617,26,147,555,673,133,14,14,979,4,40,5,726,604,118,27,954,425,172,167,6,5,3,1,3,1,6,294,15,524,131,193,318,803,13,1473,173,1,98,1288,2081,647,259,1221,129,1126,1468,71,33,6,1129,606,397,482,6,37,1,2,8,1
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,8,9,1,12,6,2,1,5,5,12,16,13,4,2,1,12,6,1,12,6,0,1,2,1,5,1,2,2,0,0,3,0,2,1,4,4,4,7,5,8,3,15,7,14,7,2,7,4,9,8,1,3,1,2,7,4,5,8,8,8,8,4,3,2,7,1,4,6,7,7,7,16,11,1,2,9,6,0,0,0,2,3,3,3,2,2,4,4,1,2,3,1,2,2,1,1,1,0,8,7,0,0,1,1,0,1,1,3,1,1,0,0,0,4,3,0,1,3,14,8,13,9,10,6,14,15,13,11,10,7,22,10,11,3,6,4,7,28,11,11,6,9,5,13,11,2,1,2,3,2,0,6,8,13,17,11,16,0,2,10,3,13,7,12,12,26,10,8,2,3,3,5,9,5,9,10,12,18,6,14,7,5,3,3,3,2,6,8,6,8,8,13,14,19,21,17,8,9,10,3,3,3,14,16,16,12,3,0,3,13,6,9,11,12,11,4,6,16,10,19,17,10,11,5,6,0,13,11,8,9,3,2,2,2,6,3,9,8,4,12,12,6,10,2,3,1,1,2,1,1,0,7,3,6,6,4,1,1,4,4,14,9,8,2,5,5,10,6,3,2,2,2,5,8,18,8,15,15,13,6,7,11,5,4,5,6,8,5,7,15,7,9,2,2,4,3,6,5,2,7,11,1,2,28,5,1,2,0,0,0,0,0,2,3,2,2,7,10,13,5,15,6,7,2,7,4,14,10,8,11,9,9,18,9,3,2,0,2,3,5,3,0,0,0,1,1,0
CHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,0,4,3,1,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,1,1,2,1,1,3,0,1,0,0,0,1,2,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,2,3,1,0,4,4,0,0,0,2,0,0,2,0,0,2,0,1,1,2,2,1,1,0,3,3,1,3,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,1,1,0,4,2,0,0,2,0,2,0,0,1,0,0,3,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,2,2,1,0,1,0,3,2,1,1,1,2,2,0,0,0,4,4,1,2,0,0,0,0,0,0
CTCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,12,15,5,7,13,17,8,11,19,12,15,10,4,14,16,4,2,4,4,1,0,4,1,2,2,0,0,0,0,0,0,6,1,2,4,3,3,2,5,5,3,3,6,1,3,6,4,4,3,0,1,0,3,3,7,3,4,2,6,2,6,5,3,8,2,9,0,6,5,5,0,3,2,3,6,0,1,0,1,0,0,0,1,2,1,2,0,0,2,0,0,1,2,0,0,1,3,5,3,3,0,2,1,1,0,1,0,0,1,0,1,1,1,1,4,6,8,8,5,6,4,3,5,6,3,6,4,4,5,4,6,5,4,1,11,12,5,9,6,2,3,4,10,3,1,4,5,2,1,4,4,5,6,5,6,5,4,6,4,7,1,6,7,4,5,6,0,0,0,6,4,6,4,3,9,9,10,3,4,1,4,1,5,4,0,4,7,10,4,4,3,5,14,13,8,10,5,5,1,4,6,5,2,3,4,1,6,2,4,3,4,13,8,7,14,6,12,7,9,6,7,5,4,5,15,12,6,8,4,1,1,4,7,1,2,2,1,2,2,2,7,5,2,3,1,0,0,1,2,2,2,0,0,0,0,0,0,1,3,2,1,4,1,3,4,2,1,3,5,3,5,5,5,4,2,1,7,3,6,6,4,5,3,1,5,3,4,11,5,14,1,4,9,7,6,6,0,2,7,4,3,17,4,4,1,0,0,0,0,0,0,0,0,2,11,13,9,11,12,8,7,3,0,6,4,7,8,8,6,14,9,5,6,5,0,13,14,9,14,1,1,4,3,4,1
DNase-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,8,2,18,15,51,8,58,34,27,83,48,17,17,56,57,65,116,66,64,50,20,88,72,16,67,43,4,3,7,6,13,18,6,3,3,1,3,6,3,20,7,31,23,48,39,49,16,52,34,65,44,18,60,38,57,36,18,5,11,24,12,26,46,58,36,44,78,32,31,19,17,20,33,47,12,43,20,60,47,14,18,35,33,9,5,4,1,6,3,4,1,31,18,21,7,12,23,6,3,2,5,5,7,13,34,40,5,5,5,11,4,3,2,4,4,5,5,4,12,32,21,13,17,63,92,38,75,75,72,26,103,180,86,76,70,36,79,37,68,31,50,48,60,145,48,84,60,63,44,72,50,24,11,21,24,8,17,46,30,69,62,59,79,19,17,48,23,81,43,116,78,130,54,34,22,33,20,37,46,52,35,65,61,100,56,68,57,25,19,9,17,15,13,43,54,53,60,93,96,135,190,98,44,119,86,19,22,27,63,74,89,85,8,16,42,140,106,55,58,98,69,36,57,130,84,94,72,57,88,37,37,40,109,73,51,72,32,15,13,15,41,37,47,41,38,42,60,43,45,28,30,8,8,5,5,8,10,36,32,32,34,25,12,8,6,25,55,45,14,11,29,36,43,24,12,6,27,22,37,46,79,53,113,73,73,38,68,73,34,66,51,16,55,35,63,96,52,77,25,18,57,45,51,45,16,56,73,33,26,200,47,31,26,11,6,10,11,8,8,6,14,20,49,118,86,83,101,73,95,59,27,29,68,96,68,75,85,81,111,91,33,23,20,82,95,81,80,15,10,9,7,16,3
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,5,3,0,0,2,2,5,14,6,0,0,2,6,4,0,4,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,0,2,0,7,1,1,2,1,6,2,0,0,0,0,0,0,1,3,0,1,5,0,1,2,0,0,2,1,0,1,0,7,3,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,14,4,6,4,5,0,10,9,5,13,9,2,8,2,19,4,6,2,2,17,1,4,5,4,2,5,8,1,0,1,1,0,0,4,2,9,6,4,4,0,0,5,0,6,3,20,7,18,6,0,0,4,2,1,2,0,3,4,2,11,3,2,4,0,0,0,0,0,1,2,0,0,2,7,10,23,19,8,5,5,5,0,1,0,2,6,1,6,4,0,0,16,4,3,4,6,3,1,1,16,6,8,4,4,8,0,0,0,13,12,3,5,0,0,0,0,3,1,3,6,2,2,5,3,2,3,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,5,1,1,0,1,1,4,2,1,0,1,0,1,3,9,2,9,4,10,0,6,6,0,4,2,0,5,3,5,12,2,2,0,0,5,1,3,4,0,2,8,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,2,13,5,0,5,2,4,1,1,0,7,6,3,1,4,3,5,5,0,1,0,2,6,2,0,0,0,0,0,0,0
H2AK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,12,22,21,0,0,46,27,66,79,58,24,5,1,68,37,1,38,13,0,0,0,2,3,1,0,0,0,0,1,0,0,0,0,11,3,10,10,53,0,9,7,55,11,0,31,10,49,17,1,0,0,0,1,3,17,78,20,28,83,0,5,6,0,0,26,18,0,16,0,41,35,0,0,23,2,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,29,141,46,64,51,61,3,175,134,73,122,102,14,105,28,132,28,64,12,16,158,14,77,36,17,23,74,49,3,0,4,6,0,0,20,3,58,30,40,45,2,0,18,0,55,14,194,87,170,59,3,5,18,4,3,14,4,9,41,26,116,26,51,25,3,0,0,0,0,2,25,7,11,25,100,128,267,142,94,15,91,52,0,1,2,33,61,63,114,20,0,27,190,45,38,29,61,35,5,23,148,54,66,35,16,36,1,0,9,106,49,24,39,2,0,0,0,23,13,14,24,4,12,56,50,14,4,3,0,0,0,0,0,3,20,9,17,14,0,2,0,0,1,15,40,3,2,8,24,33,6,1,0,1,0,19,13,91,17,124,77,121,10,18,25,16,38,3,0,9,14,81,101,8,14,4,0,46,15,18,11,2,21,68,9,2,249,9,0,0,0,0,0,0,0,0,0,0,0,23,166,54,41,62,22,29,27,5,0,36,77,32,21,36,68,75,61,3,0,0,49,68,23,34,0,0,0,0,0,0
H2AK9ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,10,1,17,4,10,14,14,2,1,3,5,18,41,25,26,11,3,59,33,2,5,6,0,1,0,0,0,0,1,0,0,1,1,1,0,3,0,3,0,1,3,3,2,4,5,8,5,2,3,3,2,0,1,0,2,2,0,4,6,14,10,5,14,1,2,5,1,3,4,3,1,2,4,7,4,2,2,12,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22,29,16,9,12,19,3,14,9,6,15,13,5,17,3,5,3,3,2,4,14,5,18,4,7,4,10,4,3,2,3,6,3,1,8,6,3,1,1,7,2,0,10,5,20,3,25,4,22,3,4,1,1,4,2,1,7,4,4,12,22,11,13,6,1,1,1,2,0,1,4,8,8,3,5,7,41,35,6,10,12,4,3,3,5,8,10,6,10,1,1,7,60,14,9,7,28,16,9,25,41,20,16,14,3,4,4,11,7,38,16,8,10,9,4,1,1,1,1,0,2,0,1,4,3,5,6,3,2,0,0,1,0,2,0,1,2,1,1,1,0,1,0,3,5,0,0,0,1,2,0,0,3,1,0,5,9,10,8,10,6,9,10,16,12,12,22,7,0,6,10,18,18,16,14,6,3,15,15,10,8,4,7,23,8,7,42,10,10,5,2,0,2,2,1,1,2,4,6,18,53,13,24,35,21,12,13,6,11,21,35,36,23,18,39,20,33,10,4,3,48,61,38,54,2,3,5,2,2,0
H2AY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,4,1,0,0,20,40,27,3,13,2,1,11,5,14,0,14,11,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4,6,7,3,3,22,1,6,1,10,1,0,21,4,14,9,1,0,0,2,0,1,14,15,0,0,12,1,0,4,0,1,9,1,0,14,5,26,21,2,1,1,0,0,0,0,0,0,0,0,0,0,1,5,1,2,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,29,3,2,5,26,10,56,29,29,23,38,5,19,0,50,44,60,45,32,2,14,15,26,12,31,5,15,0,0,0,1,0,1,13,0,79,106,30,1,2,0,0,1,4,0,45,24,42,15,8,1,7,7,6,1,3,12,24,7,51,27,31,6,0,1,0,0,0,0,1,5,4,13,23,43,86,25,14,14,17,10,4,2,1,20,15,0,5,6,0,10,14,10,7,2,2,6,11,15,12,19,29,32,12,2,2,1,1,33,18,3,1,1,0,0,0,20,29,16,9,9,11,21,8,3,0,0,0,0,0,0,0,0,10,6,13,16,5,2,0,0,11,26,2,6,2,5,9,20,6,0,0,0,1,2,1,36,15,0,55,6,5,22,0,4,15,2,0,0,1,42,9,6,11,0,0,41,3,10,8,1,9,7,3,8,64,0,0,0,0,0,0,0,0,0,0,0,2,1,28,4,6,0,74,8,8,21,11,0,0,1,11,0,55,12,1,2,1,1,3,5,11,0,6,1,0,0,3,0
H2AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,13,0,27,17,18,20,18,6,1,11,9,19,48,29,29,21,11,46,46,2,3,8,0,0,0,1,4,7,0,0,0,0,0,0,1,9,3,7,6,2,3,10,7,7,6,10,6,2,11,6,9,3,8,0,2,1,9,9,12,13,9,5,39,3,10,5,9,20,4,7,1,11,6,20,11,3,2,13,5,0,0,0,0,0,0,0,0,6,0,2,0,2,1,0,1,2,0,0,0,0,7,8,1,1,0,1,0,1,0,1,0,1,0,0,2,3,3,0,1,19,34,27,14,10,20,4,18,14,11,23,12,11,21,11,6,3,15,5,19,6,13,28,8,5,9,7,9,5,4,2,8,1,2,16,7,9,5,9,8,7,3,12,10,27,2,34,20,24,9,4,0,2,2,6,2,17,12,16,18,43,28,26,18,0,5,1,2,0,1,8,26,20,8,3,17,56,25,16,12,18,15,11,8,8,13,17,6,11,3,4,14,22,15,18,9,23,21,16,22,28,37,30,18,8,14,9,13,12,65,39,17,17,12,5,0,3,2,5,3,6,1,6,5,6,10,8,9,1,0,0,0,0,0,7,7,5,1,1,2,2,0,1,10,7,1,4,10,6,9,5,4,2,2,1,8,13,12,6,11,13,14,15,21,14,9,27,17,2,10,8,25,15,19,32,3,4,32,22,11,25,6,6,12,12,14,35,9,20,3,2,2,1,0,2,0,0,0,13,17,55,15,22,23,31,15,15,8,23,20,21,31,32,14,54,32,22,29,12,13,55,50,55,48,6,5,2,0,6,0
