,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000
RNAseq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,2,0,6,0,116,0,6,9,306,288,71,4,53,5,4,7,9,744,1311,505,118,101,7,4,70,26,3,7,3,3,421,153,44,46,288,175,123,1109,25,7,185,241,108,190,12,17,6,8,390,2812,678,5,9,120,622,598,263,429,324,200,97,30,12,10,125,155,250,5,13,1,9,326,96,46,59,19,3121,1164,1230,845,622,1362,406,1202,721,985,284,1107,568,326,283,1004,2192,1768,144,471,707,497,200,65,188,29,2,5,2,6,3,5,9,144,352,1106,1228,585,995,560,150,19,5,258,1021,166,121,11,76,538,587,509,613,29,8,3,7,2,6,3,3,6,133,647,149,596,203,156,116,172,179,328,114,111,10,36,510,828,418,278,447,44,13,782,147,91,131,30,4,245,268,42,189,236,1790,290,402,132,998,476,929,600,892,257,528,406,10,290,764,102,1276,128,77,30,209,451,70,412,46,895,15,10,284,7,2094,584,102,397,210,546,1112,1080,570,203,99,77,561,450,204,247,577,703,72,688,1303,380,7,303,73,389,862,540,129,9,413,287,500,576,23,455,31,155,282,103,341,1712,598,82,13,39,296,70,11,15,155,352,594,20,6,8,30,540,231,349,102,313,156,2,17,9,3,4,4,7,5,10,3,714,1358,507,663,395,654,357,1133,938,926,1021,12,1,40,55,21,18,569,437,14,5,2,11,145,96,40,1,8,7,22,46,422,11,27,7,19,2,2,77,6,133,624,334,464,364,234,14,8,207,68,442,693,123,113,45
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,5,3,0,0,3,2,2,0,0,4,2,6,6,11,0,0,0,3,0,2,0,1,1,1,0,5,5,7,3,16,2,0,5,5,6,9,8,2,1,0,9,28,16,4,3,5,13,3,3,10,4,11,14,4,6,10,5,5,10,1,1,8,9,6,9,12,16,23,15,19,16,9,6,9,11,10,11,9,7,8,7,4,4,3,4,8,12,4,4,4,4,11,4,3,3,2,0,1,2,9,11,1,5,10,19,18,11,12,14,13,9,8,6,15,10,7,7,12,17,9,9,0,1,1,4,1,1,0,0,2,2,11,3,7,4,6,4,17,18,7,8,1,4,17,16,10,9,9,4,3,2,16,11,10,1,3,2,3,4,9,10,19,17,20,21,6,8,10,12,7,8,5,9,14,1,8,10,16,37,9,5,4,8,14,13,6,7,8,7,10,10,4,12,25,5,16,8,7,6,10,9,9,8,5,7,7,6,9,13,5,7,5,11,10,8,4,4,8,9,14,5,3,12,5,0,8,6,1,4,7,13,4,12,10,17,14,1,10,15,0,0,4,4,9,7,3,2,6,1,5,8,7,11,18,5,1,1,1,1,1,2,1,12,1,4,11,6,17,7,5,4,8,16,11,7,5,1,10,6,6,0,2,12,2,0,0,2,6,8,2,1,9,12,12,9,6,15,0,0,1,1,0,2,3,3,7,25,12,9,11,2,4,2,6,7,25,9,5,3,0
CHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,4,2,0,0,0,2,2,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,2,1,2,1,0,0,2,0,0,0,0,2,0,0,2,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,1,0,0,1,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,2,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,2,2,2,0,0,0,0,0,0,2,2,1,0,0,1,2,1,1,0,2,1,2,1,0,0,2,2,0,0,1,1,2,2,0,0,0,2,1,1,4,2,3,3,2,3,0,0,0,1,0,0,0,2,0,3,0,0,4,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,2,0,1,0
CTCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,1,1,1,3,3,0,0,0,3,2,3,6,7,2,1,0,6,2,1,1,0,7,1,0,10,9,1,3,6,4,0,1,4,4,6,6,1,2,0,4,4,6,4,4,5,6,6,4,3,3,4,1,2,1,3,2,2,4,1,1,5,5,6,8,6,4,1,9,8,7,17,6,16,4,3,10,6,8,2,5,4,3,7,4,8,4,5,9,8,9,9,11,4,1,3,0,0,2,1,4,2,4,8,4,4,5,5,5,3,8,3,3,4,3,6,6,9,6,4,6,4,1,0,0,1,2,0,0,0,4,6,5,6,4,4,2,4,3,6,9,5,4,7,0,6,6,3,9,3,3,7,6,2,3,1,0,3,5,6,7,7,9,5,9,6,9,3,5,10,11,13,6,9,2,4,11,11,5,6,3,5,1,8,10,5,6,6,8,6,3,2,14,6,7,5,5,8,3,7,10,6,2,8,8,7,10,11,7,12,6,7,12,11,6,4,1,4,9,1,9,10,13,9,5,14,6,8,3,5,6,8,6,5,10,7,1,3,7,2,1,1,3,5,3,7,2,5,4,7,11,4,6,5,7,0,1,1,1,0,0,3,1,1,8,11,9,10,13,8,8,8,9,7,7,6,5,2,5,6,3,2,7,4,0,0,0,3,4,2,0,2,4,0,0,1,5,2,0,0,2,0,4,2,7,8,7,4,8,3,4,1,5,6,7,9,8,5,3,0
DNase-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,46,75,19,0,0,0,19,1,17,11,48,33,5,4,6,7,5,10,4,37,22,35,37,76,17,9,5,20,6,20,16,15,38,10,0,33,62,31,46,90,16,3,17,31,62,70,41,13,11,0,54,190,97,20,21,37,57,42,37,62,49,36,52,38,52,56,50,57,74,2,13,45,57,68,67,68,92,106,114,98,88,99,49,104,66,47,84,92,51,55,50,38,50,40,43,81,60,32,44,37,46,35,72,16,16,14,2,5,7,48,47,46,40,70,124,83,61,71,54,54,58,46,33,55,62,42,28,72,98,67,53,21,6,3,3,6,7,4,2,5,9,49,40,47,47,27,26,66,80,64,59,26,19,96,65,62,59,64,38,18,22,112,71,58,56,11,19,20,36,61,75,109,181,109,97,59,53,61,97,108,81,81,55,55,26,46,73,139,291,42,43,62,53,98,118,58,52,77,43,54,82,39,114,111,99,110,74,58,47,58,45,52,44,39,67,82,89,119,82,82,79,44,90,62,53,54,33,32,79,48,78,46,102,65,33,87,49,41,34,48,76,49,112,210,84,54,21,49,82,9,2,13,32,55,73,24,16,33,15,60,78,64,78,77,52,16,7,3,8,10,21,31,55,19,45,76,65,103,50,50,66,90,78,81,95,38,28,43,41,40,19,27,91,41,10,4,11,23,48,10,8,44,63,54,41,43,122,12,10,9,8,12,18,15,18,61,128,70,60,76,33,52,23,54,85,131,79,51,38,0
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,1,0,0,1,3,1,1,10,0,0,0,3,2,6,3,0,0,0,6,21,11,0,0,0,4,3,1,5,4,4,6,0,3,4,2,7,5,0,0,2,3,6,2,11,15,17,11,8,10,7,1,2,6,3,3,7,0,2,1,1,1,2,3,4,2,1,2,2,2,3,5,0,1,0,0,0,0,10,5,4,1,5,12,8,4,8,2,4,10,3,0,6,4,3,1,6,6,2,2,0,0,0,0,0,0,0,0,0,0,4,3,2,1,0,3,3,2,6,5,0,1,12,10,6,5,2,1,0,1,12,1,2,5,0,0,0,0,6,8,11,18,6,9,3,2,5,2,7,4,3,2,3,0,2,2,16,38,1,3,3,1,17,12,1,2,5,3,6,8,2,8,13,6,14,4,4,1,8,0,3,3,3,4,7,7,3,3,2,3,3,6,4,5,1,2,0,5,3,4,0,15,0,0,5,3,1,2,2,4,3,13,5,7,5,1,4,10,0,0,0,2,2,3,0,0,2,0,0,3,5,5,4,0,0,0,0,0,0,3,0,6,0,0,5,2,9,2,0,5,10,3,6,1,1,0,3,1,1,0,0,10,0,0,0,0,2,2,0,0,0,9,4,4,3,12,0,0,0,0,0,0,1,0,3,16,7,6,6,0,2,0,2,13,15,2,5,5,0
H2AK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,8,0,3,5,79,0,0,0,0,0,0,0,1,2,0,0,34,34,5,13,57,0,0,4,8,20,65,29,0,0,0,57,252,136,0,0,2,23,23,11,32,34,22,35,12,10,61,52,50,27,0,0,47,37,38,55,153,188,231,127,92,117,80,15,65,110,15,54,84,10,37,24,17,17,13,20,53,49,25,22,6,16,15,27,0,0,0,0,0,1,76,43,17,9,52,114,107,57,68,48,82,77,20,13,25,25,19,8,40,67,28,15,1,0,0,0,0,0,0,0,0,3,46,5,27,18,2,3,40,43,42,16,0,6,145,122,21,36,51,2,0,1,50,31,49,44,0,0,0,6,54,108,160,195,89,66,34,22,22,36,95,54,26,25,18,0,13,58,223,260,10,10,7,7,146,161,11,15,73,15,47,20,2,59,146,102,179,31,37,7,32,7,22,28,15,33,58,81,82,50,25,48,18,76,53,40,8,3,4,37,23,53,7,83,12,6,41,28,8,22,16,58,44,225,32,104,53,15,47,85,2,0,1,6,20,22,0,1,11,0,26,45,50,74,67,6,0,0,0,0,0,3,0,20,0,0,43,43,128,11,14,68,84,60,64,41,9,0,25,5,1,0,0,66,0,0,0,0,11,18,0,0,7,53,20,24,17,75,0,0,0,0,0,0,1,0,33,172,65,73,41,2,22,0,33,91,135,28,23,53,2
H2AK9ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,4,0,1,0,6,0,4,4,15,5,0,1,3,0,0,0,2,6,7,4,9,27,1,3,1,2,2,2,2,2,12,3,0,10,8,7,10,3,2,0,0,4,21,39,8,2,4,0,4,12,14,2,2,1,1,18,2,5,8,3,1,1,3,6,1,2,9,1,0,5,1,4,5,8,8,10,3,14,28,32,10,38,11,14,25,28,6,10,18,10,6,5,3,11,7,6,10,2,10,3,12,1,0,1,1,0,1,1,6,3,4,9,9,8,5,4,6,1,2,8,5,3,5,4,3,9,17,3,5,4,0,0,0,1,0,0,1,0,4,6,5,1,5,0,0,13,2,12,13,1,4,10,11,9,6,14,7,2,2,9,7,2,10,1,2,4,2,13,5,11,16,20,14,4,13,5,8,38,13,15,7,5,4,12,28,47,26,1,8,3,9,19,28,17,4,18,1,6,10,3,6,23,18,18,5,8,6,14,4,9,4,4,5,30,30,40,22,30,18,16,40,15,16,12,1,5,13,5,13,9,21,8,4,15,16,13,6,11,9,10,33,5,14,8,1,3,11,0,0,2,9,15,12,3,4,2,3,16,22,4,3,5,13,2,1,1,0,1,2,2,1,1,8,16,13,19,12,9,39,31,21,16,24,18,1,4,9,8,5,5,24,6,3,3,1,1,3,1,1,1,2,1,3,3,26,2,0,0,0,1,1,2,0,8,26,13,22,13,6,14,2,12,28,39,18,12,6,1
H2AY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,4,0,0,0,1,1,2,32,6,0,0,7,11,13,13,1,0,0,16,12,4,1,2,0,5,0,6,45,6,5,9,18,19,11,16,2,3,1,2,13,48,15,18,41,44,72,50,11,23,27,13,13,4,1,15,2,13,0,1,0,0,7,1,5,11,8,1,2,11,4,3,0,2,0,0,1,1,27,24,2,6,18,12,6,12,7,7,33,39,17,1,3,40,48,1,2,23,15,3,3,0,0,0,0,0,0,0,0,0,0,8,19,4,0,17,18,0,17,24,3,5,46,44,2,0,3,3,0,6,11,1,2,1,0,0,0,7,8,3,51,60,19,22,24,8,0,0,7,32,19,0,16,12,8,25,26,51,7,5,31,10,34,50,13,53,5,43,82,82,81,60,25,12,0,0,0,4,9,0,10,6,14,14,36,38,38,9,16,28,1,0,21,12,8,2,3,12,0,22,22,39,17,1,16,7,0,10,16,10,16,28,21,27,9,9,31,18,2,0,0,2,3,7,4,1,9,2,2,15,6,30,0,3,0,0,0,0,1,8,1,28,0,0,3,12,22,25,6,10,24,7,8,19,1,1,31,1,0,0,1,7,0,0,0,0,4,3,0,0,10,38,23,30,16,11,0,0,0,0,0,0,0,1,28,0,23,8,12,0,5,0,18,33,4,4,0,12,0
H2AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,3,0,0,0,8,3,6,5,9,12,2,0,2,1,0,1,0,8,8,7,15,29,4,0,1,8,2,2,3,8,10,5,3,18,21,15,11,19,5,0,3,7,26,50,23,4,7,0,13,5,9,3,5,8,9,21,4,11,12,6,5,5,6,17,11,13,11,2,1,12,10,10,8,8,19,15,14,13,35,51,25,44,8,16,32,18,13,12,11,6,11,13,11,12,10,6,7,11,21,15,14,3,2,4,0,0,4,18,25,9,8,12,7,17,16,8,6,6,7,10,4,6,11,10,4,10,22,18,8,10,0,2,0,0,1,0,0,0,2,13,14,8,8,8,3,12,1,22,27,4,5,16,21,11,11,14,8,1,12,5,10,7,10,5,3,5,14,11,4,20,34,22,14,15,17,8,6,40,16,25,12,10,7,13,45,54,16,5,7,20,7,27,29,15,14,20,7,12,21,8,6,15,16,5,5,5,11,9,8,21,12,3,9,29,32,44,18,30,21,15,14,27,25,13,2,6,31,4,40,19,13,25,18,25,37,10,13,11,19,14,11,9,15,18,5,11,14,2,0,3,16,25,14,6,2,8,4,16,34,15,20,2,16,0,1,0,0,0,1,1,10,3,5,29,25,21,26,28,28,30,26,16,36,19,13,12,13,7,0,8,32,11,3,1,1,4,2,1,0,6,20,14,13,8,27,0,0,2,0,1,0,3,10,15,10,21,33,24,13,19,10,20,34,30,26,16,10,1
