,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000
RNAseq,750,1028,1118,325,65,1053,882,1146,2083,665,620,816,938,455,585,349,504,736,848,866,222,28,13,9,17,13,9,9,9,13,13,7,3,4,80,558,617,14,9,73,17,8,296,139,248,255,290,1643,177,62,55,82,48,24,18,6,173,132,311,288,875,5,306,317,475,67,17,5,228,237,58,4,8,14,76,1000,539,11,781,187,11,1,201,363,113,30,196,154,140,910,21,12,221,410,1220,16,17,8,503,986,209,95,7,22,27,3,14,12,91,912,409,84,892,155,434,1253,122,101,146,2717,1244,1149,736,1788,1664,298,420,157,5,2,2,8,3,20,9,731,4,39,4,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,898,493,393,154,366,9,6,476,204,3,3,6,20,37,333,556,15,231,130,18,140,10,1,20,191,39,297,520,270,232,211,16,12,25,9,8,874,10,8,875,329,367,664,420,436,683,596,73,699,64,8,3,7,3,60,13,6,5,191,7,5,18,5,5,8,5,4,8,7,4,5,10,3,248,625,27,11,6,7,16,518,1033,979,673,693,1571,222,583,192,170,415,1487,495,695,259,1653,1261,172,9,212,324,972,717,65,77,252,83,8,10,9,2,1039,842,150,156,1142,596,6,4,21,2,5,112,5,3,158,155,32,45,24,22,6,21,5,4,11,80,47,517,293,136,51,329,7,154,299,160,161,126,266,524,196,1030,396,518,137,394,431,20,71,2140,49,21,335,237,396,300,148,669,1076,85,1278,951,1153,789,1
CEBPB,10,8,5,3,2,5,2,3,11,7,7,6,6,7,7,9,17,15,13,6,6,1,0,0,3,3,2,3,3,2,2,1,0,1,3,14,22,0,3,1,2,3,5,6,21,12,11,13,13,10,5,0,1,1,2,1,8,20,11,0,3,0,14,10,11,4,0,0,2,11,14,6,1,0,0,3,14,0,8,6,1,1,0,14,5,1,9,0,9,12,2,2,2,3,10,0,0,2,16,16,18,4,2,1,1,0,1,4,5,14,4,4,11,1,3,3,7,6,3,9,5,7,8,8,10,7,3,2,0,0,0,2,0,0,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,2,8,10,18,13,1,1,1,3,2,9,6,2,2,4,6,6,10,2,1,2,2,10,9,3,12,8,1,3,2,0,2,10,1,3,10,13,13,14,8,12,15,2,4,6,1,6,1,6,2,0,1,2,2,0,2,1,1,0,2,1,0,0,3,0,2,7,8,4,14,13,9,5,3,15,3,11,6,13,10,9,5,5,7,3,5,14,14,14,6,2,9,16,8,5,3,3,7,2,6,7,14,16,3,3,3,3,1,7,10,5,13,9,7,2,3,3,1,3,5,2,10,2,3,7,2,1,1,1,0,11,3,4,4,10,7,13,4,8,1,6,10,15,7,5,6,3,8,13,23,15,9,5,9,7,30,10,13,11,7,7,17,8,8,10,9,1,9,11,4,5,0
CHD1,4,2,2,1,4,1,1,3,3,0,2,5,5,1,2,0,1,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,5,2,4,0,1,0,0,0,0,0,0,0,0,1,0,2,0,3,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,1,3,1,3,0,0,0,1,1,3,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,3,3,1,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,1,0,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,1,3,1,2,3,3,1,2,0,1,1,1,1,1,2,2,1,0,0,0,3,0,1,0,1,1,0,0,0,0,1,1,0,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,2,1,1,3,2,1,2,1,4,0,1,2,0,5,2,3,2,5,0,2,4,2,0,0
CTCF,8,9,16,11,9,9,3,10,14,10,13,12,22,2,5,3,3,19,13,1,8,1,1,0,1,0,3,0,0,1,0,0,1,0,5,6,10,4,1,0,0,2,5,3,8,12,6,4,5,7,2,2,0,0,0,4,6,7,4,1,5,1,9,9,6,4,1,1,0,6,6,0,2,0,0,6,7,2,9,5,0,3,0,8,5,4,7,3,11,4,1,4,4,3,6,2,4,1,9,3,8,1,1,1,0,0,0,1,8,6,5,6,6,4,5,10,5,2,5,13,14,13,12,14,8,11,3,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,2,0,1,5,4,7,3,2,3,5,7,4,8,6,5,1,0,2,3,5,0,1,2,8,3,2,6,2,1,1,3,1,3,7,2,2,6,8,11,6,8,10,13,12,5,7,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,1,2,3,5,0,5,0,5,11,15,14,15,21,18,10,8,9,5,4,7,8,4,7,1,9,7,5,1,7,10,6,4,2,4,8,8,4,1,2,3,6,3,5,7,8,6,3,0,1,3,1,2,3,4,4,6,3,2,0,0,0,1,0,2,3,4,5,8,7,5,7,4,6,9,3,3,3,0,7,10,4,9,11,12,15,10,9,7,5,9,8,10,9,9,15,10,7,12,12,3,8,13,10,5,0
DNase-seq,68,70,97,62,75,51,67,74,138,63,73,75,105,47,63,75,91,133,96,65,51,11,12,3,7,9,9,7,6,12,8,3,4,11,29,68,104,23,7,11,10,9,44,43,149,115,93,90,78,77,43,17,16,10,13,13,50,76,58,9,62,4,72,72,121,16,2,4,16,89,56,32,3,0,4,40,68,19,60,55,10,12,10,67,35,28,75,17,71,60,50,20,46,42,67,16,20,12,66,65,78,15,9,6,7,8,9,30,49,103,71,27,76,24,27,46,67,61,36,94,77,59,82,96,89,46,31,19,3,4,45,6,3,21,18,293,91,6,11,11,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,37,73,46,38,42,33,64,68,59,22,19,15,34,32,60,70,31,36,40,38,27,48,17,10,17,13,67,34,40,76,40,27,12,19,13,20,69,23,8,65,74,95,87,53,71,86,59,32,49,13,14,16,34,5,4,6,4,4,2,2,3,2,2,4,6,6,4,4,7,4,14,43,15,51,91,40,48,38,78,69,93,86,115,113,80,93,67,78,37,52,85,89,51,65,29,69,97,120,112,40,38,60,66,39,33,74,113,29,10,14,15,39,61,43,80,133,58,21,3,6,9,10,19,24,18,86,28,13,20,12,7,7,19,14,29,36,32,28,56,60,115,31,41,22,71,44,58,51,45,70,60,49,115,154,163,117,112,60,70,141,198,104,81,80,71,104,77,117,86,107,40,124,107,86,51,0
EP300,4,0,2,2,2,2,0,3,7,3,3,4,9,2,3,3,9,15,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,2,1,23,14,7,2,4,9,0,0,0,0,0,0,6,8,4,0,2,0,8,3,20,0,0,0,0,3,4,3,0,0,0,2,10,0,4,5,0,0,0,3,2,4,2,0,5,4,0,0,0,3,4,0,0,0,7,7,8,1,1,0,0,0,0,3,3,18,1,0,4,0,3,3,11,15,1,4,2,0,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,3,7,4,4,0,0,3,0,1,4,0,0,1,2,2,7,1,0,0,0,8,0,0,8,2,1,0,0,0,0,7,0,0,4,5,7,2,4,4,7,3,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,4,5,0,23,6,5,4,2,8,1,2,2,4,0,2,11,7,4,6,0,6,13,10,0,3,1,5,0,0,0,9,16,2,0,0,0,1,1,3,5,8,1,4,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,4,3,3,1,3,1,9,1,5,0,8,2,3,1,5,5,4,6,9,16,18,12,11,2,4,32,20,13,5,9,2,10,13,15,2,5,0,8,5,5,0,0
H2AK5ac,48,32,70,23,20,18,26,29,89,24,48,46,53,12,32,54,148,162,64,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,82,0,0,0,0,0,7,10,228,122,83,53,62,45,3,5,0,0,0,0,24,48,43,3,26,0,92,62,166,1,0,0,0,6,43,8,0,0,0,8,55,0,22,35,0,0,0,46,19,16,30,10,45,39,0,0,0,13,27,0,0,0,105,38,102,1,0,0,0,0,0,20,56,168,24,3,44,0,10,31,126,155,11,65,43,35,47,61,72,20,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,5,6,9,12,40,66,41,15,5,0,11,0,36,35,0,2,29,16,23,97,26,0,0,0,39,4,6,42,12,1,0,0,0,0,33,0,0,25,55,75,81,25,83,65,13,0,19,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,3,34,30,34,26,2,163,60,70,48,66,117,50,48,31,34,0,10,85,61,60,88,3,47,121,70,0,7,11,18,2,7,2,53,99,17,0,0,0,11,19,17,65,121,10,14,0,0,0,0,1,3,0,111,3,0,0,0,0,0,0,0,17,24,8,8,33,26,100,2,61,4,77,11,14,7,20,26,22,43,150,167,200,105,74,35,89,273,187,171,82,72,32,86,140,204,34,72,5,79,60,34,21,0
H2AK9ac,30,31,75,32,22,31,44,32,82,33,48,33,45,14,27,14,29,73,37,42,10,2,4,0,1,1,0,1,0,2,0,1,0,0,2,21,16,2,0,0,1,2,12,10,47,37,18,20,17,17,11,4,2,0,1,1,8,19,9,1,18,0,6,9,19,3,0,1,2,14,9,3,1,0,0,6,17,6,20,12,0,3,0,21,11,6,18,2,13,14,5,2,6,6,22,0,1,5,15,10,23,3,2,2,0,1,4,4,20,26,20,9,10,4,7,33,7,14,4,41,45,31,41,52,60,16,12,3,0,1,2,0,3,4,2,25,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,11,7,7,9,3,11,11,9,7,1,8,7,10,16,15,9,3,11,5,1,6,1,2,0,1,13,4,8,4,3,2,0,1,4,2,16,5,2,21,15,18,38,20,24,25,13,3,23,4,0,1,5,0,1,1,0,0,1,1,0,0,1,1,0,2,1,0,0,0,0,1,0,4,10,4,2,3,12,14,24,25,32,43,27,50,23,28,7,6,17,14,13,11,3,29,56,49,13,7,2,14,19,1,1,13,21,4,3,1,1,4,12,13,15,33,18,2,0,1,1,0,2,3,0,11,1,2,2,1,1,2,2,1,4,9,5,4,10,10,20,3,6,2,19,5,2,7,6,20,25,10,38,29,59,38,55,24,14,30,55,31,9,21,13,36,16,46,37,78,17,37,46,49,23,0
H2AY,9,4,2,7,34,13,0,9,5,9,0,22,39,0,1,5,7,5,6,23,12,0,1,0,0,0,0,0,1,0,0,0,0,0,5,5,39,0,0,0,0,0,5,8,2,51,40,6,2,0,0,0,1,0,0,3,30,22,0,1,0,0,10,40,11,1,0,0,0,3,28,5,0,0,0,1,18,0,0,8,0,0,0,1,6,12,16,1,2,3,9,2,0,0,1,1,0,1,44,20,8,0,0,0,0,0,0,6,11,29,0,7,7,6,1,2,15,6,8,2,8,0,6,0,8,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,3,0,0,13,34,20,30,10,12,1,9,1,1,14,3,1,1,10,15,18,3,0,0,0,0,1,2,0,4,1,0,1,0,3,27,1,1,9,33,17,2,55,39,44,10,3,0,0,0,3,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,26,9,34,21,27,37,40,111,69,8,16,17,21,3,0,3,10,9,11,0,9,9,0,1,1,14,0,0,7,1,2,1,4,1,3,43,13,0,4,5,1,0,17,3,2,3,10,0,0,0,0,1,8,7,40,5,0,0,0,0,0,0,0,15,10,0,1,12,13,3,13,5,0,4,4,15,3,9,12,17,27,22,29,24,1,0,46,82,84,36,119,81,17,70,25,30,32,4,17,23,4,22,0,6,0
H2AZ,26,38,61,42,36,43,38,38,64,34,40,43,63,21,20,12,31,63,30,34,14,0,4,2,0,2,0,0,1,1,1,0,0,0,6,23,18,7,0,0,0,3,18,21,13,49,36,18,20,18,11,8,0,1,1,1,12,26,7,0,14,1,15,10,8,2,0,0,2,7,10,3,0,0,1,9,32,2,12,15,4,3,3,17,12,9,31,6,26,8,9,6,8,9,24,6,4,2,26,4,27,3,1,3,0,1,4,13,41,29,11,14,8,8,15,27,20,11,18,49,39,30,45,54,49,34,13,7,0,1,2,0,0,7,5,15,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,14,2,2,10,18,22,16,18,4,8,15,16,21,22,30,18,23,10,10,15,5,0,0,0,17,5,12,0,5,10,3,8,6,5,12,6,6,34,35,29,30,25,36,30,29,15,27,7,2,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,4,6,4,5,13,34,23,32,39,32,33,33,22,23,14,11,14,22,17,19,9,25,34,44,19,14,14,15,19,12,3,13,35,12,3,0,0,10,13,17,21,22,19,4,0,1,0,1,5,1,3,13,8,3,1,2,2,1,6,4,6,13,11,15,22,22,8,20,6,3,10,2,6,4,9,23,26,21,27,34,51,27,40,18,33,29,46,57,30,22,26,43,21,40,35,64,22,28,36,45,24,0
