,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000
RNAseq,36,396,1119,740,568,2693,2197,744,575,554,525,134,11,50,1307,394,900,492,852,2726,390,1600,17,19,34,208,125,298,2747,3017,367,1635,789,2196,144,17,40,170,19,89,36,13,275,7,4,14,8,184,97,13,141,271,4,238,102,229,165,24,30,1,152,247,374,556,824,1024,364,89,890,313,436,377,2047,101,301,384,452,204,183,228,633,125,40,945,616,398,4,3,39,1,0,0,0,0,0,0,0,0,0,0,0,115,218,169,19,256,853,2106,1939,540,416,1292,229,241,483,420,380,187,405,110,326,391,469,398,37,137,16,15,9,388,54,7,10,980,1050,549,714,1,1,921,8,631,336,745,83,166,666,1404,1278,348,744,478,1143,1245,2015,381,31,45,111,1648,1879,993,3386,1560,1406,916,497,358,899,1568,520,1407,1297,123,223,11,379,57,20,156,581,443,572,960,2059,6,1491,521,991,705,460,388,1875,5017,326,1186,1126,279,9,3,3,3,2,3,13,4,1,11,7,12,8,31,286,76,41,66,1,11,27,406,422,84,124,641,1835,258,361,78,761,501,502,1353,398,321,264,32,53,578,104,502,587,44,604,487,223,210,869,2802,159,1215,1872,149,224,19,175,128,196,171,291,311,504,303,170,625,732,339,624,7,13,31,39,15,42,4,11,5,10,4,102,9,63,104,179,123,619,151,11,6,148,26,34,430,1442,574,450,1085,1260,838,1223,80,627,1300,11,47,621,411,170,1925,217,14,9,607,508,1316,99,387,831,1496,1305,3621,2003,447,753,359,162
CEBPB,3,4,15,11,4,12,12,7,23,13,5,7,1,2,6,3,12,6,8,14,2,8,6,0,3,5,5,5,10,8,13,8,16,11,9,3,5,12,5,8,14,3,2,1,0,0,2,3,9,8,22,3,3,19,4,2,4,4,10,4,14,8,3,14,20,13,0,7,7,17,13,13,7,0,3,3,5,12,3,11,16,0,0,8,11,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,20,1,6,9,5,8,4,18,9,11,8,11,3,6,13,14,7,10,3,5,1,3,6,2,3,1,1,8,4,0,8,11,8,6,3,0,4,7,8,8,13,11,3,13,9,10,7,8,3,7,18,26,1,19,5,13,11,12,12,19,10,13,18,8,10,11,7,5,6,11,16,3,0,15,5,0,9,5,12,2,6,10,2,11,13,15,8,7,11,5,17,11,10,8,4,0,1,3,3,0,0,0,2,2,1,4,2,1,0,3,3,11,5,5,2,3,10,2,2,13,13,6,3,8,6,7,9,6,27,6,8,14,9,4,24,8,5,3,1,7,23,11,10,10,7,18,14,18,3,14,3,10,6,7,17,15,10,13,12,5,8,3,13,1,7,3,6,10,15,11,6,1,6,7,12,5,5,11,19,11,8,7,8,0,4,3,0,0,7,11,8,4,8,10,17,12,2,10,23,3,8,10,24,9,21,4,1,1,12,8,10,13,10,6,4,8,12,7,8,5,8,6
CHD1,0,0,1,2,3,3,2,3,1,5,3,0,0,0,3,3,0,0,0,1,1,2,0,0,0,2,2,2,4,5,2,4,4,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,3,0,1,1,2,5,1,1,0,1,1,2,1,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,1,1,0,2,2,1,2,1,1,2,1,2,3,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,3,0,0,4,1,0,2,0,2,2,4,7,0,0,1,0,3,1,1,2,2,0,2,1,2,6,3,2,2,4,5,0,0,2,1,0,0,1,0,2,0,4,0,7,2,0,2,0,1,6,2,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,2,2,0,0,0,3,0,2,3,0,0,2,0,1,1,1,0,2,0,4,3,1,0,1,1,1,1,3,2,2,1,0,1,0,0,0,0,0,1,0,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,2,3,0,1,2,2,4,7,1,1,4,0,1,1,5,0,5,0,0,0,0,2,3,1,3,2,3,2,5,4,3,5,1,0
CTCF,5,4,4,8,8,7,10,18,6,9,5,7,0,1,12,8,6,11,8,12,6,5,4,1,0,9,7,9,13,17,13,23,16,6,4,5,1,6,4,8,6,1,13,2,1,0,1,3,3,3,3,4,5,2,1,3,5,0,3,2,9,6,2,7,4,16,2,6,4,10,13,16,10,2,3,5,6,8,10,6,6,2,2,8,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,6,1,8,8,15,10,9,13,3,9,5,4,7,4,5,12,6,6,3,6,7,6,5,2,5,6,4,5,1,10,1,5,8,6,0,10,3,1,7,8,9,4,13,11,10,12,5,12,16,17,14,5,7,4,8,14,12,15,14,16,7,15,5,15,17,15,7,11,12,16,7,8,4,6,0,5,8,6,4,15,20,9,17,10,5,10,13,11,16,18,15,9,8,3,3,2,2,0,0,0,0,0,1,0,0,1,0,1,4,4,6,6,3,1,5,8,8,1,5,11,8,12,8,1,3,4,5,7,4,5,9,2,5,14,6,2,2,1,6,4,6,3,9,19,10,10,7,8,7,3,3,3,2,5,8,6,4,11,6,7,6,12,3,8,2,2,8,1,3,0,4,2,4,3,0,3,3,7,7,2,7,11,2,0,6,9,7,17,15,10,20,24,8,16,19,7,11,12,2,3,10,12,2,10,10,4,5,16,7,7,6,14,14,16,8,11,8,9,7,6,4
DNase-seq,38,49,111,131,77,109,87,111,138,79,50,64,9,27,73,71,89,49,68,85,47,84,41,17,17,71,46,57,92,118,69,93,117,54,55,20,43,62,29,75,72,16,45,15,8,8,7,29,45,69,66,36,29,103,51,50,51,29,45,31,73,81,35,72,63,97,11,63,87,84,153,97,96,15,20,70,62,68,43,49,74,10,4,70,159,119,29,14,60,25,0,0,0,0,0,0,0,0,0,0,0,32,74,139,27,49,78,64,85,92,69,79,54,38,71,42,46,68,52,95,92,38,67,36,29,58,45,20,20,20,67,25,16,68,42,48,62,28,0,49,37,67,50,78,72,42,103,81,109,71,46,65,80,122,191,40,73,50,92,97,86,87,117,90,67,89,101,71,96,92,67,76,100,107,34,33,62,40,5,53,68,77,40,79,95,29,220,56,89,59,55,77,124,150,90,86,75,41,13,7,2,3,1,10,8,3,7,3,2,8,2,12,37,36,55,28,31,39,47,97,46,44,115,85,66,56,39,16,55,51,51,122,63,49,83,26,61,161,55,34,38,9,64,98,65,78,82,78,89,76,187,44,94,38,66,32,26,115,110,40,49,76,49,56,53,68,32,47,19,39,61,57,50,23,22,33,45,61,32,37,78,106,110,66,63,80,21,18,44,35,38,77,87,94,71,109,73,124,131,38,62,229,38,64,65,136,60,123,49,31,22,97,83,66,100,116,85,156,94,120,110,104,80,72,86
EP300,0,2,4,16,4,7,12,6,21,10,0,4,0,1,6,4,3,1,3,5,0,6,4,0,0,4,2,0,4,8,8,4,8,5,6,0,2,6,2,4,13,0,5,0,0,0,0,0,1,7,18,1,1,15,2,4,2,6,3,1,6,9,0,4,5,6,0,3,5,6,7,6,3,1,1,3,2,7,1,3,5,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,1,4,4,0,2,4,5,3,4,3,3,2,3,4,1,9,7,2,2,1,1,2,4,0,0,0,4,0,0,4,2,3,3,0,0,1,1,1,1,8,3,1,9,2,9,1,3,0,8,18,15,0,13,1,6,7,5,4,12,8,5,8,6,4,8,2,10,8,15,10,0,0,2,5,0,3,3,11,4,2,6,0,26,0,12,2,1,1,12,37,5,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,11,0,3,3,2,15,0,2,12,13,6,2,5,2,3,4,2,15,2,5,5,0,5,20,1,1,1,0,7,13,2,3,5,4,2,5,16,1,7,1,4,1,1,11,11,2,1,3,1,2,6,6,0,2,2,4,9,13,4,3,0,3,4,5,4,2,7,13,6,2,7,8,0,0,1,0,0,0,5,7,1,6,3,8,14,1,10,41,0,1,2,21,3,11,3,0,0,4,4,2,7,13,2,13,7,2,8,4,1,2,11
H2AK5ac,2,53,68,139,36,64,69,81,178,59,6,63,0,4,58,47,40,9,34,61,5,65,22,0,1,41,24,16,66,77,63,40,67,26,21,0,17,21,14,32,69,0,10,0,0,0,0,10,23,112,116,2,10,128,27,9,21,20,54,19,46,87,20,87,72,48,0,46,38,80,123,110,53,4,0,42,44,48,4,17,79,1,0,15,32,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,178,1,30,45,22,52,54,58,37,29,19,36,8,18,37,23,89,104,11,23,12,0,16,35,0,0,3,49,0,0,53,13,22,24,0,0,16,5,1,15,65,95,7,51,46,85,43,13,20,68,128,178,18,147,85,153,84,45,72,93,65,36,70,91,53,88,41,77,75,112,131,12,0,10,16,0,23,15,129,25,47,68,2,180,33,110,33,14,19,114,183,76,50,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,53,5,27,29,3,113,5,28,131,74,59,16,20,9,29,20,30,137,51,16,34,14,39,262,41,17,7,1,45,142,21,42,59,30,57,53,159,29,135,2,20,9,7,129,84,12,15,45,14,12,30,53,5,61,3,2,84,77,28,4,0,9,16,36,25,6,47,175,109,24,56,60,0,0,3,0,4,19,57,51,23,67,32,115,138,6,87,245,1,8,45,156,47,133,34,0,0,63,51,39,171,149,39,118,71,102,78,60,28,43,82
H2AK9ac,11,10,28,28,23,35,42,52,25,31,15,18,0,7,23,41,16,20,25,43,8,29,7,5,3,18,12,17,43,64,29,27,37,15,11,7,9,2,3,11,10,0,11,2,4,3,2,6,3,7,12,11,3,7,9,6,8,2,4,3,14,5,2,10,10,24,2,19,38,37,65,27,45,3,2,27,16,24,11,7,10,0,0,7,42,40,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,16,2,8,10,19,27,35,13,26,2,8,7,6,7,9,2,36,20,6,11,13,3,10,5,5,2,4,6,3,4,25,9,11,7,4,0,21,8,8,5,15,11,8,40,38,33,21,13,32,33,47,49,7,11,11,26,30,30,26,44,46,15,37,20,20,43,30,37,22,67,29,5,6,5,3,0,12,9,12,8,23,32,4,70,8,27,5,11,18,53,55,40,24,23,9,1,1,1,0,0,2,0,0,1,0,0,0,0,2,1,4,1,3,5,3,7,20,10,8,28,32,27,18,12,2,4,6,7,10,9,6,10,0,2,41,5,3,0,0,17,18,4,3,22,22,11,10,32,10,18,6,7,3,6,13,14,12,10,5,7,8,11,8,5,3,0,0,1,7,1,2,0,2,2,3,0,0,9,16,16,8,11,37,5,3,6,3,7,33,49,28,26,46,16,39,27,12,21,80,8,6,23,44,13,48,26,5,5,37,35,29,42,69,53,69,61,82,69,28,38,25,34
H2AY,2,2,0,2,17,1,4,13,0,5,10,2,0,0,19,18,0,19,22,0,0,3,17,0,7,13,3,11,6,4,23,20,12,6,6,0,0,0,0,1,13,0,0,0,0,0,0,3,19,59,36,1,5,25,18,8,10,7,28,23,41,32,7,18,3,14,4,28,2,36,14,0,7,4,1,9,0,27,13,21,8,1,2,20,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,22,6,6,14,34,1,11,15,1,0,14,19,7,12,11,9,30,55,2,13,0,1,7,19,0,3,10,43,2,0,0,0,7,24,0,0,2,7,9,0,0,49,4,17,9,34,40,2,13,9,12,16,18,49,36,81,21,3,6,9,9,35,6,57,51,18,22,15,9,19,27,1,7,7,5,0,24,5,34,0,34,5,31,62,21,47,12,16,13,43,43,32,16,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,31,7,17,4,3,41,1,1,0,4,4,2,5,10,4,8,6,4,12,1,21,0,0,8,33,0,9,6,0,55,6,0,24,8,18,24,22,6,48,16,11,5,4,8,0,30,0,11,1,2,14,9,7,22,1,5,45,57,37,30,10,8,20,45,19,15,34,45,11,1,4,18,0,0,4,1,10,9,3,13,6,4,15,8,37,24,25,4,12,22,15,34,40,7,6,6,10,21,12,12,0,5,7,20,1,12,7,21,3,0,47
H2AZ,25,10,15,22,36,35,36,38,17,26,17,22,3,9,25,37,8,25,27,32,16,26,14,6,4,31,22,27,46,55,56,50,63,14,20,11,11,4,13,13,16,0,19,0,2,0,3,6,5,25,14,11,10,12,14,7,14,6,6,1,14,19,13,10,10,42,6,23,18,47,42,27,31,6,7,23,6,30,18,12,16,1,0,16,44,52,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,13,9,10,19,19,30,19,18,23,2,8,14,9,21,15,4,35,47,20,21,25,6,12,8,4,2,2,10,11,7,27,11,22,14,8,0,20,24,13,3,8,31,7,30,33,29,40,10,36,32,53,41,6,25,18,28,44,30,28,27,40,21,39,41,31,43,42,41,35,49,35,24,15,7,11,0,23,13,23,9,33,39,1,38,23,27,24,29,24,53,43,51,51,26,6,2,1,0,0,0,0,0,1,0,1,0,0,0,1,3,12,4,7,9,12,17,33,22,16,30,24,18,38,19,4,7,18,14,4,23,4,9,7,4,46,30,4,13,2,16,25,3,1,36,24,30,12,23,20,27,9,15,2,9,8,4,13,13,16,9,11,37,26,13,11,2,6,14,8,5,1,0,13,9,8,5,7,22,28,21,12,18,35,13,4,12,15,21,36,38,26,35,45,33,33,35,18,29,40,17,18,26,46,17,31,28,16,17,65,31,38,21,31,42,69,30,60,41,41,35,26,33
H2BK120ac,0,18,38,62,12,29,28,58,88,38,2,42,0,4,23,21,18,1,13,22,0,42,19,0,0,28,17,10,29,30,38,17,32,12,14,0,11,9,17,18,48,1,13,0,0,0,0,7,22,85,91,1,9,106,23,15,23,27,47,26,36,52,10,48,43,22,0,18,16,33,48,44,16,2,0,19,21,24,8,11,56,2,0,15,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,89,3,34,30,6,28,31,32,11,24,18,20,9,12,24,28,49,78,8,20,9,1,12,19,0,0,4,30,0,0,33,7,19,16,0,0,4,5,0,3,35,63,1,21,12,57,19,4,9,41,66,94,8,133,77,84,35,23,31,51,36,17,43,49,26,33,11,42,41,64,56,8,0,3,15,0,18,8,66,19,14,30,1,111,13,65,17,5,13,54,97,37,27,30,2,0,0,0,0,0,0,0,0,4,2,0,0,0,1,7,1,47,3,38,40,12,72,5,11,77,37,31,11,12,16,26,21,32,94,39,11,36,25,42,161,20,34,7,1,27,80,14,47,37,12,19,19,123,17,75,1,8,7,9,75,52,10,8,20,2,8,17,29,11,40,8,11,86,84,20,4,0,20,19,47,27,8,28,91,54,11,35,30,0,0,1,0,0,6,18,34,8,32,21,47,62,7,44,126,0,5,22,72,18,48,25,0,0,26,25,18,80,72,12,55,26,36,35,23,4,16,38
H2BK12ac,0,22,40,76,13,31,39,60,106,41,1,53,0,2,23,24,13,0,7,18,0,41,20,0,0,35,14,8,19,21,42,21,40,14,17,2,6,14,15,24,57,1,8,0,0,0,0,10,26,124,102,0,14,130,29,18,19,23,54,22,41,69,10,59,46,32,0,19,14,37,46,54,15,3,0,14,15,27,4,13,61,0,0,13,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,110,1,39,37,3,19,30,40,8,40,19,32,9,6,23,25,67,83,7,13,6,0,14,33,0,0,4,50,0,0,36,9,11,18,0,0,1,2,1,8,44,71,2,27,9,57,18,4,3,42,76,100,4,164,89,116,34,25,34,65,27,16,46,62,24,41,8,47,43,61,69,5,0,8,17,0,28,7,94,15,23,30,2,139,18,75,18,9,15,60,91,37,30,34,4,0,0,0,0,0,0,0,0,3,2,0,0,0,0,12,3,62,3,44,52,5,82,4,12,77,40,30,5,12,13,27,21,31,107,36,9,33,17,37,198,37,25,3,1,21,114,18,48,28,8,25,27,128,12,84,0,9,9,8,91,65,8,11,29,4,7,14,31,10,62,5,7,115,95,33,4,1,17,26,46,36,8,46,106,67,20,41,34,0,0,0,0,0,2,15,32,6,28,16,60,74,5,49,140,3,6,19,80,21,60,24,0,0,31,20,21,79,74,10,49,29,16,31,21,6,11,34
H2BK15ac,1,18,31,48,9,19,27,51,109,36,1,29,0,2,15,20,11,0,9,17,0,37,13,0,0,16,13,5,14,18,34,13,22,7,13,1,2,8,6,11,40,0,5,0,0,0,0,5,28,135,94,0,14,115,16,13,11,19,67,26,37,53,11,49,40,25,0,12,14,38,34,40,14,3,0,9,16,21,1,9,60,2,0,12,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,101,2,23,17,4,15,34,34,4,24,13,24,7,4,16,26,37,70,6,8,3,0,14,28,0,0,3,45,0,0,29,7,10,17,0,0,1,2,0,4,29,58,2,24,5,46,11,3,2,36,64,117,9,151,67,124,30,20,28,41,28,8,39,49,24,31,5,48,31,48,75,4,0,3,16,0,19,6,95,10,15,27,1,126,12,72,12,7,11,64,84,35,17,29,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,49,2,36,39,4,93,1,14,52,51,29,9,7,8,19,10,27,93,41,11,21,11,38,189,22,17,3,0,18,106,20,35,32,7,28,19,121,15,90,1,2,6,4,75,54,8,12,24,0,4,12,34,9,56,8,6,121,100,30,9,2,22,21,53,31,9,37,120,53,13,35,32,0,0,0,0,0,4,11,22,3,21,10,47,62,3,49,113,0,5,15,88,16,39,18,0,0,18,16,17,70,88,5,28,23,12,20,12,0,8,23
H2BK20ac,0,25,41,55,7,14,24,49,87,25,1,31,0,3,13,19,15,0,8,12,0,34,15,0,0,15,12,8,8,8,22,8,18,7,11,0,9,8,14,20,39,1,7,0,0,0,0,8,18,103,93,1,9,102,23,13,16,29,53,22,32,62,12,41,32,21,0,10,10,24,29,40,7,0,0,7,15,19,5,11,55,0,0,11,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,86,1,33,27,3,10,26,25,4,21,15,22,5,4,18,24,48,72,4,11,5,0,11,21,0,0,2,37,0,0,23,4,11,16,0,0,0,6,1,4,31,62,1,18,2,44,19,1,0,27,52,100,5,122,63,95,23,10,17,32,15,4,29,38,23,27,2,42,31,45,52,4,0,2,12,0,17,2,75,10,11,20,1,118,12,53,11,4,14,54,82,28,19,24,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6,0,53,0,38,41,5,79,4,11,68,38,21,7,11,11,21,15,29,91,31,9,28,19,38,158,23,25,2,0,19,91,12,45,27,5,13,21,117,8,68,2,4,12,5,69,51,10,4,21,1,2,12,31,8,36,6,9,88,80,19,8,1,20,14,43,27,7,23,87,49,13,28,35,0,0,0,0,0,2,7,29,5,20,11,35,52,4,34,100,1,5,21,71,19,41,17,0,0,13,12,13,74,64,4,27,22,8,15,16,2,7,29
