,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000
RNAseq,316,176,305,98,24,37,3,1,17,2,803,557,158,803,83,16,27,56,8,8,106,540,31,151,15,99,23,235,132,8,99,116,140,186,346,495,407,880,858,257,4,27,332,286,77,7,20,245,107,1517,270,440,322,9,216,98,146,24,4,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,5,433,587,9,39,7,12,327,240,345,20,350,300,226,50,122,314,1,4,454,49,104,60,20,0,8,2,532,47,71,6,13,57,0,1,6,5,3,4,23,6,90,264,233,77,38,5,3,6,8,7,1,10,24,52,176,823,140,138,806,284,72,523,85,31,9,4,2,2,3,1,7,126,133,136,3,2,0,1,10,4,59,5,255,7,11,5,3,8,5,4,5,3,3,47,20,7,14,480,944,237,5,246,319,11,19,424,14,6,285,778,135,151,259,265,7,657,7,115,563,7,3,2,2,11,6,5,8,9,6,10,271,234,4,1,145,474,302,65,34,12,6,317,72,10,63,1575,62,71,696,182,327,219,716,189,302,11,3,2,8,21,37,268,141,337,61,60,99,198,438,40,114,4,5,7,3,2,8,8,1,5,3,30,5,8,752,12,6,106,7,413,131,26,31,38,122,285,22,4,4,12,0,7,3,3,7,15,23,40,219,267,4,193,325,288,205,204,20,4,3,22,480,17,257,41,15,10,0,5,3,8,20,91,113,156,470,333,11
CEBPB,3,12,7,1,1,1,0,1,2,3,7,6,7,15,19,11,4,2,5,1,3,7,7,8,7,5,9,6,7,4,8,11,11,11,5,18,9,6,15,15,13,10,6,8,8,7,3,10,4,7,12,4,2,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,5,2,20,23,16,10,24,17,10,9,6,6,7,5,13,4,5,3,3,6,2,0,0,2,1,13,4,3,7,7,4,7,4,3,0,1,4,1,1,3,6,4,14,5,1,3,0,1,2,0,3,7,11,10,5,9,3,10,11,9,12,2,2,1,1,0,0,1,0,1,3,3,2,5,4,5,13,7,5,2,3,11,4,1,1,3,0,3,3,2,2,4,4,7,4,1,13,14,11,3,3,6,4,0,2,4,3,9,17,18,11,6,6,1,7,1,10,8,5,0,3,2,0,2,0,1,1,2,1,4,2,0,10,4,12,13,11,7,21,6,7,5,3,2,23,17,20,13,9,10,4,13,18,13,4,5,3,0,0,4,14,13,6,5,6,11,12,8,12,14,3,1,3,1,2,4,2,2,0,1,0,1,7,9,12,9,15,10,8,4,6,6,5,7,8,18,0,1,1,0,2,2,2,4,5,1,7,3,14,8,12,3,9,12,3,11,6,3,0,16,9,5,15,0,1,0,1,2,1,1,7,6,9,6,4,0
CHD1,0,0,1,0,0,0,0,0,0,0,2,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1,0,1,0,0,0,1,0,0,0,2,0,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,1,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0
CTCF,2,6,6,4,0,0,1,0,3,1,4,7,5,7,7,7,2,0,0,0,5,2,2,6,2,2,5,5,7,2,5,4,2,7,6,4,4,3,9,4,5,1,3,3,3,3,7,6,5,13,9,6,5,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,4,5,2,5,6,5,6,6,4,5,7,6,1,3,2,5,2,3,5,1,3,0,3,3,3,3,0,0,2,1,0,2,0,1,0,0,3,1,4,5,4,2,8,2,2,4,2,3,2,2,3,9,3,5,1,1,6,6,5,9,1,6,5,1,0,0,0,0,0,0,1,3,1,2,1,1,2,4,1,3,6,2,1,0,0,2,7,0,1,1,1,3,1,5,3,7,4,6,5,0,7,3,1,7,5,7,11,8,7,4,3,7,3,5,4,2,5,2,2,0,0,3,3,1,0,1,2,1,2,6,1,5,1,5,6,3,2,3,3,5,2,0,4,2,6,6,9,8,4,5,3,6,5,0,2,2,0,2,4,2,8,4,2,5,8,6,8,2,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,5,4,0,2,1,4,3,6,2,2,0,0,0,0,1,2,4,0,1,2,0,6,4,6,5,3,4,3,2,1,3,6,5,10,6,0,1,1,0,0,0,1,2,5,3,3,7,2
DNase-seq,40,80,41,31,8,5,2,3,12,19,38,64,49,98,81,66,12,9,7,4,17,40,45,40,35,11,46,49,46,11,43,66,53,65,60,126,58,74,105,85,73,75,44,48,58,31,39,82,30,93,79,54,46,18,32,11,11,1,0,8,3,26,0,0,0,0,0,0,0,0,0,0,0,0,56,9,25,38,36,95,98,61,76,103,78,73,80,70,43,71,46,53,39,39,31,20,58,12,5,3,13,14,69,25,12,36,32,31,15,7,3,4,1,4,6,16,20,17,31,45,25,15,9,7,19,22,11,10,23,42,53,45,54,19,60,77,72,77,14,29,26,7,8,4,9,6,6,9,34,32,9,26,29,28,33,28,10,24,41,9,9,6,5,6,17,16,12,8,23,42,37,29,40,96,78,56,22,40,40,14,9,37,24,36,121,157,70,45,49,57,19,27,18,35,55,11,10,10,5,12,10,10,9,4,3,6,20,28,0,42,54,70,105,57,53,81,44,39,32,12,22,105,80,103,103,81,88,36,69,125,74,12,14,13,7,10,29,74,76,40,38,49,46,38,47,44,42,6,2,2,4,2,2,7,4,2,4,1,0,24,61,43,35,35,57,51,11,11,20,38,37,45,59,12,15,6,4,5,2,5,11,14,12,21,47,74,51,62,42,51,60,78,70,23,10,18,117,58,52,88,6,10,8,9,11,18,24,41,74,71,77,76,7
EP300,0,11,0,0,0,0,0,0,1,1,2,1,4,11,16,4,0,0,0,0,1,1,1,2,2,0,8,3,2,0,2,3,4,2,5,17,8,6,6,10,14,3,1,6,5,7,2,8,1,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,9,15,6,5,9,2,5,6,2,2,9,1,4,5,4,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,0,0,2,7,3,4,4,0,9,3,4,6,0,3,0,0,0,0,0,0,0,0,2,1,0,1,0,3,2,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,4,2,13,9,3,0,0,1,0,0,1,0,1,20,16,8,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,4,2,6,7,5,7,3,3,1,0,0,15,5,10,7,9,4,1,8,17,9,0,0,0,0,0,1,5,3,2,2,2,3,2,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,3,3,6,5,1,0,1,1,4,3,11,0,0,0,0,0,0,0,0,0,0,3,2,7,2,3,2,3,8,2,6,2,0,0,6,4,1,16,0,0,0,0,0,0,0,1,5,3,3,0,0
H2AK5ac,2,72,13,2,0,0,0,0,3,16,31,28,46,47,128,61,1,0,0,0,0,10,8,11,28,0,43,45,21,0,50,31,20,16,70,211,80,44,131,88,94,41,15,47,63,17,3,71,13,45,47,31,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,7,2,50,119,51,100,164,54,63,54,21,63,114,28,47,28,12,2,0,25,0,0,0,0,0,34,4,0,6,23,28,3,1,1,0,0,0,0,3,1,2,3,27,0,0,0,0,1,2,0,0,7,34,31,17,18,3,25,53,50,55,0,10,0,0,0,0,0,0,0,0,13,2,3,11,10,43,23,10,0,1,18,0,0,0,0,0,3,0,2,0,3,11,11,29,12,162,61,27,0,3,5,0,0,2,0,1,141,204,114,21,13,30,0,6,0,4,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,49,46,13,61,75,38,141,18,8,9,0,0,127,71,97,55,96,89,6,33,133,118,0,1,0,0,0,14,61,74,8,4,14,36,16,15,42,26,0,0,0,0,0,0,0,0,0,0,0,0,15,46,31,20,36,84,30,10,2,5,12,31,29,74,0,0,0,0,0,0,0,0,1,0,3,18,99,46,52,1,62,70,29,43,6,0,0,60,40,8,116,0,0,0,1,0,0,0,2,19,30,34,15,0
H2AK9ac,5,5,4,2,2,0,0,0,1,1,5,10,6,14,17,4,1,5,0,0,1,8,7,6,5,3,3,2,9,4,11,1,0,7,17,18,10,9,14,7,12,9,6,5,6,11,9,14,3,31,11,8,8,7,7,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12,0,5,3,5,7,13,9,8,4,8,7,3,2,4,5,4,4,1,6,4,1,0,1,0,2,3,1,2,2,1,2,1,0,2,0,1,0,1,1,5,4,7,2,1,1,1,1,1,0,1,0,7,13,7,3,1,10,11,4,14,2,4,8,1,2,0,2,2,0,1,2,1,0,0,0,2,3,0,0,5,3,1,0,1,0,1,0,0,1,0,3,4,1,1,2,32,13,6,7,2,9,4,0,3,6,4,30,36,12,4,11,8,7,9,1,6,16,2,1,1,1,0,1,1,1,0,1,0,3,6,0,5,5,3,4,6,1,9,4,1,1,1,4,16,14,7,11,12,5,6,5,14,9,0,1,0,0,0,4,3,8,2,9,5,7,6,9,6,8,1,0,0,0,1,1,1,0,0,0,0,0,1,4,5,1,1,2,1,1,2,2,3,5,6,5,0,1,1,0,0,1,1,0,1,3,1,0,5,10,7,6,8,11,25,7,3,4,4,26,19,14,19,2,0,1,2,3,9,3,5,12,21,22,15,2
H2AY,2,75,17,2,0,0,0,0,0,3,5,16,44,14,30,41,2,0,0,0,0,2,5,12,20,1,43,0,2,0,0,1,0,7,11,55,20,11,28,18,82,43,5,2,11,18,10,6,5,5,3,10,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,11,58,70,37,31,1,39,47,17,0,28,54,17,1,13,26,1,0,9,0,0,0,0,0,2,2,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,1,0,15,12,12,9,8,5,5,6,2,6,0,5,1,0,0,0,0,0,0,0,1,1,0,7,3,9,3,8,0,0,1,1,0,0,0,0,0,5,2,0,7,4,27,17,12,40,4,2,1,0,0,0,0,1,1,26,23,33,28,0,44,16,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,18,4,0,22,37,55,18,0,0,3,5,13,79,0,14,58,29,19,14,60,39,2,3,0,0,0,8,24,9,5,12,3,1,15,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,8,8,16,6,1,1,1,2,2,4,21,0,0,0,0,1,0,0,0,0,0,0,2,34,25,11,1,0,1,8,21,14,0,0,1,20,1,38,0,0,0,0,0,0,3,0,2,32,9,3,2
H2AZ,5,19,14,13,1,0,2,2,1,12,15,12,22,22,28,14,1,2,1,0,3,7,15,9,13,8,2,10,19,8,12,1,4,9,24,17,17,13,16,18,20,24,16,7,13,20,8,35,17,37,7,18,14,16,11,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,11,7,12,17,7,19,13,19,20,9,11,11,6,8,8,17,9,6,3,24,1,0,2,1,1,6,6,0,2,9,9,5,4,1,1,0,0,3,2,6,4,8,5,5,0,0,0,4,1,2,3,3,10,10,17,10,4,11,18,17,10,1,16,12,0,0,0,2,0,0,3,8,6,0,2,4,1,7,4,0,4,9,0,0,0,0,0,2,1,1,1,1,9,5,4,12,33,17,10,21,6,7,3,7,10,20,16,11,35,20,5,19,16,6,22,8,9,13,1,1,0,0,4,3,0,0,0,0,0,2,13,0,7,11,5,4,19,10,25,9,6,4,4,20,19,18,8,17,17,20,12,2,15,28,1,1,1,1,1,8,10,21,6,16,15,9,10,16,28,13,2,0,1,0,0,0,0,0,0,1,0,0,5,7,7,12,6,11,5,5,7,5,8,7,14,23,0,0,0,0,0,0,0,1,2,6,2,2,12,35,24,19,8,7,35,24,9,4,8,27,33,23,42,6,0,3,5,4,8,9,7,25,25,25,20,3
