,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000
RNAseq,23,243,1247,1037,2693,1453,1816,760,1593,2354,245,669,1161,415,1030,2828,949,1520,409,1251,713,223,1854,513,577,1245,225,111,197,58,899,557,356,597,815,69,15,235,393,646,974,1210,1462,2041,1338,1694,1418,294,374,232,382,2278,2893,640,42,707,771,162,1980,95,354,915,378,9,1866,656,606,441,305,1085,840,198,407,1001,1403,340,1142,610,912,297,179,314,27,131,83,226,167,48,42,19,6,25,7,279,182,72,539,84,0,0,0,0,0,0,0,0,0,0,0,0,3,1,15,226,4,21,39,12,102,6,149,166,173,5,11,4,34,270,4,9,13,290,370,307,268,362,38,68,417,1206,105,125,416,312,1196,260,1351,227,307,351,158,206,271,197,354,558,1160,1294,173,2070,48,642,546,1024,846,404,723,1543,170,801,552,1153,19,24,123,51,1852,277,369,269,614,1371,484,911,1070,1252,65,554,1700,1537,1127,562,402,200,632,1329,398,2446,1009,1170,1831,1480,125,709,575,163,70,298,226,319,1001,543,762,444,699,298,62,270,1274,335,5,22,1047,1519,1296,11,293,237,292,59,169,720,486,677,475,1097,1248
CEBPB,0,2,6,10,16,10,4,4,7,9,12,9,5,8,11,5,5,12,8,6,6,3,8,16,14,7,4,1,5,4,8,7,4,8,10,5,0,1,2,3,5,14,5,12,12,14,6,3,1,1,7,7,13,9,7,17,8,4,8,1,6,16,3,0,12,19,10,4,5,6,6,4,10,12,10,5,8,4,12,3,2,3,0,1,2,1,7,4,2,0,2,0,3,2,2,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,1,2,4,0,0,2,1,10,7,1,3,1,11,3,1,8,6,0,4,12,11,5,6,8,5,13,6,5,1,1,4,4,3,4,7,7,8,12,12,8,8,1,2,8,7,6,6,8,11,2,2,8,10,1,6,6,7,9,11,12,3,13,11,3,11,11,11,10,9,7,18,13,10,16,0,2,6,13,13,6,6,12,11,1,5,2,3,1,1,4,7,3,5,5,3,4,1,4,6,9,1,2,0,5,11,6,0,6,3,2,1,3,9,5,5,7,7,5
CHD1,0,0,8,4,11,5,4,4,4,3,4,0,1,4,5,4,2,2,2,1,0,1,2,0,2,1,1,1,2,1,2,1,0,5,4,0,1,0,2,1,1,6,2,3,3,1,3,0,1,1,2,8,4,2,0,8,0,1,4,0,0,4,1,0,1,2,1,1,1,2,2,1,3,2,5,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,2,1,0,2,1,0,4,1,2,1,1,1,0,0,1,0,0,1,0,1,0,5,0,0,1,3,2,1,2,2,0,0,2,4,0,3,2,2,3,0,0,0,2,2,3,6,2,0,1,2,4,2,3,3,4,1,1,5,4,4,4,1,3,4,0,2,0,1,1,1,1,1,0,0,0,1,1,0,3,1,4,1,0,0,1,5,5,0,2,0,0,0,0,0,0,0,1,0,1
CTCF,0,6,15,15,19,16,12,21,12,13,11,8,12,15,14,9,12,14,17,11,9,6,11,9,8,11,6,5,5,5,7,13,5,11,12,4,2,3,4,7,11,10,23,14,8,13,16,9,9,2,3,19,18,12,7,15,19,10,12,4,4,13,10,1,8,11,7,5,6,10,16,9,9,23,25,12,11,11,9,2,1,1,0,0,0,2,1,1,0,0,1,0,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,5,3,3,6,8,9,3,0,7,4,4,3,1,0,2,8,3,1,12,8,0,7,6,7,4,3,11,4,10,8,9,2,0,2,3,1,3,5,12,7,9,11,6,16,4,10,7,8,22,9,5,12,10,17,15,17,10,13,12,8,11,7,2,0,17,14,12,14,13,9,7,11,16,12,13,13,9,8,6,18,13,11,20,12,15,11,5,9,13,6,9,11,10,4,2,5,6,2,2,5,3,8,11,9,3,0,10,9,13,1,7,8,1,1,3,8,6,5,4,7,9
DNase-seq,3,56,112,119,154,123,84,85,102,97,69,52,66,106,92,55,82,94,64,84,73,53,61,81,77,51,54,23,43,39,60,69,45,78,69,18,24,20,34,46,76,94,86,87,73,100,65,50,50,29,34,105,143,74,53,104,81,56,79,18,36,129,45,14,90,88,88,49,64,82,73,59,73,140,128,88,69,64,108,33,26,11,7,12,13,22,14,19,18,7,5,11,10,20,17,12,27,27,43,0,0,0,0,0,0,0,0,0,0,0,17,191,11,24,12,10,16,40,20,15,71,58,21,17,26,17,57,79,23,10,18,44,43,23,62,57,30,37,46,100,16,44,58,38,78,64,69,23,30,28,16,24,20,71,101,73,98,68,44,102,28,46,59,73,90,45,46,89,20,73,93,92,26,70,59,37,83,57,45,37,106,102,83,114,100,67,44,82,89,121,96,81,97,34,51,104,92,117,84,61,95,91,24,56,54,36,36,35,50,32,42,37,49,41,42,35,29,45,64,45,14,4,59,106,83,8,51,34,31,15,23,57,39,47,40,74,38
EP300,0,1,3,10,15,12,2,0,5,7,14,1,5,9,4,4,6,7,4,6,1,2,2,14,9,3,1,1,2,3,4,0,2,5,4,0,0,1,2,2,7,9,1,5,10,10,4,0,0,0,1,9,9,9,4,17,1,2,5,0,0,12,0,1,3,8,3,3,4,2,2,0,7,13,8,5,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,9,10,1,0,0,4,0,0,3,1,0,0,4,3,0,0,1,1,2,3,4,0,1,0,1,0,0,5,2,6,15,3,2,9,0,0,0,3,8,3,4,9,0,0,3,2,1,10,12,5,7,2,1,0,10,8,3,6,3,3,3,3,3,18,10,6,13,0,2,5,4,9,1,3,2,5,1,1,0,0,0,0,4,3,2,1,3,0,1,0,1,2,4,1,0,0,2,8,9,0,0,0,0,0,1,2,0,0,2,2,2
H2AK5ac,0,5,55,94,123,69,32,42,97,75,108,13,65,101,62,21,43,53,54,86,35,17,19,99,86,42,14,0,5,9,31,35,13,46,61,0,0,3,12,23,68,77,57,56,67,111,35,4,2,3,4,54,130,51,31,111,38,13,61,1,15,81,11,0,32,94,42,14,50,50,38,15,44,129,133,60,45,29,58,8,3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,0,0,30,9,0,0,0,0,91,60,0,0,0,21,6,2,9,17,0,6,27,69,3,15,19,6,40,30,32,2,7,5,2,2,1,82,86,61,96,33,18,68,2,16,15,57,102,27,31,57,0,20,80,44,4,189,159,58,66,42,10,4,171,107,32,88,80,49,9,49,63,142,82,47,81,5,9,73,58,70,36,35,65,67,8,8,10,3,4,12,12,1,20,12,46,8,8,1,8,15,34,14,0,0,14,87,84,0,13,7,7,0,1,34,11,19,10,38,46
H2AK9ac,0,13,59,61,93,59,39,49,62,49,29,22,31,41,59,20,35,48,49,48,31,13,18,30,22,33,14,4,2,10,32,31,20,19,12,4,3,3,8,18,18,47,42,43,39,32,31,7,7,11,2,58,75,34,13,43,38,11,46,5,8,27,18,5,25,21,29,10,24,49,36,14,24,60,62,32,45,31,39,15,3,2,0,0,7,3,5,2,3,0,0,0,0,5,8,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,3,1,9,7,5,21,9,9,0,6,6,11,22,3,2,1,15,15,7,17,21,12,10,10,30,9,13,23,14,49,17,27,7,9,9,3,9,6,29,30,30,37,27,22,46,6,21,10,35,34,23,19,39,6,21,44,44,4,19,16,10,36,12,7,8,30,37,44,34,45,45,5,25,38,25,26,28,33,7,8,38,28,39,22,28,48,60,11,18,17,7,8,13,17,3,9,15,19,13,10,4,7,11,27,17,1,0,15,63,55,0,11,8,9,6,6,17,20,14,24,37,32
H2AY,0,21,13,32,15,16,24,17,3,31,55,10,39,40,14,22,20,4,45,11,12,59,12,22,12,7,4,2,0,1,19,13,18,22,4,3,2,0,1,1,35,3,11,6,4,18,11,0,1,0,0,23,6,1,18,15,12,44,8,0,9,6,11,2,6,60,3,11,7,7,12,24,34,13,13,13,6,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,6,1,0,0,1,0,37,17,5,0,0,2,1,1,17,5,1,10,3,0,1,3,17,5,4,24,1,0,0,0,0,0,0,3,1,19,2,14,15,3,2,1,6,2,25,3,11,0,5,12,23,5,15,15,11,20,6,14,0,0,41,15,4,18,11,11,34,52,12,10,6,23,15,9,16,14,32,8,12,8,4,11,0,8,2,2,1,0,4,1,0,0,0,0,0,0,1,8,3,4,0,1,13,17,8,0,1,0,0,0,0,0,0,0,0,0,0
H2AZ,0,35,66,64,73,66,43,47,48,55,61,27,56,39,52,25,43,44,45,36,19,27,29,35,19,35,14,12,16,6,46,48,17,29,25,5,2,11,12,25,24,46,53,28,27,47,42,27,24,18,21,62,54,34,20,49,52,21,43,9,9,26,24,6,21,30,18,19,21,49,41,55,45,69,46,28,30,30,38,21,8,6,4,4,10,6,13,7,7,1,3,3,1,11,4,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,22,12,7,38,28,16,4,7,7,23,17,5,1,4,10,16,16,23,18,18,17,12,21,16,25,29,27,57,41,36,9,11,21,14,19,11,13,31,40,28,30,25,49,7,21,18,47,63,21,16,39,5,27,45,47,4,19,9,19,48,34,27,12,27,46,42,64,55,44,11,27,36,23,55,36,31,6,18,54,67,47,39,32,56,46,13,39,34,19,19,21,19,10,14,16,17,22,21,19,14,38,39,22,1,2,37,62,67,4,20,15,13,2,10,27,31,23,25,36,28
