,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000
RNAseq,4,1244,246,49,208,787,1,133,96,586,477,698,871,337,360,1573,149,29,261,423,554,85,226,410,117,8,23,31,2,2,7,398,155,117,146,115,338,519,6,3,74,215,322,11,5,5,12,176,19,72,43,2,20,78,219,304,18,8,10,12,9,6,3,7,2,319,161,2,7,46,2547,791,205,373,403,11,9,6,54,863,393,57,92,8,164,453,7,3,3,4,6,1,7,298,179,1,5,3,12,340,279,1053,285,24,319,0,0,0,0,0,0,0,0,0,0,0,0,1,106,77,520,1000,352,1188,388,1081,3,174,276,662,640,777,487,383,615,641,1432,806,733,174,824,859,245,771,479,335,324,901,355,114,377,1,17,8,21,21,16,175,638,833,797,6,7,8,5,7,11,13,601,129,227,273,1656,71,912,550,144,383,1009,356,189,290,46,540,50,203,10,8,13,36,649,855,47,476,830,243,432,193,640,11,666,322,84,56,6,2,7,10,263,22,8,63,18,8,51,4,5,2,6,542,445,14,3,222,153,31,5,235,619,743,681,6,8,20,87,32,5,7,3,64,66,32,727,847,26,660,604,552,359,974,1582,110,0
CEBPB,1,18,5,4,8,12,3,17,9,5,6,6,8,4,11,19,17,9,14,11,8,3,12,7,2,1,8,3,3,3,3,5,12,12,11,10,14,17,0,5,6,16,27,11,7,9,1,8,6,0,0,7,2,5,6,3,4,9,4,2,2,1,6,5,3,7,8,8,1,4,19,15,3,5,7,1,1,2,5,16,1,5,7,2,6,11,2,1,2,3,1,5,8,12,5,1,2,0,6,4,7,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,15,5,9,9,10,0,4,6,7,15,5,8,10,15,10,7,18,9,2,4,9,5,14,3,10,10,17,3,1,5,0,1,2,4,0,2,3,8,12,11,3,1,0,2,0,3,1,6,8,6,4,12,13,13,9,2,4,6,2,2,9,9,18,12,1,2,1,2,5,3,7,10,12,18,16,12,14,16,16,10,9,12,3,8,4,1,1,9,20,13,6,1,1,0,3,0,2,0,13,4,3,2,3,4,5,1,13,12,10,4,2,2,3,4,1,5,1,4,6,4,2,6,4,0,5,4,3,2,8,6,6,0
CHD1,0,3,3,1,2,3,1,3,1,0,1,1,2,0,1,5,5,0,2,1,1,0,5,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,1,1,3,1,1,1,1,2,2,2,2,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,2,1,0,1,2,1,1,1,0,2,1,0,0,2,3,2,1,0,0,1,0,2,2,0,1,5,2,1,0,6,1,3,3,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,3,5,2,1,3,1,1,0
CTCF,4,11,9,6,4,10,1,10,6,8,10,5,8,4,12,10,13,2,9,4,8,3,5,5,9,1,3,4,3,2,0,4,4,3,6,2,3,8,3,5,4,8,8,0,4,2,6,3,2,0,0,3,3,3,2,3,4,2,1,0,1,2,4,1,0,4,3,3,0,3,10,9,1,3,3,0,1,0,5,7,4,3,4,5,4,6,4,1,1,4,4,2,8,8,4,5,4,1,2,6,9,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,16,11,5,2,9,10,3,6,5,7,9,4,7,9,8,10,10,6,7,5,11,10,7,8,6,1,7,17,5,10,8,2,0,3,3,3,0,5,9,9,1,4,1,0,1,0,0,2,7,6,9,6,11,11,11,12,7,4,16,8,7,8,2,8,3,6,0,1,2,3,6,5,11,4,11,14,13,12,7,8,5,6,6,7,1,0,0,3,6,3,8,4,1,4,0,0,0,0,0,6,5,0,6,2,9,0,1,10,6,7,5,3,9,3,8,5,0,1,3,4,2,4,8,11,3,10,13,14,12,12,14,7,0
DNase-seq,11,101,40,54,41,92,19,93,53,45,47,54,74,54,50,104,106,61,61,68,62,21,74,48,32,26,56,13,4,10,11,35,67,49,50,40,85,77,15,17,47,68,130,70,72,62,18,51,28,9,2,29,31,41,31,21,17,38,18,11,6,5,25,8,8,36,41,31,21,28,102,107,16,38,45,20,7,17,41,123,24,47,21,17,37,49,9,7,6,15,18,24,70,56,39,14,14,18,39,44,71,76,59,26,25,118,0,0,0,0,0,0,0,0,0,0,0,3,124,117,82,96,49,76,91,72,21,39,51,95,72,51,69,69,75,96,78,97,62,28,93,83,45,77,64,42,73,117,48,40,62,13,12,35,22,8,14,31,72,105,64,23,15,13,9,9,11,22,41,61,90,54,79,73,82,56,36,60,110,50,44,69,76,107,81,43,38,40,30,57,51,64,70,75,117,139,126,101,104,98,109,70,57,27,35,5,10,16,47,98,68,47,27,12,4,2,6,3,6,60,49,27,26,51,47,51,25,67,99,61,56,20,21,16,47,31,13,14,26,55,72,33,76,87,32,104,87,61,65,93,105,53,0
EP300,0,10,1,0,2,7,1,8,3,1,1,2,0,0,1,5,6,5,8,7,4,0,8,1,0,0,5,0,0,0,0,2,4,4,7,6,9,4,0,0,4,6,17,8,5,5,2,5,3,0,0,2,1,2,3,1,0,1,0,0,0,0,1,0,0,1,2,2,1,1,11,8,0,2,1,1,0,0,3,18,0,2,1,0,0,2,0,0,0,0,0,2,7,2,1,0,0,0,6,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,3,7,1,1,0,3,1,7,4,3,5,5,5,17,1,7,4,1,2,4,0,6,1,2,9,20,2,0,1,0,0,0,3,0,0,1,3,7,1,2,0,0,0,0,0,0,3,9,5,3,6,7,5,6,0,6,5,0,0,3,7,17,7,0,0,3,0,2,2,2,5,7,7,23,11,12,6,5,8,7,5,0,5,0,0,0,1,12,11,4,0,0,0,0,0,0,0,3,8,2,2,1,0,2,0,2,9,2,2,0,0,0,4,2,1,0,0,2,2,0,1,4,0,6,2,1,0,8,4,2,0
H2AK5ac,0,95,7,2,19,83,0,85,20,13,12,28,25,8,12,74,148,96,72,85,61,0,97,16,1,14,48,0,0,0,0,16,62,22,30,35,108,38,0,0,11,67,168,47,57,40,11,50,10,0,0,9,1,10,13,2,0,19,3,0,0,0,18,0,0,4,10,29,9,6,64,127,1,6,18,0,0,0,31,199,5,24,1,0,8,7,0,0,0,0,3,14,51,18,13,0,0,0,25,4,40,65,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,93,118,12,40,47,44,0,3,31,79,44,37,44,59,59,103,37,92,31,11,45,52,12,66,30,6,78,189,7,1,35,0,0,5,1,0,0,3,43,87,22,0,0,0,0,0,0,0,11,67,117,40,95,59,49,40,9,43,41,5,9,51,51,190,57,1,1,8,0,10,27,14,33,47,149,290,210,182,90,123,107,87,58,0,30,0,1,2,40,180,90,26,0,0,0,0,0,0,0,38,39,10,2,5,2,23,0,50,146,19,23,0,0,0,10,13,3,0,13,25,17,4,23,40,0,73,21,20,16,81,50,21,0
H2AK9ac,2,45,14,15,12,16,4,20,14,8,14,25,34,11,9,54,28,7,6,13,18,2,4,10,3,4,4,0,0,0,1,2,4,2,2,3,12,4,1,2,4,2,9,1,3,2,1,6,4,1,1,1,5,2,0,1,0,2,1,1,2,2,5,1,0,7,5,4,4,7,17,21,5,8,23,5,2,6,4,28,5,8,8,4,8,7,3,4,2,3,6,4,24,18,6,3,1,5,11,15,28,29,21,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,23,33,9,22,46,25,12,8,14,30,9,10,10,13,18,33,33,18,15,14,27,33,4,17,15,7,8,33,14,5,17,0,2,3,2,3,3,6,17,26,5,2,3,1,1,0,1,2,10,16,21,20,22,12,14,22,11,24,24,13,8,10,16,37,8,4,5,6,8,15,12,16,9,19,44,66,26,23,18,9,7,11,12,6,1,0,1,4,8,16,7,6,4,1,2,0,0,1,3,16,20,9,3,17,8,12,9,14,23,27,24,2,2,1,1,4,2,2,5,25,11,13,33,44,3,42,25,14,32,88,44,8,0
H2AY,3,3,14,6,11,17,0,28,3,0,6,11,7,1,16,3,58,60,54,5,2,3,44,2,1,15,29,0,0,0,2,9,24,2,3,13,20,1,7,4,24,22,26,72,45,36,3,16,12,0,0,13,0,8,4,0,2,15,3,0,1,0,0,0,0,0,4,14,5,3,46,51,3,0,0,0,0,0,20,0,2,5,1,0,0,1,0,0,0,0,0,8,41,2,10,1,0,3,39,11,39,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,20,11,14,3,2,4,5,27,27,43,1,3,8,18,2,16,42,2,7,1,1,3,12,6,31,64,6,10,4,2,0,4,9,0,3,4,7,4,7,1,0,0,0,0,0,2,6,40,19,4,11,48,6,7,1,11,7,14,0,38,23,14,19,9,3,13,1,22,9,15,50,17,36,72,59,25,29,69,82,22,13,2,25,1,1,0,5,61,36,44,1,0,0,0,0,0,0,2,3,7,2,3,13,7,3,12,37,1,8,2,0,0,19,6,0,0,6,14,10,3,12,8,27,35,17,33,23,3,5,20,0
H2AZ,6,36,25,18,15,26,1,27,8,12,30,17,33,6,19,31,32,15,18,16,16,4,13,9,6,1,9,2,0,1,1,3,6,1,2,4,6,6,2,4,14,12,16,11,10,5,10,9,6,0,1,3,6,1,2,6,3,10,3,0,1,1,14,0,1,6,10,12,5,11,22,37,12,20,8,5,5,6,7,12,8,24,11,2,13,18,8,0,1,2,13,3,39,27,14,4,5,12,18,22,16,17,14,16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,34,26,19,12,40,27,13,9,10,29,9,17,14,18,16,17,35,9,35,8,29,19,12,22,16,6,12,54,17,21,23,2,0,3,3,2,3,13,13,22,9,5,2,1,3,1,3,3,17,28,24,25,19,18,18,14,9,16,36,25,16,20,19,27,22,14,8,13,12,35,10,14,17,12,38,60,29,49,29,27,21,15,10,5,7,0,2,1,16,49,22,9,5,2,0,0,2,0,1,15,11,13,13,22,26,24,8,13,31,30,19,9,6,7,26,14,4,6,10,25,17,21,20,38,9,71,30,24,38,62,47,18,0
