,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000
RNAseq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1087,3,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,61,255,162,77,35,429,2,2,335,33,11,6,7,6,3,153,60,14,7,1,87,5,5,3,53,4,4,1,4,29,22,28,4,4,10,4,4,7,10,8,2,5,4,4,5,9,19,209,289,1484,91,38,1183,67,5,18,5,10,7,16,86,938,768,150,17,5,12,1,6,35,51,37,644,83,423,365,250,13,414,970,780,276,57,287,520,163,5,12,3,285,401,145,272,463,760,450,20,10,12,10,332,20,708,151,31,8,8,9,10,6,102,40,69,485,48,24,74,1671,313,58,835,578,717,60,812,864,766,782,74,1817,2842,639,434
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,11,2,5,16,8,1,3,4,3,0,9,7,0,1,1,2,0,0,1,2,1,2,2,1,7,6,2,5,0,1,1,1,2,1,1,0,3,10,1,2,5,6,8,5,11,7,2,13,12,10,13,10,5,19,16,9,11,28,2,3,5,1,4,1,3,9,3,6,3,6,9,5,1,7,19,12,6,6,17,20,15,16,20,8,6,7,7,7,18,12,10,12,3,19,3,18,18,8,2,2,1,0,2,4,1,9,3,6,12,8,5,5,7,5,18,15,3,10,3,0,15,13,9,9,9,10,2,3
CHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,1,1,1,3,1,0,2,0,0,1,2,0,1,0,3,1,2,0,1,1,0,1,1,1,2,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,3,2,3,2,1,2,1,0,3,3,4,2,6,3,0,0
CTCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,5,2,0,4,2,4,1,3,0,2,1,4,2,3,1,1,0,0,0,0,0,0,0,0,0,5,3,0,1,2,0,0,1,0,0,0,1,6,0,1,0,2,4,5,5,3,2,0,14,4,2,4,3,2,3,3,6,5,8,2,1,1,2,1,1,3,3,4,4,3,3,7,4,4,8,6,0,5,10,13,10,6,2,5,1,6,5,9,6,11,4,6,6,3,9,2,7,2,10,5,5,1,1,2,1,2,4,1,6,8,6,7,3,7,8,7,9,5,6,5,6,8,11,9,4,6,11,0,3
DNase-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,41,112,34,7,135,343,272,0,0,0,0,0,0,0,0,0,0,0,0,66,4,3,2,22,13,7,18,92,15,12,54,29,24,36,18,12,8,59,29,12,3,2,4,7,3,6,4,4,5,3,6,15,35,12,17,7,0,4,1,4,2,4,8,24,22,8,6,14,31,48,38,60,32,25,76,57,56,54,40,31,54,74,63,62,136,41,19,6,7,8,3,19,76,23,52,52,47,89,45,41,63,60,81,66,54,79,116,110,90,77,47,57,71,68,85,67,77,62,69,17,73,29,83,96,60,35,21,18,10,7,14,13,61,24,62,96,64,41,35,73,69,107,113,72,87,36,33,124,104,120,54,152,124,50,32
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,3,1,0,3,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,1,3,2,2,5,0,5,3,4,4,5,5,8,4,5,1,20,5,1,0,0,0,0,0,4,1,1,5,2,4,3,0,4,4,4,4,4,4,12,15,16,6,3,4,4,4,6,8,10,2,7,1,12,0,14,23,5,0,1,0,0,0,0,0,0,1,3,13,4,0,1,7,4,8,14,0,3,1,0,15,8,10,4,20,3,0,0
H2AK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,57,0,0,23,9,0,6,1,3,2,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,7,0,0,0,0,0,0,0,0,2,2,0,0,0,22,13,4,26,14,0,40,48,72,68,47,31,100,80,100,57,189,21,6,0,0,0,0,6,28,0,11,47,8,50,8,4,20,28,35,47,31,69,75,226,155,97,53,41,60,24,71,57,34,21,96,4,125,2,114,244,30,11,6,0,0,0,0,0,13,1,39,147,71,1,20,67,28,101,77,29,36,2,8,208,117,157,18,175,63,6,15
H2AK9ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,25,0,0,3,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,5,5,2,6,1,0,0,0,0,0,11,5,0,1,0,0,1,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,1,0,0,0,3,4,0,0,0,2,6,7,2,3,0,3,0,4,4,1,2,0,3,3,10,13,4,1,1,0,1,1,1,7,3,6,9,16,21,2,7,16,12,5,23,5,15,2,22,6,7,5,7,36,10,16,18,17,10,14,1,6,6,8,15,14,10,11,5,3,0,3,1,10,12,22,35,9,15,16,28,10,37,41,22,42,11,15,44,28,44,12,69,57,23,6
H2AY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,20,8,6,1,5,0,1,22,6,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,15,18,0,3,0,19,18,37,29,25,3,18,19,19,3,36,0,0,0,0,0,0,0,14,9,12,7,18,10,10,9,8,15,1,17,8,13,28,83,81,72,42,31,3,22,13,8,3,3,54,9,70,10,76,103,21,0,2,0,0,0,0,0,1,6,58,30,34,4,18,4,34,51,24,2,34,4,1,68,10,33,18,26,6,0,11
H2AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,36,2,1,5,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,4,1,8,4,4,4,5,8,6,2,1,2,10,7,1,0,0,0,0,1,0,0,1,0,0,1,3,5,3,4,1,0,0,0,0,1,0,1,5,8,1,3,1,10,14,9,0,4,4,7,8,4,13,5,6,5,6,13,21,16,3,1,1,2,1,2,6,15,9,11,8,7,25,9,16,19,20,7,41,17,13,14,28,17,11,12,22,21,21,22,19,20,13,31,9,15,7,19,31,15,15,16,2,8,0,2,5,19,12,33,29,30,19,27,31,19,50,32,23,31,26,17,45,24,36,20,62,44,7,12
