,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000
RNAseq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,3,2,2,383,67,798,429,371,52,654,730,134,644,812,183,15,680,400,555,8,370,704,464,126,44,8,36,240,36,668,264,463,712,50,30,45,262,105,10,10,721,166,20,18,6,283,518,155,280,562,66,1127,1012,1098,276,1017,782,108,951,654,439,601,360,28,475,152,695,59,93,129,72,12,25,11,3,416,529,1087,259,4092,963,82,265,104,584,1690,808,1332,1164,1680,1083,781,1082,5,53,465,679,269,405,2153,1763,752,582,545,603,947,990,233,19,79,316,179,396,77,154,685,248,488,158,388,87,569,98,55,7,10,5,7,16,21,23,3,5,261,438,1600,1212,466,0
CEBPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,10,6,10,1,4,4,7,8,3,1,1,14,4,6,0,4,13,8,4,3,7,5,6,1,7,4,11,14,5,1,4,6,4,0,2,14,15,4,20,3,5,8,6,11,8,13,10,6,12,14,22,3,6,6,14,8,9,3,4,5,14,3,2,3,4,3,2,2,0,1,4,17,19,13,9,14,4,6,11,11,11,8,17,2,14,4,11,11,3,7,11,19,8,15,7,11,6,5,7,3,13,17,4,0,1,10,4,11,9,3,18,10,13,6,5,6,5,8,2,1,1,0,0,0,0,0,0,2,4,4,7,8,3,0
CHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,1,1,2,2,0,0,2,3,2,0,1,1,0,0,0,1,1,2,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,3,0,1,1,2,4,3,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2,5,0,2,1,6,1,2,1,1,5,1,4,1,3,0,4,2,0,0,1,0,3,2,1,1,1,1,0,0,4,1,1,1,0,0,0,2,2,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,5,1,2,0
CTCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,4,6,6,4,6,9,10,13,12,4,0,10,6,5,0,6,5,15,11,13,18,5,12,7,14,5,16,7,6,8,5,6,4,0,2,8,8,1,2,2,9,10,2,3,4,5,10,7,10,4,13,9,7,10,13,4,4,10,4,6,9,6,4,3,1,2,1,0,0,1,6,11,8,4,12,9,4,10,14,13,19,12,12,2,9,11,15,15,2,6,4,6,7,5,4,13,6,8,5,8,11,8,8,3,7,13,3,4,11,7,10,8,5,10,6,6,8,3,4,0,1,0,0,2,0,0,0,0,4,10,13,12,14,0
DNase-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,47,6,11,45,10,60,112,57,27,65,61,51,102,69,23,10,97,55,75,0,37,81,65,31,33,45,39,81,26,63,42,91,89,44,23,36,91,31,15,13,64,83,25,71,70,62,84,48,56,48,84,62,40,96,62,177,69,63,64,103,43,69,44,23,60,137,34,22,36,34,32,11,10,3,22,57,96,89,96,179,144,33,45,116,116,133,76,146,69,88,45,93,91,42,39,57,89,68,51,61,109,61,70,57,52,116,101,76,23,33,84,63,74,87,41,103,88,92,110,70,60,87,64,46,13,15,10,19,11,18,19,16,11,51,76,112,94,64,0
EP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,8,0,2,3,2,6,1,0,1,5,3,2,0,1,4,4,0,0,4,1,2,0,0,4,10,10,3,0,0,1,2,0,1,3,10,2,14,10,4,3,3,1,2,3,5,0,7,3,14,2,3,3,5,6,5,0,0,8,17,1,0,1,2,2,0,0,0,0,3,9,9,8,8,24,3,1,7,11,13,3,13,1,2,2,9,7,2,2,5,6,3,2,5,10,4,0,1,0,11,7,2,0,3,7,7,9,7,1,9,20,6,6,1,2,5,1,3,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0
H2AK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,34,76,78,1,20,22,23,86,40,19,11,75,33,37,0,13,45,62,3,1,4,5,39,3,59,29,118,88,41,0,0,16,10,0,2,42,85,24,51,70,23,87,32,33,34,28,40,17,68,47,204,29,54,56,96,38,85,22,0,58,194,0,0,3,25,20,0,0,0,0,27,125,75,110,65,178,4,7,141,146,131,41,145,15,45,27,154,63,19,14,57,92,80,31,60,104,38,25,3,8,144,99,18,1,10,56,56,97,70,2,96,132,77,110,41,20,73,19,23,0,0,0,0,1,0,0,0,0,10,46,65,47,27,0
H2AK9ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,13,1,12,32,21,3,25,24,15,50,56,6,5,47,17,25,0,6,23,28,5,2,3,10,33,4,39,17,37,27,4,5,7,24,7,7,1,25,20,4,3,19,20,19,2,1,12,7,22,16,33,4,54,28,18,24,31,7,25,12,10,11,24,3,4,8,7,2,2,2,1,3,13,20,13,5,32,52,10,14,44,50,57,44,53,18,24,24,41,44,11,1,8,17,13,14,38,58,28,31,11,16,41,30,27,5,4,27,27,30,30,4,28,27,5,73,44,20,41,24,15,9,5,1,4,2,7,8,1,6,19,46,78,36,28,0
H2AY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,17,6,3,0,33,19,13,5,6,4,1,13,0,4,5,31,10,1,21,9,3,4,5,4,7,35,34,2,1,9,1,0,3,12,18,45,95,102,35,0,0,0,1,4,6,6,23,10,26,7,10,9,10,0,0,3,4,37,92,12,0,0,0,0,0,1,0,0,5,76,28,12,11,31,18,14,55,47,4,11,8,21,19,14,61,35,66,24,1,0,15,15,0,2,5,8,3,10,27,0,14,4,1,27,28,52,33,36,32,40,9,57,4,27,4,0,12,1,0,0,0,2,0,0,0,1,4,12,13,4,9,0
H2AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,6,10,18,26,8,21,19,49,35,47,16,4,27,13,34,0,12,14,32,13,5,8,24,28,13,47,8,32,33,13,11,13,30,11,3,6,19,23,10,16,32,35,7,3,1,13,18,21,16,24,9,40,28,23,28,30,13,16,12,13,14,26,10,2,3,7,11,3,1,0,6,18,36,9,12,25,45,16,25,61,51,43,35,38,25,32,31,51,50,20,9,7,1,35,18,15,43,26,47,14,28,29,17,51,10,14,33,30,43,44,26,30,34,14,60,28,41,23,13,16,4,9,4,3,6,6,6,8,2,21,42,63,37,28,0
H2BK120ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,29,47,1,3,12,12,41,14,5,7,31,10,18,0,0,17,33,1,0,6,1,14,2,29,16,66,32,40,0,0,9,14,0,1,18,58,14,46,32,24,65,18,19,19,15,13,7,40,28,114,13,24,27,51,21,35,9,0,38,119,0,0,5,20,7,0,0,0,0,10,61,38,71,38,119,2,0,86,56,60,17,57,7,15,18,65,25,15,12,20,56,40,17,31,41,22,11,1,2,85,42,9,0,5,32,27,57,23,2,51,87,30,49,14,8,22,7,15,0,0,0,0,0,0,0,0,0,4,22,33,14,11,0
H2BK12ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,26,34,63,1,1,13,8,41,11,5,5,24,14,25,0,2,18,42,1,0,4,0,16,4,21,21,69,40,46,0,0,5,9,0,1,19,64,17,48,39,18,60,30,27,25,19,15,6,45,36,143,13,29,30,49,23,43,10,0,42,154,0,0,3,21,9,0,0,0,0,17,68,45,81,44,135,2,1,88,68,60,19,54,4,15,13,71,25,19,10,20,57,52,17,30,44,14,3,1,2,74,46,5,0,6,27,22,52,18,5,58,97,52,47,14,8,28,12,21,0,0,0,0,0,0,0,0,0,3,18,37,10,10,0
H2BK15ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,21,25,48,0,0,8,5,36,7,3,4,17,10,11,0,1,19,39,0,1,3,1,8,0,8,11,79,37,42,0,0,7,5,0,0,12,50,15,39,37,9,49,20,19,19,10,12,3,41,26,155,11,14,29,45,24,40,7,0,32,140,0,0,1,16,2,0,0,0,0,8,60,47,76,35,112,1,0,59,58,45,17,54,7,9,18,63,16,21,9,18,47,40,16,25,29,13,4,2,2,57,36,4,0,4,29,15,48,23,2,44,78,36,28,8,7,17,6,9,0,0,0,0,0,0,0,0,0,2,14,29,8,12,0
H2BK20ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,23,41,1,0,9,8,33,7,0,5,17,12,7,0,1,8,36,0,0,3,0,11,2,19,12,66,31,35,0,0,6,9,0,1,16,46,16,40,35,16,56,20,22,14,12,12,2,40,25,124,8,18,13,33,17,33,6,0,35,127,0,0,2,21,3,0,0,0,0,4,55,33,58,39,110,2,1,72,51,43,11,48,5,10,11,60,20,16,8,14,48,32,11,23,30,12,2,0,0,52,24,3,0,7,23,17,50,14,1,40,86,30,27,7,9,17,6,9,0,0,0,0,0,0,0,0,0,1,16,26,6,5,0
H2BK5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,34,33,27,0,12,22,6,38,26,9,5,62,14,19,0,6,27,28,2,1,10,3,15,4,24,13,47,31,24,3,1,15,4,0,4,23,18,8,14,21,24,56,14,17,28,10,10,11,45,24,90,21,17,33,52,28,49,7,1,29,68,1,0,2,5,12,1,0,0,0,14,35,33,51,64,79,9,11,32,35,71,16,66,19,29,22,44,27,10,7,15,63,29,23,39,46,21,16,4,3,60,50,14,10,17,22,23,34,31,2,48,59,36,56,24,7,38,15,16,1,6,4,7,5,4,6,4,14,12,29,49,22,15,0
H3K14ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,25,32,28,0,13,16,3,37,21,4,5,39,13,21,0,3,27,31,0,0,1,2,16,1,31,18,66,46,14,0,0,9,5,0,1,27,35,16,19,21,13,59,24,27,27,13,20,11,44,26,99,19,16,29,50,27,34,11,0,20,98,0,0,2,19,4,0,0,0,0,17,39,54,87,40,107,1,4,41,43,62,22,66,17,27,23,57,30,1,5,29,68,40,27,38,46,27,15,2,6,51,43,10,0,6,20,10,31,20,0,39,55,42,49,20,6,21,10,6,0,0,0,0,0,0,0,0,0,8,11,32,21,18,0
