,0,250000,500000,750000,1000000,1250000,1500000,1750000,2000000,2250000,2500000,2750000,3000000,3250000,3500000,3750000,4000000,4250000,4500000,4750000,5000000,5250000,5500000,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,9750000,10000000,10250000,10500000,10750000,11000000,11250000,11500000,11750000,12000000,12250000,12500000,12750000,13000000,13250000,13500000,13750000,14000000,14250000,14500000,14750000,15000000,15250000,15500000,15750000,16000000,16250000,16500000,16750000,17000000,17250000,17500000,17750000,18000000,18250000,18500000,18750000,19000000,19250000,19500000,19750000,20000000,20250000,20500000,20750000,21000000,21250000,21500000,21750000,22000000,22250000,22500000,22750000,23000000,23250000,23500000,23750000,24000000,24250000,24500000,24750000,25000000,25250000,25500000,25750000,26000000,26250000,26500000,26750000,27000000,27250000,27500000,27750000,28000000,28250000,28500000,28750000,29000000,29250000,29500000,29750000,30000000,30250000,30500000,30750000,31000000,31250000,31500000,31750000,32000000,32250000,32500000,32750000,33000000,33250000,33500000,33750000,34000000,34250000,34500000,34750000,35000000,35250000,35500000,35750000,36000000,36250000,36500000,36750000,37000000,37250000,37500000,37750000,38000000,38250000,38500000,38750000,39000000,39250000,39500000,39750000,40000000,40250000,40500000,40750000,41000000,41250000,41500000,41750000,42000000,42250000,42500000,42750000,43000000,43250000,43500000,43750000,44000000,44250000,44500000,44750000,45000000,45250000,45500000,45750000,46000000,46250000,46500000,46750000,47000000,47250000,47500000,47750000,48000000,48250000,48500000,48750000,49000000,49250000,49500000,49750000,50000000,50250000,50500000,50750000,51000000,51250000,51500000,51750000,52000000,52250000,52500000,52750000,53000000,53250000,53500000,53750000,54000000,54250000,54500000,54750000,55000000,55250000,55500000,55750000,56000000,56250000,56500000,56750000,57000000,57250000,57500000,57750000,58000000,58250000,58500000,58750000,59000000,59250000,59500000,59750000,60000000,60250000,60500000,60750000,61000000,61250000,61500000,61750000,62000000,62250000,62500000,62750000,63000000,63250000,63500000,63750000,64000000,64250000,64500000,64750000,65000000,65250000,65500000,65750000,66000000,66250000,66500000,66750000,67000000,67250000,67500000,67750000,68000000,68250000,68500000,68750000,69000000,69250000,69500000,69750000,70000000,70250000,70500000,70750000,71000000,71250000,71500000,71750000,72000000,72250000,72500000,72750000,73000000,73250000,73500000,73750000,74000000,74250000,74500000,74750000,75000000,75250000,75500000,75750000,76000000,76250000,76500000,76750000,77000000,77250000,77500000,77750000,78000000,78250000,78500000,78750000,79000000,79250000,79500000,79750000,80000000,80250000,80500000,80750000,81000000,81250000,81500000,81750000,82000000,82250000,82500000,82750000,83000000,83250000,83500000,83750000,84000000,84250000,84500000,84750000,85000000,85250000,85500000,85750000,86000000,86250000,86500000,86750000,87000000,87250000,87500000,87750000,88000000,88250000,88500000,88750000,89000000,89250000,89500000,89750000,90000000,90250000,90500000,90750000,91000000,91250000,91500000,91750000,92000000,92250000,92500000,92750000,93000000,93250000,93500000,93750000,94000000,94250000,94500000,94750000,95000000,95250000,95500000,95750000,96000000,96250000,96500000,96750000,97000000,97250000,97500000,97750000,98000000,98250000,98500000,98750000,99000000,99250000,99500000,99750000,100000000,100250000,100500000,100750000,101000000,101250000,101500000,101750000,102000000,102250000,102500000,102750000,103000000,103250000,103500000,103750000,104000000,104250000,104500000,104750000,105000000,105250000,105500000,105750000,106000000,106250000,106500000,106750000,107000000,107250000,107500000,107750000,108000000,108250000,108500000,108750000,109000000,109250000,109500000,109750000,110000000,110250000,110500000,110750000,111000000,111250000,111500000,111750000,112000000,112250000,112500000,112750000,113000000,113250000,113500000,113750000,114000000,114250000,114500000,114750000,115000000,115250000,115500000,115750000,116000000,116250000,116500000,116750000,117000000,117250000,117500000,117750000,118000000,118250000,118500000,118750000,119000000,119250000,119500000,119750000,120000000,120250000,120500000,120750000,121000000,121250000,121500000,121750000,122000000,122250000,122500000,122750000,123000000,123250000,123500000,123750000,124000000,124250000,124500000,124750000,125000000,125250000,125500000,125750000,126000000,126250000,126500000,126750000,127000000,127250000,127500000,127750000,128000000,128250000,128500000,128750000,129000000,129250000,129500000,129750000,130000000,130250000,130500000,130750000,131000000,131250000,131500000,131750000,132000000,132250000,132500000,132750000,133000000,133250000,133500000,133750000,134000000,134250000,134500000,134750000,135000000,135250000,135500000,135750000,136000000,136250000,136500000,136750000,137000000,137250000,137500000,137750000,138000000,138250000,138500000,138750000,139000000,139250000,139500000,139750000,140000000,140250000,140500000,140750000,141000000
RNAseq,102,9,706,15,2,2,4,1,498,27,310,718,29,110,66,85,333,107,376,145,158,227,281,453,190,281,100,134,91,65,2,94,5,28,16,21,10,51,6,5,4,5,6,7,14,3,2,2,3,5,4,137,632,74,3,47,71,23,230,214,289,723,77,30,19,224,420,184,98,224,21,7,3,16,36,28,813,728,46,11,7,145,136,229,51,161,316,354,112,16,24,5,1,4,29,16,3,4,11,3,8,11,32,5,2,8,5,473,353,24,24,6,6,9,7,12,24,18,5,41,1,4,87,6,1,38,3,5,5,629,495,229,1152,952,778,867,355,705,381,36,1626,200,4098,621,1046,182,245,15,278,448,474,1272,327,199,37,3,13,4,8,2,6,3,3,10,1,0,1,11,3,16,9,2,3,18,5,19,2,5,1,6,1,6,2,3,5,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,90,9,20,1,32,1,2,0,93,16,7,59,5,8,25,21,8,8,24,79,45,70,310,103,259,46,838,156,8,27,12,24,444,238,290,12,8,3,364,18,7,54,3,16,16,244,18,4,4,59,41,253,19,19,398,54,243,223,401,25,32,28,9,200,198,3,7,1,2,4,2,113,120,132,2,8,64,38,14,44,624,710,16,10,5,4,14,61,91,872,653,6,6,107,23,41,468,72,28,512,18,563,255,43,13,0,6,8,2,7,52,487,50,54,567,716,374,156,75,291,598,14,204,106,17,125,273,120,58,315,240,339,320,380,208,123,402,91,854,269,423,323,809,10,18,201,234,806,192,5,6,207,483,4,6,8,12,8,46,4,3,1,424,4,5,380,9,119,310,28,11,4,5,292,152,492,14,9,6,21,88,598,633,68,36,194,1237,171,121,1473,430,622,573,274,407,303,196,134,353,951,349,148,310,319,222,61,2022,22,57,19,336,414,145,17,47,12,5,1,86,4,4,1,22,17,5,8,7,489,550,1052,622,1071,71,503,181,433,113,930,711,88,141,80,18,667,101,742,827,1133,395,292,10,54,23,201,273,373,1896,1095,822,1874,2898,1168,1278,15,481,939,890,19,289,555,364,79,950,380,129,780,176,134,883,1747,372,372,418,239,213,1222,16,6,184,251,947,582,901,931,1413,1916,380,583,47,6
CEBPB,0,2,10,5,2,0,1,3,7,3,11,9,3,6,6,12,13,15,11,8,4,4,10,9,7,6,4,8,5,4,1,1,0,1,1,4,1,0,4,2,3,3,3,2,3,4,2,1,0,0,7,14,6,1,4,6,9,10,4,2,3,6,9,5,15,14,13,13,3,4,3,3,6,17,5,4,8,7,1,4,1,6,10,12,6,4,16,16,21,2,5,3,10,1,4,1,2,3,2,2,0,2,3,3,3,6,5,2,16,0,4,2,3,1,2,3,1,0,2,3,1,0,1,1,3,1,1,0,0,7,3,3,21,14,9,12,8,8,6,7,4,9,18,15,11,10,5,1,6,7,4,17,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,4,10,6,8,15,15,18,2,7,1,3,9,4,6,15,2,3,8,4,3,2,1,3,4,4,4,0,3,6,7,11,12,3,9,5,10,9,7,8,7,7,15,8,4,4,8,1,7,8,5,21,13,5,8,2,3,5,2,2,5,11,8,3,3,1,2,2,4,4,8,18,10,8,6,4,9,4,5,10,14,9,11,6,2,1,1,3,2,5,28,22,11,15,8,13,11,4,3,5,6,3,8,2,5,20,19,10,5,9,7,3,15,1,0,4,5,8,14,14,12,14,8,10,6,6,6,15,10,2,1,6,6,1,1,0,1,0,1,1,1,2,7,3,1,14,18,10,2,2,1,1,5,16,5,8,11,13,6,10,4,4,14,8,7,24,22,8,21,19,12,7,9,21,19,5,8,14,11,4,18,3,7,13,17,17,24,14,18,16,17,11,12,4,5,6,2,2,2,0,2,0,2,0,0,4,1,15,10,11,8,21,17,14,9,9,2,6,6,3,5,9,8,17,13,13,11,4,15,6,0,6,1,7,17,8,16,16,9,9,8,12,13,12,15,9,15,0,6,15,3,3,13,17,8,6,2,7,7,6,5,6,4,7,10,10,1,0,3,1,5,2,9,6,6,5,3,5,0,0
CHD1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,2,0,1,1,1,2,3,4,0,1,3,1,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,2,2,1,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,1,0,0,2,1,0,2,2,1,0,0,0,1,2,2,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,2,2,0,0,0,0,1,0,2,2,2,5,1,1,0,0,1,1,1,0,3,0,3,2,1,2,1,1,5,2,5,2,2,0,0,3,0,1,1,1,0,1,2,0,5,1,2,0,1,2,3,1,0,0,1,1,2,0,7,3,1,1,4,1,0,0
CTCF,0,2,4,4,5,1,1,3,10,2,2,7,1,2,2,1,9,7,9,7,1,7,3,4,7,2,7,5,4,5,3,1,0,0,0,1,0,1,1,5,3,3,1,0,0,0,0,0,0,2,9,5,4,3,1,0,1,7,3,3,5,6,7,3,5,2,1,3,5,2,2,2,7,7,0,4,8,6,1,3,1,4,7,2,6,9,3,7,9,4,2,1,2,2,0,0,1,0,0,0,0,0,2,1,0,1,4,4,3,2,3,1,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1,1,7,9,1,8,9,10,8,8,13,16,8,7,9,19,14,13,4,5,6,0,9,5,6,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,8,3,5,6,4,5,7,4,6,1,2,2,2,6,3,6,3,5,3,3,0,1,0,0,2,5,6,5,0,2,3,5,6,6,4,5,5,7,6,5,3,3,2,2,6,1,1,3,2,0,3,1,2,3,1,0,4,0,2,3,5,4,7,5,3,5,1,0,2,5,3,3,4,2,4,4,0,8,5,4,7,7,1,6,9,0,1,7,0,1,9,5,5,6,8,9,5,6,6,5,4,4,2,7,0,6,1,10,5,2,2,7,4,7,2,1,7,4,10,10,8,6,9,10,3,1,5,7,6,7,0,2,8,6,2,0,0,1,0,0,0,0,0,2,1,2,5,2,6,5,3,0,0,1,1,6,9,2,0,0,5,3,7,7,9,4,12,6,5,3,0,2,3,4,4,6,6,5,11,2,8,10,4,9,13,11,4,3,1,5,2,8,2,7,2,2,2,2,1,1,0,1,0,0,2,1,3,2,6,5,8,10,8,13,7,10,11,1,2,5,7,2,1,6,11,5,14,4,8,3,0,4,5,10,6,8,9,15,16,11,10,6,6,10,9,13,6,12,2,3,12,11,6,8,9,5,8,6,9,8,14,11,6,6,4,11,12,3,1,7,3,5,15,8,20,16,20,9,4,0,1
DNase-seq,18,10,67,43,23,12,3,12,65,26,44,56,17,31,29,68,80,60,64,72,29,40,75,53,45,41,40,52,38,31,10,16,8,12,10,17,4,2,3,2,13,5,2,2,3,5,5,1,3,7,26,63,25,30,25,32,49,79,17,15,37,51,29,22,117,93,117,65,32,25,22,12,28,89,62,54,58,48,13,20,14,40,63,38,25,34,91,91,78,15,14,13,12,5,3,12,6,1,3,2,3,4,17,9,19,22,5,39,67,21,21,8,10,3,6,4,4,4,4,6,2,4,0,3,9,4,3,8,1,54,53,23,90,86,55,75,64,54,68,29,60,49,126,90,108,63,53,39,40,54,45,109,110,45,24,0,0,0,0,0,2,0,3,3,0,0,0,3,1,3,0,0,1,3,1,1,5,3,0,11,0,6,2,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,6,106,0,17,0,2,0,89,8,18,24,1,3,22,7,0,5,7,34,18,50,58,54,57,98,63,111,10,24,9,14,58,35,45,83,15,19,27,7,5,4,6,7,18,47,24,3,10,31,53,79,51,26,37,41,66,64,40,47,63,58,70,55,62,17,20,22,38,52,39,81,91,40,45,43,11,34,13,25,31,47,63,10,29,7,11,25,19,44,34,60,88,67,64,29,60,30,35,92,100,78,75,66,22,21,28,22,12,49,106,92,62,112,74,53,81,35,82,38,55,24,59,19,37,109,106,56,53,59,57,60,64,17,9,34,56,67,73,106,94,110,104,70,13,66,53,61,30,2,12,44,36,2,4,2,2,3,3,2,4,1,14,8,8,101,81,61,30,14,7,5,16,71,38,58,65,55,46,49,43,35,68,65,29,89,127,47,75,126,80,55,54,111,90,51,53,63,48,50,121,65,84,94,80,59,127,67,86,58,117,90,62,27,26,14,4,5,6,5,1,6,5,7,6,18,14,73,64,77,49,106,109,110,88,79,12,50,49,50,37,39,59,135,77,99,70,66,68,62,19,52,46,54,111,70,128,134,100,85,79,66,76,105,129,82,105,16,55,114,66,57,77,83,73,61,43,44,66,73,67,74,79,73,106,123,30,25,45,40,85,69,85,103,94,99,72,84,29,5
EP300,0,0,6,2,0,0,0,0,1,2,4,5,0,0,3,3,4,4,2,4,0,3,11,3,0,2,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,3,0,0,1,4,0,0,4,2,0,1,18,15,11,14,0,0,1,0,1,2,3,1,5,1,0,2,0,3,2,4,1,0,5,4,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,7,4,3,4,0,0,1,2,3,17,9,14,1,1,0,0,2,1,13,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,3,3,1,3,11,3,15,0,2,0,1,3,2,7,11,0,0,0,0,0,0,0,0,0,1,2,0,0,1,12,5,5,0,2,1,6,0,0,4,2,6,5,4,5,1,0,1,2,1,0,14,11,1,1,3,1,4,0,0,2,4,5,0,0,0,0,1,1,0,4,10,8,5,8,0,4,0,5,6,14,7,9,3,0,1,0,1,0,4,21,10,4,11,9,7,4,2,4,0,0,1,4,0,0,15,10,11,4,5,2,5,6,0,0,0,5,4,4,7,12,15,7,9,2,3,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,5,0,0,0,0,1,8,2,10,7,5,4,6,3,0,5,1,0,18,12,8,10,14,6,1,6,7,15,0,2,5,3,7,15,1,3,8,4,7,13,8,12,7,11,5,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,6,5,8,0,17,8,9,3,11,0,6,3,0,0,1,3,16,4,9,3,6,6,1,1,2,0,3,12,3,13,7,4,5,6,6,9,12,23,13,8,0,3,10,3,6,4,8,4,1,0,3,5,4,3,4,0,6,16,11,2,0,0,0,4,2,8,5,3,2,4,1,0,0
H2AK5ac,3,1,75,25,0,0,0,0,1,6,22,38,0,3,11,64,91,34,22,32,0,29,93,12,2,12,29,11,6,40,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,44,6,7,0,2,2,8,2,0,12,41,6,17,195,127,97,79,10,0,4,0,1,42,19,9,58,5,0,3,3,22,32,16,10,5,78,32,83,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,9,18,0,11,112,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,0,98,83,20,31,18,15,22,10,32,33,113,115,142,16,21,0,6,23,12,127,97,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,4,0,0,0,2,0,0,9,0,0,0,0,0,0,3,11,2,15,13,5,48,93,25,153,0,8,0,0,26,3,18,122,0,2,8,0,0,0,0,0,6,15,0,0,0,5,62,13,25,1,6,0,41,13,7,29,52,75,43,22,19,2,4,0,7,8,10,97,80,9,35,12,1,17,0,1,3,18,41,0,0,0,0,0,1,0,7,71,64,27,56,5,36,6,26,95,94,55,81,51,1,2,0,1,0,43,224,104,45,98,95,50,45,14,37,6,9,0,22,0,11,160,80,79,14,36,8,24,47,0,0,7,26,21,79,125,120,155,133,91,1,4,8,34,8,0,1,10,10,0,0,0,0,0,0,0,0,0,7,0,0,74,77,28,1,0,0,0,0,35,14,36,49,34,44,40,27,1,30,14,5,132,108,24,93,154,50,22,19,116,132,13,15,37,26,47,173,33,65,93,64,45,159,65,119,99,108,18,27,11,1,0,0,0,0,0,0,0,0,0,0,14,0,64,36,66,28,119,92,144,31,134,1,55,41,1,1,8,15,116,68,74,35,43,83,6,0,19,2,35,129,33,100,122,65,47,41,63,82,140,243,92,87,1,21,88,51,34,32,99,68,14,0,9,37,35,20,37,32,85,162,103,6,0,0,2,54,30,90,43,46,44,35,28,0,0
H2AK9ac,1,1,13,5,1,6,1,1,7,1,5,7,2,0,5,0,5,8,8,11,1,5,18,0,3,6,10,6,6,5,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,6,0,6,3,2,1,6,1,1,0,6,4,1,16,9,2,8,5,1,5,0,1,7,5,10,16,11,2,4,2,3,10,1,3,3,6,12,7,0,0,2,1,0,1,0,0,1,0,0,1,0,3,0,0,1,0,6,10,3,3,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,4,7,1,22,24,9,8,13,9,28,6,13,7,38,29,15,11,10,3,6,17,8,29,29,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,10,1,4,2,0,0,1,0,0,0,0,2,3,12,8,8,7,9,9,12,2,2,1,0,5,1,6,6,1,0,3,0,1,0,0,0,2,7,2,0,2,1,0,7,3,3,4,2,6,11,9,10,8,8,3,3,5,0,1,0,1,0,3,7,8,5,3,6,2,2,2,5,3,5,8,2,2,0,0,3,2,6,5,8,4,5,4,2,16,5,1,23,5,12,14,7,3,2,1,2,1,6,35,5,8,14,12,8,21,11,33,11,16,5,6,4,2,18,15,14,11,8,9,15,8,9,3,5,11,10,38,34,17,19,8,9,3,2,2,13,2,0,1,7,0,0,0,0,0,0,1,0,0,1,1,0,0,12,10,7,2,0,1,1,1,10,3,9,13,6,7,8,3,1,7,8,2,6,6,12,7,8,11,9,10,6,15,7,4,7,2,15,34,12,32,43,7,3,16,1,7,3,5,8,4,1,2,2,0,1,0,0,1,2,0,1,1,2,3,17,8,36,5,28,28,29,8,12,0,16,1,15,6,3,8,44,9,38,10,14,5,6,6,15,10,15,27,17,61,74,44,54,43,41,60,56,78,16,23,4,12,17,24,15,20,11,14,10,8,10,26,34,28,34,54,44,52,35,3,5,12,8,37,49,76,48,54,73,31,30,8,0
H2AY,0,0,7,4,0,0,0,3,0,4,2,2,0,0,8,1,0,10,7,19,2,5,3,7,4,15,10,0,1,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,10,4,14,28,80,1,0,2,11,4,3,82,58,0,20,4,0,6,0,5,40,34,27,5,4,0,2,1,19,3,1,3,1,27,12,42,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,16,10,4,10,3,14,5,0,10,12,19,12,1,6,11,11,4,5,0,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,4,1,29,58,0,53,1,6,1,2,3,1,14,63,1,3,4,0,0,0,0,0,3,7,0,0,1,0,26,21,9,4,3,5,1,1,4,17,30,26,44,16,23,6,13,4,16,35,53,80,48,30,25,36,1,24,0,0,1,9,26,0,0,0,0,0,0,2,5,47,67,46,40,12,21,9,16,5,85,34,14,7,5,14,4,1,1,32,69,21,37,18,16,5,11,14,19,5,1,5,11,0,18,2,2,24,23,31,39,5,5,0,0,1,19,14,1,8,15,52,15,63,9,6,0,0,2,0,0,3,7,0,0,1,0,0,0,1,0,0,2,0,0,14,64,11,1,0,0,0,2,4,23,16,48,49,56,33,28,1,5,12,30,32,8,12,13,11,27,17,5,12,26,0,2,2,1,20,63,24,32,5,62,86,72,90,50,33,44,2,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,14,3,37,32,23,37,30,1,2,0,15,0,10,98,20,22,26,0,5,1,3,18,5,23,8,7,10,0,14,17,0,0,1,9,53,21,24,5,33,34,7,36,22,2,37,24,22,5,7,14,5,39,2,4,38,77,16,13,6,8,7,16,16,19,31,21,14,3,0,1,1
H2AZ,5,10,21,18,10,0,1,0,10,2,8,5,4,2,8,8,2,7,7,17,2,16,12,5,11,6,18,5,2,3,0,3,1,0,1,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,4,7,1,3,3,3,3,9,3,6,4,12,8,4,34,17,6,16,9,1,7,5,2,18,1,7,27,13,5,5,3,5,13,3,7,8,14,24,12,1,1,2,2,0,1,5,0,0,3,0,0,0,4,0,4,2,1,15,11,10,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,6,15,4,28,22,13,9,15,17,27,13,21,5,25,40,19,15,13,16,15,10,14,14,22,22,11,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,4,0,2,0,11,2,0,4,0,0,1,0,2,1,2,5,8,10,12,10,10,24,5,25,5,4,0,2,10,9,8,13,1,1,4,0,1,0,0,4,9,18,2,1,1,3,14,12,10,13,3,4,3,5,19,21,27,15,15,8,7,3,3,1,6,2,2,8,13,6,4,7,0,3,4,8,6,13,26,4,6,1,2,5,4,9,9,12,20,6,13,3,29,12,21,15,19,16,17,24,15,6,7,5,3,13,44,12,19,23,22,11,13,24,55,16,21,18,19,4,16,15,8,19,28,14,17,24,15,10,8,11,21,28,22,28,34,20,16,26,0,11,2,13,3,1,3,10,6,1,0,1,1,0,0,0,1,0,6,0,1,14,26,6,8,3,1,0,4,7,5,17,26,14,8,10,14,6,13,16,9,4,5,4,8,6,12,7,14,9,9,11,4,10,13,33,49,11,24,26,14,6,8,5,5,7,6,7,9,6,1,4,0,0,0,0,1,1,1,2,1,5,3,18,14,30,9,24,34,13,25,21,1,13,3,22,4,6,26,27,7,31,11,18,6,12,14,22,27,18,16,15,27,67,38,38,35,25,34,83,76,30,20,3,24,32,28,23,21,13,5,17,24,12,26,34,34,35,38,24,38,24,17,11,15,16,27,43,52,50,55,66,42,17,17,2
