gene_id,gene_name,start,end,seqname
ENSG00000186092.7,OR4F5,65419,71585,chr1
ENSG00000284733.2,OR4F29,450740,451678,chr1
ENSG00000284662.2,OR4F16,685716,686654,chr1
ENSG00000187634.13,SAMD11,923923,944575,chr1
ENSG00000188976.11,NOC2L,944203,959309,chr1
ENSG00000187961.15,KLHL17,960584,965719,chr1
ENSG00000187583.11,PLEKHN1,966482,975865,chr1
ENSG00000187642.10,PERM1,975198,982117,chr1
ENSG00000188290.11,HES4,998962,1000172,chr1
ENSG00000187608.10,ISG15,1001138,1014540,chr1
ENSG00000188157.15,AGRN,1020120,1056118,chr1
ENSG00000237330.3,RNF223,1070967,1074306,chr1
ENSG00000131591.18,C1orf159,1081818,1116361,chr1
ENSG00000162571.14,TTLL10,1173880,1197936,chr1
ENSG00000186891.14,TNFRSF18,1203508,1206592,chr1
ENSG00000186827.12,TNFRSF4,1211326,1214153,chr1
ENSG00000078808.20,SDF4,1216931,1232031,chr1
ENSG00000176022.7,B3GALT6,1232237,1235041,chr1
ENSG00000184163.3,C1QTNF12,1242446,1246722,chr1
ENSG00000160087.21,UBE2J2,1253909,1273864,chr1
ENSG00000162572.21,SCNN1D,1280436,1292029,chr1
ENSG00000131584.19,ACAP3,1292390,1309609,chr1
ENSG00000169972.13,PUSL1,1308597,1311677,chr1
ENSG00000127054.22,INTS11,1311585,1324687,chr1
ENSG00000224051.7,CPTP,1324756,1328896,chr1
ENSG00000169962.5,TAS1R3,1331280,1335314,chr1
ENSG00000107404.21,DVL1,1335276,1349418,chr1
ENSG00000162576.17,MXRA8,1352689,1361777,chr1
ENSG00000175756.14,AURKAIP1,1373730,1375207,chr1
ENSG00000221978.13,CCNL2,1385711,1399335,chr1
ENSG00000242485.6,MRPL20,1401909,1407293,chr1
ENSG00000235098.9,ANKRD65,1418420,1421769,chr1
ENSG00000205116.4,TMEM88B,1425871,1430255,chr1
ENSG00000179403.12,VWA1,1434861,1442882,chr1
ENSG00000215915.10,ATAD3C,1449689,1470163,chr1
ENSG00000160072.20,ATAD3B,1471765,1497848,chr1
ENSG00000197785.14,ATAD3A,1512162,1534685,chr1
ENSG00000205090.10,TMEM240,1534778,1540624,chr1
ENSG00000160075.12,SSU72,1541673,1574863,chr1
ENSG00000228594.4,FNDC10,1598012,1600135,chr1
ENSG00000197530.13,MIB2,1615454,1630605,chr1
ENSG00000189409.14,MMP23B,1632163,1635263,chr1
ENSG00000248333.9,CDK11B,1635225,1659012,chr1
ENSG00000189339.12,SLC35E2B,1659529,1692795,chr1
ENSG00000008128.23,CDK11A,1702379,1724357,chr1
ENSG00000008130.15,NADK,1751232,1780457,chr1
ENSG00000078369.19,GNB1,1785285,1892292,chr1
