gene_name,start,end,seqname,region
OR4F5,65419,71585,chr1,chr_1_loc_0
OR4F29,450740,451678,chr1,chr_1_loc_250000
OR4F16,685716,686654,chr1,chr_1_loc_500000
SAMD11,923923,944575,chr1,chr_1_loc_750000
NOC2L,944203,959309,chr1,chr_1_loc_750000
KLHL17,960584,965719,chr1,chr_1_loc_750000
PLEKHN1,966482,975865,chr1,chr_1_loc_750000
PERM1,975198,982117,chr1,chr_1_loc_750000
ISG15,1001138,1014540,chr1,chr_1_loc_1000000
AGRN,1020120,1056118,chr1,chr_1_loc_1000000
RNF223,1070967,1074306,chr1,chr_1_loc_1000000
C1orf159,1081818,1116361,chr1,chr_1_loc_1000000
TTLL10,1173880,1197936,chr1,chr_1_loc_1000000
TNFRSF18,1203508,1206592,chr1,chr_1_loc_1000000
TNFRSF4,1211326,1214153,chr1,chr_1_loc_1000000
SDF4,1216931,1232031,chr1,chr_1_loc_1000000
B3GALT6,1232237,1235041,chr1,chr_1_loc_1000000
C1QTNF12,1242446,1246722,chr1,chr_1_loc_1000000
UBE2J2,1253909,1273864,chr1,chr_1_loc_1250000
SCNN1D,1280436,1292029,chr1,chr_1_loc_1250000
ACAP3,1292390,1309609,chr1,chr_1_loc_1250000
PUSL1,1308597,1311677,chr1,chr_1_loc_1250000
INTS11,1311585,1324687,chr1,chr_1_loc_1250000
CPTP,1324756,1328896,chr1,chr_1_loc_1250000
TAS1R3,1331280,1335314,chr1,chr_1_loc_1250000
DVL1,1335276,1349418,chr1,chr_1_loc_1250000
MXRA8,1352689,1361777,chr1,chr_1_loc_1250000
AURKAIP1,1373730,1375207,chr1,chr_1_loc_1250000
CCNL2,1385711,1399335,chr1,chr_1_loc_1250000
MRPL20,1401909,1407293,chr1,chr_1_loc_1250000
ANKRD65,1418420,1421769,chr1,chr_1_loc_1250000
TMEM88B,1425871,1430255,chr1,chr_1_loc_1250000
VWA1,1434861,1442882,chr1,chr_1_loc_1250000
ATAD3C,1449689,1470163,chr1,chr_1_loc_1250000
ATAD3B,1471765,1497848,chr1,chr_1_loc_1250000
ATAD3A,1512162,1534685,chr1,chr_1_loc_1500000
TMEM240,1534778,1540624,chr1,chr_1_loc_1500000
SSU72,1541673,1574863,chr1,chr_1_loc_1500000
FNDC10,1598012,1600135,chr1,chr_1_loc_1500000
MIB2,1615454,1630605,chr1,chr_1_loc_1500000
MMP23B,1632163,1635263,chr1,chr_1_loc_1500000
CDK11B,1635225,1659012,chr1,chr_1_loc_1500000
SLC35E2B,1659529,1692795,chr1,chr_1_loc_1500000
CDK11A,1702379,1724357,chr1,chr_1_loc_1500000
NADK,1751232,1780457,chr1,chr_1_loc_1750000
GNB1,1785285,1892292,chr1,chr_1_loc_1750000
CALML6,1915108,1917296,chr1,chr_1_loc_1750000
TMEM52,1917590,1919279,chr1,chr_1_loc_1750000
GABRD,2019329,2030758,chr1,chr_1_loc_2000000
PRKCZ,2050411,2185395,chr1,chr_1_loc_2000000
FAAP20,2184461,2212720,chr1,chr_1_loc_2000000
MORN1,2321253,2391707,chr1,chr_1_loc_2250000
RER1,2391775,2405442,chr1,chr_1_loc_2250000
PEX10,2403964,2413797,chr1,chr_1_loc_2250000
PANK4,2508537,2526597,chr1,chr_1_loc_2500000
HES5,2528745,2530263,chr1,chr_1_loc_2500000
TNFRSF14,2555639,2565382,chr1,chr_1_loc_2500000
PRXL2B,2586491,2591469,chr1,chr_1_loc_2500000
MMEL1,2590639,2633016,chr1,chr_1_loc_2500000
ACTRT2,3021467,3022903,chr1,chr_1_loc_3000000
ARHGEF16,3454665,3481113,chr1,chr_1_loc_3250000
TPRG1L,3625015,3630127,chr1,chr_1_loc_3500000
WRAP73,3630767,3652761,chr1,chr_1_loc_3500000
TP73,3652516,3736201,chr1,chr_1_loc_3500000
SMIM1,3772749,3775982,chr1,chr_1_loc_3750000
LRRC47,3778559,3796498,chr1,chr_1_loc_3750000
CEP104,3812086,3857396,chr1,chr_1_loc_3750000
DFFB,3857267,3885429,chr1,chr_1_loc_3750000
C1orf174,3889125,3900293,chr1,chr_1_loc_3750000
NPHP4,5862811,5992473,chr1,chr_1_loc_5750000
CHD5,6101787,6180321,chr1,chr_1_loc_6000000
ENSG00000285629,6159430,6197757,chr1,chr_1_loc_6000000
RPL22,6185020,6209389,chr1,chr_1_loc_6000000
RNF207,6205475,6221299,chr1,chr_1_loc_6000000
ICMT,6221193,6235972,chr1,chr_1_loc_6000000
HES3,6244179,6245578,chr1,chr_1_loc_6000000
ACOT7,6264269,6393767,chr1,chr_1_loc_6250000
HES2,6412418,6424670,chr1,chr_1_loc_6250000
ESPN,6424776,6461367,chr1,chr_1_loc_6250000
TNFRSF25,6460786,6466175,chr1,chr_1_loc_6250000
NOL9,6521347,6554513,chr1,chr_1_loc_6500000
TAS1R1,6555307,6579755,chr1,chr_1_loc_6500000
ZBTB48,6579994,6589280,chr1,chr_1_loc_6500000
KLHL21,6590724,6614607,chr1,chr_1_loc_6500000
PHF13,6613731,6624030,chr1,chr_1_loc_6500000
THAP3,6624868,6635586,chr1,chr_1_loc_6500000
DNAJC11,6634168,6701924,chr1,chr_1_loc_6500000
VAMP3,7771296,7781432,chr1,chr_1_loc_7750000
PER3,7784291,7845177,chr1,chr_1_loc_7750000
UTS2,7843083,7853512,chr1,chr_1_loc_7750000
TNFRSF9,7915871,7943165,chr1,chr_1_loc_7750000
PARK7,7954291,7985505,chr1,chr_1_loc_7750000
ERRFI1,8004404,8026309,chr1,chr_1_loc_8000000
SLC45A1,8318114,8344167,chr1,chr_1_loc_8250000
ENO1,8861000,8879190,chr1,chr_1_loc_8750000
CA6,8945867,8975092,chr1,chr_1_loc_8750000
SLC2A7,9002973,9026423,chr1,chr_1_loc_9000000
SLC2A5,9035106,9088478,chr1,chr_1_loc_9000000
GPR157,9100305,9129102,chr1,chr_1_loc_9000000
SPSB1,9292894,9369532,chr1,chr_1_loc_9250000
SLC25A33,9539465,9585173,chr1,chr_1_loc_9500000
TMEM201,9588911,9614877,chr1,chr_1_loc_9500000
PIK3CD,9629889,9729114,chr1,chr_1_loc_9500000
CTNNBIP1,9848276,9910336,chr1,chr_1_loc_9750000
LZIC,9922113,9943407,chr1,chr_1_loc_9750000
NMNAT1,9943428,9985501,chr1,chr_1_loc_9750000
UBE4B,10032832,10181239,chr1,chr_1_loc_10000000
PGD,10398592,10420511,chr1,chr_1_loc_10250000
CENPS-CORT,10430102,10452153,chr1,chr_1_loc_10250000
CENPS,10430433,10442808,chr1,chr_1_loc_10250000
CORT,10450031,10451998,chr1,chr_1_loc_10250000
DFFA,10456522,10472529,chr1,chr_1_loc_10250000
C1orf127,10946471,10982076,chr1,chr_1_loc_10750000
TARDBP,11012344,11030528,chr1,chr_1_loc_11000000
MASP2,11022009,11047239,chr1,chr_1_loc_11000000
SRM,11054584,11060020,chr1,chr_1_loc_11000000
EXOSC10,11066618,11099869,chr1,chr_1_loc_11000000
ANGPTL7,11189355,11195981,chr1,chr_1_loc_11000000
UBIAD1,11273198,11296049,chr1,chr_1_loc_11250000
FBXO2,11637018,11655785,chr1,chr_1_loc_11500000
FBXO44,11654375,11663327,chr1,chr_1_loc_11500000
MAD2L2,11658918,11691811,chr1,chr_1_loc_11500000
FBXO6,11664200,11674354,chr1,chr_1_loc_11500000
DRAXIN,11691710,11725857,chr1,chr_1_loc_11500000
C1orf167,11761787,11789585,chr1,chr_1_loc_11750000
MTHFR,11785723,11806455,chr1,chr_1_loc_11750000
CLCN6,11806096,11848079,chr1,chr_1_loc_11750000
NPPA,11845709,11848345,chr1,chr_1_loc_11750000
NPPB,11857464,11858945,chr1,chr_1_loc_11750000
KIAA2013,11919591,11926428,chr1,chr_1_loc_11750000
PLOD1,11934205,11975538,chr1,chr_1_loc_11750000
MIIP,12019466,12032045,chr1,chr_1_loc_12000000
TNFRSF8,12063303,12144207,chr1,chr_1_loc_12000000
TNFRSF1B,12166991,12209228,chr1,chr_1_loc_12000000
DHRS3,12567910,12618210,chr1,chr_1_loc_12500000
AADACL4,12644085,12667076,chr1,chr_1_loc_12500000
AADACL3,12716110,12728760,chr1,chr_1_loc_12500000
PRAMEF12,12773738,12777906,chr1,chr_1_loc_12750000
PRAMEF1,12791397,12796628,chr1,chr_1_loc_12750000
PRAMEF11,12824605,12831410,chr1,chr_1_loc_12750000
HNRNPCL1,12847377,12848720,chr1,chr_1_loc_12750000
PRAMEF2,12857086,12861909,chr1,chr_1_loc_12750000
PRAMEF4,12879212,12886201,chr1,chr_1_loc_12750000
PRAMEF10,12892896,12898270,chr1,chr_1_loc_12750000
PRAMEF7,12916610,12920751,chr1,chr_1_loc_12750000
PRAMEF6,12938472,12947580,chr1,chr_1_loc_12750000
PRAMEF27,13049476,13056575,chr1,chr_1_loc_13000000
HNRNPCL3,13060769,13062878,chr1,chr_1_loc_13000000
PRAMEF25,13068677,13077884,chr1,chr_1_loc_13000000
HNRNPCL2,13115488,13116854,chr1,chr_1_loc_13000000
PRAMEF26,13148905,13158116,chr1,chr_1_loc_13000000
HNRNPCL4,13163914,13165631,chr1,chr_1_loc_13000000
PRAMEF9,13171848,13179459,chr1,chr_1_loc_13000000
PRAMEF13,13196188,13201409,chr1,chr_1_loc_13000000
PRAMEF18,13222695,13226154,chr1,chr_1_loc_13000000
PRAMEF5,13254198,13263435,chr1,chr_1_loc_13250000
PRAMEF8,13281304,13285137,chr1,chr_1_loc_13250000
PRAMEF33,13303539,13308907,chr1,chr_1_loc_13250000
PRAMEF15,13315581,13322598,chr1,chr_1_loc_13250000
PRAMEF14,13341892,13347134,chr1,chr_1_loc_13250000
PRAMEF19,13368431,13371947,chr1,chr_1_loc_13250000
PRAMEF17,13389632,13392629,chr1,chr_1_loc_13250000
PRAMEF20,13410450,13421328,chr1,chr_1_loc_13250000
PDPN,13583465,13617957,chr1,chr_1_loc_13500000
TMEM51,15152532,15220478,chr1,chr_1_loc_15000000
EFHD2,15409888,15430339,chr1,chr_1_loc_15250000
CTRC,15438442,15449242,chr1,chr_1_loc_15250000
CELA2A,15456728,15472091,chr1,chr_1_loc_15250000
CELA2B,15465909,15491395,chr1,chr_1_loc_15250000
DNAJC16,15526813,15592379,chr1,chr_1_loc_15500000
AGMAT,15571699,15585051,chr1,chr_1_loc_15500000
DDI2,15617458,15669044,chr1,chr_1_loc_15500000
RSC1A1,15659713,15662033,chr1,chr_1_loc_15500000
PLEKHM2,15684320,15734769,chr1,chr_1_loc_15500000
SLC25A34,15736258,15741392,chr1,chr_1_loc_15500000
TMEM82,15742499,15747982,chr1,chr_1_loc_15500000
FBLIM1,15756607,15786594,chr1,chr_1_loc_15750000
UQCRHL,15807169,15809348,chr1,chr_1_loc_15750000
SPEN,15836095,15940456,chr1,chr_1_loc_15750000
ZBTB17,15941869,15976132,chr1,chr_1_loc_15750000
SRARP,16004236,16008807,chr1,chr_1_loc_16000000
HSPB7,16014028,16019594,chr1,chr_1_loc_16000000
CLCNKA,16018875,16034050,chr1,chr_1_loc_16000000
CLCNKB,16040252,16057311,chr1,chr_1_loc_16000000
FAM131C,16057769,16073651,chr1,chr_1_loc_16000000
EPHA2,16124337,16156069,chr1,chr_1_loc_16000000
ARHGEF19,16197854,16212652,chr1,chr_1_loc_16000000
CPLANE2,16231692,16237183,chr1,chr_1_loc_16000000
SZRD1,16352575,16398145,chr1,chr_1_loc_16250000
SPATA21,16387117,16437424,chr1,chr_1_loc_16250000
NECAP2,16440721,16460078,chr1,chr_1_loc_16250000
NBPF1,16562319,16613562,chr1,chr_1_loc_16500000
MFAP2,16974502,16980632,chr1,chr_1_loc_16750000
ENSG00000288636,17005068,17011757,chr1,chr_1_loc_17000000
SDHB,17018664,17054032,chr1,chr_1_loc_17000000
PADI2,17066761,17119451,chr1,chr_1_loc_17000000
PADI1,17205128,17246007,chr1,chr_1_loc_17000000
PADI4,17308195,17364004,chr1,chr_1_loc_17250000
PADI6,17372196,17401699,chr1,chr_1_loc_17250000
RCC2,17406760,17439677,chr1,chr_1_loc_17250000
ARHGEF10L,17539698,17697874,chr1,chr_1_loc_17500000
ACTL8,17755333,17827063,chr1,chr_1_loc_17750000
KLHDC7A,18480930,18485974,chr1,chr_1_loc_18250000
PAX7,18630846,18748866,chr1,chr_1_loc_18500000
TAS1R2,18839599,18859660,chr1,chr_1_loc_18750000
ALDH4A1,18871430,18902724,chr1,chr_1_loc_18750000
IFFO2,18904280,18956676,chr1,chr_1_loc_18750000
UBR4,19074510,19210266,chr1,chr_1_loc_19000000
MRTO4,19251805,19260128,chr1,chr_1_loc_19250000
AKR7L,19265982,19274194,chr1,chr_1_loc_19250000
AKR7A3,19282573,19288770,chr1,chr_1_loc_19250000
AKR7A2,19303965,19312144,chr1,chr_1_loc_19250000
SLC66A1,19312326,19329300,chr1,chr_1_loc_19250000
CAPZB,19338775,19485539,chr1,chr_1_loc_19250000
NBL1,19596979,19658456,chr1,chr_1_loc_19500000
MICOS10-NBL1,19597067,19656927,chr1,chr_1_loc_19500000
HTR6,19664875,19680966,chr1,chr_1_loc_19500000
RNF186,19814029,19815283,chr1,chr_1_loc_19750000
OTUD3,19882395,19912945,chr1,chr_1_loc_19750000
PLA2G2E,19920009,19923617,chr1,chr_1_loc_19750000
PLA2G2A,19975431,19980416,chr1,chr_1_loc_19750000
PLA2G5,20028179,20091911,chr1,chr_1_loc_20000000
PLA2G2D,20111939,20119566,chr1,chr_1_loc_20000000
PLA2G2F,20139323,20150381,chr1,chr_1_loc_20000000
PLA2G2C,20161253,20186518,chr1,chr_1_loc_20000000
UBXN10,20186096,20196050,chr1,chr_1_loc_20000000
VWA5B1,20290875,20359518,chr1,chr_1_loc_20250000
CAMK2N1,20482391,20486210,chr1,chr_1_loc_20250000
FAM43B,20552573,20555020,chr1,chr_1_loc_20500000
CDA,20589086,20618903,chr1,chr_1_loc_20500000
PINK1,20633458,20651511,chr1,chr_1_loc_20500000
